company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Abbott Diagnostics Scarborough, Inc.",ID NOW COVID-19,0.005,1.0,0.037760623825644615,1.0,1.0,0.999356929718391,1.0,0.005,0.005,0.11738192047657316,0.0,0.0,0.9622393761743554,0.0,0.0,0.0006430702816090372
"Abbott Diagnostics Scarborough, Inc.",ID NOW COVID-19,0.01,1.0,0.07311395248178004,1.0,1.0,0.9987082028847803,1.0,0.01,0.01,0.12124674956266837,0.0,0.0,0.92688604751822,0.0,0.0,0.0012917971152196506
"Abbott Diagnostics Scarborough, Inc.",ID NOW COVID-19,0.015,1.0,0.10628307765561264,1.0,1.0,0.9980537445355292,1.0,0.015,0.015,0.1251115786487636,0.0,0.0,0.8937169223443874,0.0,0.0,0.001946255464470914
"Abbott Diagnostics Scarborough, Inc.",ID NOW COVID-19,0.02,1.0,0.13746435091166362,1.0,1.0,0.9973934783765094,1.0,0.02,0.02,0.12897640773485886,0.0,0.0,0.8625356490883364,0.0,0.0,0.002606521623490621
"Abbott Diagnostics Scarborough, Inc.",ID NOW COVID-19,0.025,1.0,0.16683127352320964,1.0,1.0,0.9967273267534564,1.0,0.025,0.025,0.13284123682095406,0.0,0.0,0.8331687264767904,0.0,0.0,0.003272673246543678
"Abbott Diagnostics Scarborough, Inc.",ID NOW COVID-19,0.03,1.0,0.19453772648514436,1.0,1.0,0.9960552106215219,1.0,0.03,0.03,0.13670606590704926,0.0,0.0,0.8054622735148557,0.0,0.0,0.003944789378477975
"Abbott Diagnostics Scarborough, Inc.",ID NOW COVID-19,0.035,1.0,0.22072066769473456,1.0,1.0,0.9953770495140084,1.0,0.035,0.035,0.14057089499314449,0.0,0.0,0.7792793323052655,0.0,0.0,0.004622950485991596
"Abbott Diagnostics Scarborough, Inc.",ID NOW COVID-19,0.04,1.0,0.2455023961033861,1.0,1.0,0.9946927615102532,1.0,0.04,0.04,0.1444357240792397,0.0,0.0,0.7544976038966139,0.0,0.0,0.0053072384897469025
"Abbott Diagnostics Scarborough, Inc.",ID NOW COVID-19,0.045,1.0,0.2689924618349511,1.0,1.0,0.9940022632026398,1.0,0.045,0.045,0.14830055316533491,0.0,0.0,0.7310075381650489,0.0,0.0,0.005997736797360154
"Abbott Diagnostics Scarborough, Inc.",ID NOW COVID-19,0.05,1.0,0.29128928521493275,1.0,1.0,0.9933054696627084,1.0,0.05,0.05,0.15216538225143014,0.0,0.0,0.7087107147850673,0.0,0.0,0.0066945303372917256
