company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Access Bio, Inc.",CareStart COVID-19 MDx RT-PCR,0.005,1.0,0.056760000000000005,1.0,1.0,0.9995799999999999,1.0,0.005,0.005,0.08131000000000001,0.0,0.0,0.94324,0.0,0.0,0.00042
"Access Bio, Inc.",CareStart COVID-19 MDx RT-PCR,0.01,1.0,0.1079,1.0,1.0,0.99916,1.0,0.01,0.01,0.08553,0.0,0.0,0.8921,0.0,0.0,0.00084
"Access Bio, Inc.",CareStart COVID-19 MDx RT-PCR,0.015,1.0,0.15423,1.0,1.0,0.9987299999999999,1.0,0.015,0.015,0.08976,0.0,0.0,0.84577,0.0,0.0,0.0012699999999999999
"Access Bio, Inc.",CareStart COVID-19 MDx RT-PCR,0.02,1.0,0.19638,1.0,1.0,0.9983,1.0,0.02,0.02,0.09399,0.0,0.0,0.80362,0.0,0.0,0.0017
"Access Bio, Inc.",CareStart COVID-19 MDx RT-PCR,0.025,1.0,0.23490999999999998,1.0,1.0,0.9978600000000001,1.0,0.025,0.025,0.09822,0.0,0.0,0.7650899999999999,0.0,0.0,0.00214
"Access Bio, Inc.",CareStart COVID-19 MDx RT-PCR,0.03,1.0,0.27025,1.0,1.0,0.9974200000000001,1.0,0.03,0.03,0.10245,0.0,0.0,0.72975,0.0,0.0,0.0025800000000000003
"Access Bio, Inc.",CareStart COVID-19 MDx RT-PCR,0.035,1.0,0.30279,1.0,1.0,0.99698,1.0,0.035,0.035,0.10668,0.0,0.0,0.69721,0.0,0.0,0.00302
"Access Bio, Inc.",CareStart COVID-19 MDx RT-PCR,0.04,1.0,0.33285,1.0,1.0,0.9965299999999999,1.0,0.04,0.04,0.11091,0.0,0.0,0.66715,0.0,0.0,0.0034700000000000004
"Access Bio, Inc.",CareStart COVID-19 MDx RT-PCR,0.045,1.0,0.36071,1.0,1.0,0.99608,1.0,0.045,0.045,0.11514,0.0,0.0,0.6392899999999999,0.0,0.0,0.00392
"Access Bio, Inc.",CareStart COVID-19 MDx RT-PCR,0.05,1.0,0.38659,1.0,1.0,0.9956200000000001,1.0,0.05,0.05,0.11937,0.0,0.0,0.61341,0.0,0.0,0.004379999999999999
