company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.005,0.1603375527426162,0.03263311164778444,0.5188247672481635,1.0,0.9994538917121653,1.0,0.031184210526315762,0.009637165215762352,0.13880672065888686,0.8396624472573838,0.4811752327518365,0.9673668883522156,0.0,0.0,0.0005461082878347456
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.01,0.2773722627737229,0.06350263006294837,0.6842817729635212,1.0,0.9989028723815092,1.0,0.036052631578947336,0.0146138628779947,0.14266165694977112,0.722627737226277,0.3157182270364788,0.9364973699370516,0.0,0.0,0.0010971276184906786
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.015,0.3665594855305469,0.09274775871871788,0.7656748753665908,1.0,0.9983468754627762,1.0,0.040921052631578914,0.01959056054022705,0.1465165932406554,0.633440514469453,0.23432512463340915,0.907252241281282,0.0,0.0,0.0016531245372237713
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.02,0.4367816091954026,0.12049342656381505,0.8140916595242127,1.0,0.9977858332029932,1.0,0.0457894736842105,0.0245672582024594,0.15037152953153968,0.5632183908045973,0.1859083404757873,0.8795065734361849,0.0,0.0,0.0022141667970067003
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.025,0.4935064935064938,0.14685207200234246,0.8461967691292731,1.0,0.9972196766139472,1.0,0.05065789473684208,0.02954395586469175,0.15422646582242394,0.5064935064935062,0.1538032308707269,0.8531479279976576,0.0,0.0,0.002780323386052941
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.03,0.5402843601895737,0.17192516585135773,0.8690449610579287,1.0,0.9966483354439046,1.0,0.05552631578947366,0.0345206535269241,0.1580814021133082,0.4597156398104263,0.13095503894207128,0.8280748341486422,0.0,0.0,0.0033516645560953684
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.035,0.5795206971677562,0.1958045167720617,0.8861353722780492,1.0,0.996071738148554,1.0,0.06039473684210522,0.03949735118915645,0.16193633840419244,0.4204793028322438,0.11386462772195086,0.8041954832279383,0.0,0.0,0.003928261851446124
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.04,0.6129032258064518,0.2185733945796748,0.8994009098128449,1.0,0.9954898118611376,1.0,0.06526315789473681,0.0444740488513888,0.1657912746950767,0.38709677419354815,0.10059909018715507,0.7814266054203253,0.0,0.0,0.004510188138862392
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.045,0.6416510318949346,0.24030750040089136,0.9099963736160142,1.0,0.9949024823617564,1.0,0.07013157894736839,0.04945074651362115,0.169646210985961,0.35834896810506545,0.09000362638398585,0.7596924995991086,0.0,0.0,0.005097517638243621
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.05,0.6666666666666669,0.2610758074986398,0.9186541965566386,1.0,0.994309674045812,1.0,0.07499999999999997,0.0544274441758535,0.17350114727684526,0.33333333333333315,0.0813458034433614,0.7389241925013602,0.0,0.0,0.005690325954188058
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.055,0.6886326194398685,0.2809412924419876,0.9258613675442036,1.0,0.9937113098915636,1.0,0.07986842105263155,0.05940414183808585,0.17735608356772953,0.3113673805601315,0.07413863245579655,0.7190587075580124,0.0,0.0,0.006288690108436357
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.06,0.7080745341614909,0.2999615729501539,0.9319542967392256,1.0,0.9931073114267682,1.0,0.08473684210526312,0.0643808395003182,0.1812110198586138,0.2919254658385091,0.06804570326077453,0.7000384270498461,0.0,0.0,0.0068926885732317755
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.065,0.7254038179148313,0.3181894660185201,0.9371728388749162,1.0,0.9924975986943724,1.0,0.08960526315789473,0.06935753716255055,0.18506595614949808,0.2745961820851687,0.0628271611250838,0.68181053398148,0.0,0.0,0.007502401305627626
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.07,0.7409470752089139,0.3356734777131757,0.941692615320527,1.0,0.9918820902172282,1.0,0.09447368421052628,0.07433423482478291,0.18892089244038232,0.2590529247910861,0.05830738467947305,0.6643265222868243,0.0,0.0,0.008117909782771826
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR,0.075,0.7549668874172187,0.3524582341989644,0.9456451670427524,1.0,0.9912607029617956,1.0,0.09934210526315787,0.07931093248701526,0.1927758287312666,0.2450331125827813,0.054354832957247516,0.6475417658010356,0.0,0.0,0.008739297038204419
