company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.005,1.0,0.0037314539727527993,1.0,0.998995983935743,0.9925724165972382,0.9997152522200672,0.004,0.0047165952600965325,0.6567906911084325,0.0,0.0,0.9962685460272472,0.0010040160642570406,0.0002847477799327036,0.007427583402761839
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.01,1.0,0.007472434706672445,1.0,0.997983870967742,0.9851809883569989,0.9994277927804742,0.008,0.009433190520193068,0.6559533351064842,0.0,0.0,0.9925275652933276,0.0020161290322581182,0.0005722072195257777,0.014819011643001256
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.015,1.0,0.011222978732499587,1.0,0.9969635627530364,0.9778254519321229,0.9991375827611059,0.012,0.0141497857802896,0.6551159791045359,0.0,0.0,0.9887770212675004,0.003036437246963564,0.0008624172388940199,0.022174548067877
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.02,1.0,0.01498312276798532,1.0,0.9959349593495936,0.9705055465268168,0.9988445824934468,0.016,0.01886638104038613,0.6542786231025877,0.0,0.0,0.9850168772320148,0.004065040650406471,0.0011554175065532355,0.029494453473183132
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.025,1.0,0.018752903719089425,1.0,0.9948979591836736,0.9632210138658276,0.9985487515425034,0.020000000000000004,0.02358297630048267,0.6534412671006393,0.0,0.0,0.9812470962809106,0.005102040816326482,0.0014512484574965567,0.0367789861341723
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.03,1.0,0.0225323586811878,1.0,0.9938524590163934,0.9559715981640672,0.9982500486882036,0.024000000000000004,0.028299571560579207,0.6526039110986911,0.0,0.0,0.9774676413188124,0.006147540983606592,0.0017499513117964494,0.04402840183593293
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.035,1.0,0.02632152494028924,1.0,0.9927983539094649,0.948757046096672,0.9979484319062484,0.028,0.03301616682067573,0.6517665550967428,0.0,0.0,0.9736784750597108,0.0072016460905349735,0.00205156809375151,0.051242953903327886
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.04,1.0,0.030120439974261594,1.0,0.9917355371900828,0.9415771067694968,0.997643858348404,0.032,0.03773276208077227,0.6509291990947945,0.0,0.0,0.9698795600257384,0.008264462809917328,0.0023561416515960327,0.0584228932305032
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.045,1.0,0.03392914145406737,1.0,0.9906639004149378,0.934431531690028,0.9973362843222078,0.036000000000000004,0.0424493573408688,0.6500918430928462,0.0,0.0,0.9660708585459328,0.009336099585062207,0.0026637156777922217,0.0655684683099721
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.05,1.0,0.037747667245008935,1.0,0.9895833333333334,0.9273200747387172,0.9970256652700742,0.04,0.04716595260096533,0.649254487090898,0.0,0.0,0.9622523327549912,0.01041666666666663,0.002974334729925809,0.07267992526128275
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.055,1.0,0.04157605540798336,1.0,0.9884937238493724,0.9202424921407232,0.9967119557477766,0.044,0.05188254786106187,0.6484171310889496,0.0,0.0,0.9584239445920166,0.011506276150627605,0.003288044252223399,0.07975750785927692
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.06,1.0,0.04541434420074699,1.0,0.9873949579831932,0.9131985424380554,0.9963951094022819,0.048,0.0565991431211584,0.6475797750870014,0.0,0.0,0.954585655799253,0.012605042016806787,0.003604890597717958,0.08680145756194457
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.065,1.0,0.04926257207918982,1.0,0.9862869198312236,0.9061879864621164,0.99607507894892,0.052000000000000005,0.061315738381254925,0.6467424190850531,0.0,0.0,0.9507374279208102,0.01371308016877637,0.00392492105108011,0.09381201353788347
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.07,1.0,0.05312077769861985,1.0,0.9851694915254238,0.8992105873066311,0.9957518161478568,0.056000000000000015,0.06603233364135147,0.6459050630831048,0.0,0.0,0.94687922230138,0.014830508474576232,0.004248183852143096,0.10078941269336894
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.075,1.0,0.05698899991505733,1.0,0.9840425531914894,0.8922661103009608,0.9954252717798576,0.06000000000000001,0.07074892890144803,0.6450677070811566,0.0,0.0,0.9430110000849428,0.015957446808510634,0.0045747282201423775,0.1077338896990392
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.08,1.0,0.06086727778653924,1.0,0.9829059829059827,0.8853543229837939,0.9950953956213009,0.064,0.07546552416154452,0.6442303510792082,0.0,0.0,0.9391327222134608,0.017094017094017144,0.004904604378698996,0.1146456770162061
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.085,1.0,0.06475565057443385,1.0,0.9817596566523604,0.8784749950772068,0.9947621364184293,0.068,0.08018211942164108,0.64339299507726,0.0,0.0,0.935244349425566,0.01824034334763946,0.005237863581570745,0.12152500492279315
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.09,1.0,0.06865415774476558,1.0,0.980603448275862,0.8716278984610899,0.9944254418608012,0.07200000000000001,0.08489871468173761,0.6425556390753118,0.0,0.0,0.9313458422552344,0.0193965517241379,0.0055745581391989365,0.1283721015389101
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.095,1.0,0.07256283896955022,1.0,0.9794372294372294,0.8648128071479321,0.9940852585539176,0.07600000000000001,0.08961530994183413,0.6417182830733634,0.0,0.0,0.9274371610304498,0.02056277056277056,0.0059147414460823935,0.13518719285206804
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.1,1.0,0.07648173412814076,1.0,0.9782608695652174,0.8580294972579569,0.993741531990996,0.08000000000000003,0.09433190520193067,0.6408809270714151,0.0,0.0,0.9235182658718591,0.021739130434782598,0.006258468009003981,0.14197050274204315
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.105,1.0,0.08041088330858348,1.0,0.9770742358078602,0.8512777469946083,0.9933942065238531,0.08400000000000002,0.0990485004620272,0.6400435710694669,0.0,0.0,0.9195891166914164,0.022925764192139764,0.006605793476146982,0.14872225300539166
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.11,1.0,0.08435032680898505,1.0,0.975877192982456,0.8445573366203752,0.993043225332872,0.08800000000000001,0.10376509572212374,0.6392062150675185,0.0,0.0,0.915649673191015,0.024122807017543883,0.006956774667128074,0.15544266337962476
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.115,1.0,0.08830010513889013,1.0,0.9746696035242289,0.8378680484329533,0.9926885303960148,0.092,0.10848169098222027,0.6383688590655703,0.0,0.0,0.91169989486111,0.025330396475770955,0.007311469603985098,0.16213195156704674
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.12,1.0,0.09226025902066996,1.0,0.9734513274336284,0.8312096667417362,0.9923300624568462,0.09600000000000003,0.1131982862423168,0.6375315030636219,0.0,0.0,0.90773974097933,0.026548672566371726,0.007669937543153815,0.16879033325826376
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.125,1.0,0.09623082939092184,1.0,0.9722222222222222,0.8245819778446338,0.9919677609915306,0.1,0.11791488150241332,0.6366941470616737,0.0,0.0,0.903769170609078,0.02777777777777779,0.008032239008469387,0.17541802215536614
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.13,1.0,0.10021185740187977,1.0,0.9709821428571428,0.8179847700052072,0.9916015641747664,0.104,0.12263147676250985,0.6358567910597253,0.0,0.0,0.8997881425981202,0.029017857142857206,0.008398435825233697,0.1820152299947928
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.135,1.0,0.10420338442283596,1.0,0.9697309417040358,0.8114178334301224,0.9912314088446136,0.108,0.1273480720226064,0.6350194350577769,0.0,0.0,0.8957966155771641,0.03026905829596416,0.00876859115538653,0.1885821665698776
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.14,1.0,0.10820545204157417,1.0,0.9684684684684683,0.8048809602469092,0.990857230466176,0.11200000000000003,0.13206466728270294,0.6341820790558287,0.0,0.0,0.8917945479584258,0.031531531531531536,0.00914276953382398,0.19511903975309075
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.145,1.0,0.11221810206581374,1.0,0.9671945701357466,0.7983739444820297,0.9904789630940928,0.11600000000000002,0.1367812625427995,0.6333447230538805,0.0,0.0,0.8877818979341863,0.03280542986425339,0.00952103690590711,0.2016260555179703
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.15,1.0,0.1162413765246656,1.0,0.9659090909090908,0.7918965820392412,0.9900965393337924,0.12,0.141497857802896,0.6325073670519321,0.0,0.0,0.8837586234753344,0.03409090909090917,0.00990346066620762,0.2081034179607588
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.155,1.0,0.12027531767009958,1.0,0.9646118721461188,0.7854486706782597,0.9897098903014626,0.124,0.14621445306299252,0.6316700110499839,0.0,0.0,0.8797246823299004,0.035388127853881346,0.010290109698537386,0.21455132932174026
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.16,1.0,0.12431996797842362,1.0,0.963302752293578,0.7790300099937097,0.9893189455826884,0.128,0.15093104832308907,0.6308326550480355,0.0,0.0,0.8756800320215764,0.03669724770642202,0.010681054417311708,0.22096999000629025
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.165,1.0,0.12837537015177453,1.0,0.9619815668202764,0.7726404013943622,0.9889236331896992,0.132,0.1556476435831856,0.6299952990460873,0.0,0.0,0.8716246298482255,0.03801843317972353,0.011076366810300777,0.2273595986056378
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.17,1.0,0.13244156711962093,1.0,0.960648148148148,0.7662796480826519,0.9885238795171812,0.136,0.16036423884328213,0.6291579430441391,0.0,0.0,0.8675584328803789,0.03935185185185186,0.011476120482818876,0.2337203519173481
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.175,1.0,0.13651860204027785,1.0,0.9593023255813952,0.7599475550344743,0.9881196092965848,0.14,0.16508083410337868,0.6283205870421906,0.0,0.0,0.8634813979597221,0.040697674418604717,0.011880390703415178,0.2400524449655257
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.18,1.0,0.14060651830243392,1.0,0.9579439252336448,0.7536439289792514,0.9877107455488816,0.14400000000000002,0.16979742936347522,0.6274832310402424,0.0,0.0,0.8593934816975661,0.0420560747663552,0.012289254451118392,0.24635607102074866
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.185,1.0,0.14470535952669036,1.0,0.9565727699530516,0.7473685783802697,0.987297209535696,0.14800000000000002,0.17451402462357174,0.6266458750382939,0.0,0.0,0.8552946404733096,0.043427230046948366,0.012702790464303892,0.2526314216197303
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.19,1.0,0.1488151695671126,1.0,0.9551886792452831,0.7411213134152786,0.9868789207087556,0.15200000000000002,0.17923061988366826,0.6258085190363459,0.0,0.0,0.8511848304328874,0.044811320754717054,0.013121079291244286,0.2588786865847213
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.195,1.0,0.15293599251279447,1.0,0.9537914691943128,0.7349019459573514,0.9864557966575872,0.15600000000000006,0.1839472151437648,0.6249711630343975,0.0,0.0,0.8470640074872056,0.04620853080568721,0.013544203342412908,0.26509805404264863
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.2,1.0,0.15706787268943426,1.0,0.9523809523809524,0.7287102895560004,0.9860277530553868,0.16000000000000006,0.18866381040386132,0.6241338070324494,0.0,0.0,0.8429321273105658,0.04761904761904767,0.013972246944613076,0.27128971044399963
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.205,1.0,0.16121085466092475,1.0,0.9509569377990429,0.7225461594185449,0.9855947036029956,0.16400000000000006,0.19338040566395787,0.6232964510305009,0.0,0.0,0.8387891453390752,0.049043062200957,0.014405296397004387,0.27745384058145506
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.21,1.0,0.16536498323095478,1.0,0.9495192307692308,0.7164093723917271,0.985156559970892,0.16800000000000004,0.1980970009240544,0.6224590950285528,0.0,0.0,0.8346350167690453,0.050480769230769273,0.014843440029107981,0.2835906276082729
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.215,1.0,0.16953030344462466,1.0,0.9480676328502416,0.7102997469435703,0.9847132317391302,0.172,0.20281359618415093,0.6216217390266044,0.0,0.0,0.8304696965553754,0.05193236714975846,0.015286768260869832,0.2897002530564297
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.22,1.0,0.17370686059007412,1.0,0.9466019417475728,0.7042171031454811,0.9842646263351305,0.17600000000000002,0.20753019144424747,0.6207843830246562,0.0,0.0,0.8262931394099259,0.05339805825242727,0.015735373664869656,0.2957828968545189
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.225,1.0,0.17789470020012393,1.0,0.945121951219512,0.6981612626545843,0.9838106489692356,0.18000000000000002,0.212246786704344,0.6199470270227079,0.0,0.0,0.8221052997998761,0.054878048780487854,0.01618935103076446,0.3018387373454157
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.23,1.0,0.18209386805393024,1.0,0.943627450980392,0.6921320486962933,0.98335120256794,0.184,0.21696338196444054,0.6191096710207596,0.0,0.0,0.8179061319460698,0.056372549019607865,0.016648797432060047,0.3078679513037067
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.235,1.0,0.186304410178653,1.0,0.9421182266009852,0.6861292860471089,0.9828861877046869,0.18800000000000006,0.22167997722453708,0.6182723150188113,0.0,0.0,0.8136955898213469,0.05788177339901479,0.017113812295312947,0.3138707139528911
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.24,1.0,0.19052637285113744,1.0,0.9405940594059404,0.6801528010176445,0.9824155025281398,0.19200000000000006,0.22639657248463366,0.6174349590168631,0.0,0.0,0.8094736271488625,0.059405940594059466,0.017584497471860194,0.3198471989823555
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.245,1.0,0.1947598025996096,1.0,0.9390547263681592,0.6742024214358734,0.9819390426878069,0.196,0.2311131677447301,0.6165976030149147,0.0,0.0,0.8052401974003904,0.06094527363184087,0.01806095731219315,0.3257975785641266
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.25,1.0,0.19900474620538547,1.0,0.9375,0.668277976630595,0.981456701256918,0.2,0.23582976300482664,0.6157602470129664,0.0,0.0,0.8009952537946146,0.0625,0.018543298743082026,0.33172202336940504
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.255,1.0,0.20326125070459428,1.0,0.935929648241206,0.6623792974151173,0.980968368652423,0.204,0.2405463582649232,0.6149228910110182,0.0,0.0,0.7967387492954057,0.06407035175879405,0.019031631347577016,0.33762070258488275
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.26,1.0,0.2075293633899157,1.0,0.9343434343434344,0.656506216071151,0.9804739325519928,0.208,0.2452629535250197,0.6140855350090699,0.0,0.0,0.7924706366100843,0.06565656565656575,0.01952606744800733,0.34349378392884905
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.265,1.0,0.21180913181233152,1.0,0.9327411167512691,0.6506585663329142,0.979973277807887,0.212,0.2499795487851163,0.6132481790071216,0.0,0.0,0.7881908681876685,0.06725888324873097,0.02002672219211299,0.3493414336670858
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.27,1.0,0.2161006037828913,1.0,0.9311224489795916,0.6448361833714411,0.979466286357553,0.21600000000000005,0.2546961440452128,0.6124108230051732,0.0,0.0,0.7838993962171087,0.06887755102040828,0.02053371364244705,0.3551638166285589
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.275,1.0,0.2204038273744929,1.0,0.9294871794871794,0.6390389037790959,0.978952837130807,0.22000000000000006,0.2594127393053093,0.6115734670032249,0.0,0.0,0.7795961726255071,0.0705128205128206,0.021047162869192948,0.3609610962209041
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.28,1.0,0.22471885092367766,1.0,0.9278350515463916,0.6332665655542847,0.9784328059534468,0.22400000000000006,0.2641293345654059,0.6107361110012768,0.0,0.0,0.7752811490763224,0.07216494845360832,0.021567194046553276,0.3667334344457153
Advanced Biological Laboratories SA,UltraGene Combo2Screen SARS-CoV-2 Assay,0.285,1.0,0.22904572303244006,1.0,0.9261658031088082,0.6275190080863656,0.9779060654471329,0.22800000000000006,0.2688459298255024,0.6098987549993284,0.0,0.0,0.7709542769675599,0.07383419689119175,0.022093934552867008,0.3724809919136344
