company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.005,0.14957,0.03022,0.4982,1.0,0.9994200000000001,1.0,0.03343,0.01004,0.14911,0.8504299999999999,0.5018,0.96978,0.0,0.0,0.00058
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.01,0.26119000000000003,0.05894,0.66619,1.0,0.9988299999999999,1.0,0.03829,0.015009999999999999,0.15289,0.7388100000000001,0.33381,0.94106,0.0,0.0,0.00117
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.015,0.34768000000000004,0.08627,0.75055,1.0,0.99824,1.0,0.04314,0.01999,0.15667,0.65232,0.24945,0.9137299999999999,0.0,0.0,0.00176
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.02,0.41667,0.11232,0.80128,1.0,0.99764,1.0,0.048,0.02496,0.16045,0.58333,0.19872,0.8876799999999999,0.0,0.0,0.00236
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.025,0.47297,0.13717000000000001,0.83515,1.0,0.9970399999999999,1.0,0.052860000000000004,0.029930000000000002,0.16423,0.52703,0.16485,0.8628299999999999,0.0,0.0,0.00296
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.03,0.5198,0.1609,0.85936,1.0,0.9964299999999999,1.0,0.057710000000000004,0.034910000000000004,0.16801,0.4802,0.14064000000000002,0.8391,0.0,0.0,0.0035700000000000003
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.035,0.5593600000000001,0.18359,0.87754,1.0,0.99582,1.0,0.06257,0.03988,0.17179,0.44064,0.12245999999999999,0.8164100000000001,0.0,0.0,0.00418
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.04,0.59322,0.2053,0.8916799999999999,1.0,0.9952,1.0,0.06742999999999999,0.044860000000000004,0.17556,0.40678000000000003,0.10832,0.7947,0.0,0.0,0.0048
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.045,0.62253,0.2261,0.9030100000000001,1.0,0.9945799999999999,1.0,0.07229,0.04983,0.17934,0.37747,0.09698999999999999,0.7739,0.0,0.0,0.00542
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.05,0.64815,0.24604,0.91227,1.0,0.99395,1.0,0.07714,0.054810000000000005,0.18312,0.35185,0.08772999999999999,0.7539600000000001,0.0,0.0,0.00605
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.055,0.67073,0.26516999999999996,0.91999,1.0,0.99331,1.0,0.08199999999999999,0.05977999999999999,0.1869,0.32927,0.08001,0.73483,0.0,0.0,0.006690000000000001
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.06,0.69079,0.28354,0.92653,1.0,0.99267,1.0,0.08686,0.06476,0.19068,0.30921,0.07347000000000001,0.71646,0.0,0.0,0.00733
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.065,0.70872,0.3012,0.93214,1.0,0.9920200000000001,1.0,0.09171,0.06973,0.19446,0.29128000000000004,0.06786,0.6988,0.0,0.0,0.00798
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.07,0.72485,0.31819000000000003,0.93699,1.0,0.99136,1.0,0.09657,0.07471,0.19824,0.27515,0.06301,0.68181,0.0,0.0,0.00864
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.075,0.73944,0.33454,0.94124,1.0,0.9907,1.0,0.10142999999999999,0.07968,0.20202,0.26056,0.05876,0.66546,0.0,0.0,0.0093
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,0.08,0.75269,0.35029,0.945,1.0,0.9900399999999999,1.0,0.10629000000000001,0.08466,0.2058,0.24731,0.055,0.64971,0.0,0.0,0.00996
