company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.005,1.0,0.06722,1.0,0.99975,0.9992700000000001,0.9999100000000001,0.00475,0.00491,0.06419,0.0,0.0,0.9327799999999999,0.00025,9e-05,0.00073
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.01,1.0,0.12653,1.0,0.9995,0.9985299999999999,0.9998299999999999,0.0095,0.00983,0.0682,0.0,0.0,0.8734700000000001,0.0005,0.00016999999999999999,0.00147
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.015,1.0,0.17925,1.0,0.99924,0.9977799999999999,0.99974,0.01425,0.014740000000000001,0.07222,0.0,0.0,0.82075,0.0007599999999999999,0.00026000000000000003,0.0022199999999999998
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.02,1.0,0.22641999999999998,1.0,0.99898,0.99703,0.99965,0.019,0.01966,0.07622999999999999,0.0,0.0,0.77358,0.0010199999999999999,0.00035,0.00297
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.025,1.0,0.26886,1.0,0.99872,0.9962799999999999,0.99956,0.02375,0.024569999999999998,0.08023999999999999,0.0,0.0,0.73114,0.00128,0.00044,0.00372
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.03,1.0,0.30727,1.0,0.99846,0.99551,0.9994700000000001,0.0285,0.02949,0.08426,0.0,0.0,0.6927300000000001,0.0015400000000000001,0.00053,0.00449
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.035,1.0,0.34218000000000004,1.0,0.9981899999999999,0.99474,0.9993799999999999,0.03325,0.0344,0.08827,0.0,0.0,0.65782,0.0018100000000000002,0.00062,0.00526
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.04,1.0,0.37405,1.0,0.99792,0.9939600000000001,0.99929,0.038,0.039310000000000005,0.09229,0.0,0.0,0.62595,0.0020800000000000003,0.0007099999999999999,0.00604
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.045,1.0,0.40326,1.0,0.99765,0.99318,0.9991899999999999,0.04275,0.04423,0.0963,0.0,0.0,0.5967399999999999,0.00235,0.00081,0.0068200000000000005
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.05,1.0,0.43013999999999997,1.0,0.9973799999999999,0.99239,0.9991,0.0475,0.049139999999999996,0.10031,0.0,0.0,0.56986,0.00262,0.0009,0.00761
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.055,1.0,0.45495,1.0,0.9971,0.99159,0.9990000000000001,0.05225,0.054060000000000004,0.10432999999999999,0.0,0.0,0.54505,0.0029,0.001,0.008409999999999999
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.06,1.0,0.47791999999999996,1.0,0.99682,0.9907799999999999,0.9989100000000001,0.057,0.05897,0.10834,0.0,0.0,0.52208,0.00318,0.00109,0.00922
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.065,1.0,0.49925,1.0,0.99654,0.9899700000000001,0.9988100000000001,0.06175,0.06389,0.11235999999999999,0.0,0.0,0.50075,0.00346,0.00119,0.010029999999999999
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.07,1.0,0.5191100000000001,1.0,0.99625,0.98915,0.99871,0.0665,0.0688,0.11637,0.0,0.0,0.48089,0.00375,0.0012900000000000001,0.01085
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.075,1.0,0.53764,1.0,0.9959600000000001,0.9883200000000001,0.99861,0.07125,0.07371,0.12039000000000001,0.0,0.0,0.46236000000000005,0.00404,0.00139,0.01168
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.08,1.0,0.55498,1.0,0.99567,0.9874799999999999,0.99851,0.076,0.07862999999999999,0.1244,0.0,0.0,0.44501999999999997,0.00433,0.00149,0.01252
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.085,1.0,0.57124,1.0,0.9953799999999999,0.98664,0.99841,0.08075,0.08354,0.12841,0.0,0.0,0.42876000000000003,0.00462,0.00159,0.013359999999999999
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.09,1.0,0.5865,1.0,0.99508,0.9857899999999999,0.99831,0.0855,0.08846,0.13243,0.0,0.0,0.4135,0.00492,0.0016899999999999999,0.014209999999999999
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.095,1.0,0.60087,1.0,0.9947799999999999,0.98493,0.9982,0.09025,0.09337000000000001,0.13644,0.0,0.0,0.39913000000000004,0.005220000000000001,0.0018,0.015069999999999998
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.1,1.0,0.61442,1.0,0.9944799999999999,0.98406,0.9981,0.095,0.09829,0.14046,0.0,0.0,0.38558000000000003,0.005520000000000001,0.0019,0.01594
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.105,1.0,0.62722,1.0,0.9941700000000001,0.9831799999999999,0.9979899999999999,0.09975,0.1032,0.14447000000000002,0.0,0.0,0.37278,0.00583,0.00201,0.016819999999999998
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.11,1.0,0.63932,1.0,0.9938600000000001,0.9823,0.9978799999999999,0.1045,0.10811,0.14848,0.0,0.0,0.36068,0.00614,0.00212,0.0177
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.115,1.0,0.65079,1.0,0.99354,0.98141,0.9977799999999999,0.10925,0.11302999999999999,0.1525,0.0,0.0,0.34920999999999996,0.00646,0.0022199999999999998,0.01859
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.12,1.0,0.66167,1.0,0.99323,0.98051,0.9976700000000001,0.114,0.11794,0.15650999999999998,0.0,0.0,0.33833,0.00677,0.00233,0.01949
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.125,1.0,0.672,1.0,0.9929100000000001,0.9796,0.99756,0.11875,0.12286,0.16053,0.0,0.0,0.32799999999999996,0.007090000000000001,0.00244,0.0204
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.13,1.0,0.68183,1.0,0.9925799999999999,0.9786799999999999,0.99744,0.1235,0.12777,0.16454000000000002,0.0,0.0,0.31817,0.00742,0.00256,0.02132
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.135,1.0,0.6912,1.0,0.99226,0.97775,0.9973299999999999,0.12825,0.13268,0.16855,0.0,0.0,0.3088,0.00774,0.00267,0.02225
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.14,1.0,0.70012,1.0,0.99193,0.97682,0.9972200000000001,0.133,0.1376,0.17257,0.0,0.0,0.29988000000000004,0.00807,0.00278,0.023180000000000003
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.145,1.0,0.7086399999999999,1.0,0.99159,0.9758700000000001,0.9971,0.13775,0.14251,0.17658,0.0,0.0,0.29136,0.008409999999999999,0.0029,0.024130000000000002
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.15,1.0,0.71678,1.0,0.99125,0.9749200000000001,0.99698,0.1425,0.14743,0.1806,0.0,0.0,0.28321999999999997,0.00875,0.00302,0.02508
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.155,1.0,0.7245699999999999,1.0,0.9909100000000001,0.97396,0.9968600000000001,0.14725,0.15234,0.18461,0.0,0.0,0.27543,0.00909,0.00314,0.026039999999999997
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.16,1.0,0.7320300000000001,1.0,0.9905700000000001,0.97298,0.99674,0.152,0.15725999999999998,0.18862,0.0,0.0,0.26797,0.00943,0.0032600000000000003,0.02702
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.165,1.0,0.73917,1.0,0.9902200000000001,0.972,0.9966200000000001,0.15675,0.16217,0.19264,0.0,0.0,0.26083,0.00978,0.0033799999999999998,0.027999999999999997
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.17,1.0,0.74603,1.0,0.9898600000000001,0.97101,0.9965,0.1615,0.16708,0.19665,0.0,0.0,0.25397,0.01014,0.0035,0.02899
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.175,1.0,0.75261,1.0,0.98951,0.97,0.9963799999999999,0.16625,0.172,0.20067000000000002,0.0,0.0,0.24739,0.010490000000000001,0.0036200000000000004,0.03
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.18,1.0,0.75893,1.0,0.9891399999999999,0.96899,0.99625,0.171,0.17690999999999998,0.20468,0.0,0.0,0.24106999999999998,0.01086,0.00375,0.031010000000000003
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.185,1.0,0.7650100000000001,1.0,0.9887799999999999,0.9679700000000001,0.9961200000000001,0.17575,0.18183,0.2087,0.0,0.0,0.23499,0.01122,0.0038799999999999998,0.03203
"Agena Bioscience, Inc.",MassARRAY SARS-CoV-2 Panel,0.19,1.0,0.77086,1.0,0.98841,0.9669399999999999,0.9959899999999999,0.1805,0.18674000000000002,0.21270999999999998,0.0,0.0,0.22914,0.011590000000000001,0.0040100000000000005,0.03306
