company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.005,0.10762000000000001,0.02027,0.41285,0.99979,0.9987799999999999,0.9999600000000001,0.0446,0.012029999999999999,0.19849,0.89238,0.58715,0.9797299999999999,0.00021,4e-05,0.00122
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.01,0.19512000000000002,0.03992,0.5856399999999999,0.9995799999999999,0.99755,0.9999299999999999,0.0492,0.01695,0.20154,0.80488,0.41436000000000006,0.9600799999999999,0.00042,7e-05,0.00245
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.015,0.26766,0.05899,0.6805899999999999,0.9993700000000001,0.99631,0.99989,0.0538,0.02188,0.20457999999999998,0.73234,0.31940999999999997,0.94101,0.00063,0.00011,0.0036899999999999997
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.02,0.32877,0.0775,0.74064,0.99915,0.9950700000000001,0.99985,0.0584,0.026810000000000004,0.20763,0.67123,0.25936,0.9225,0.00085,0.00015,0.0049299999999999995
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.025,0.38095,0.09547,0.78203,0.9989299999999999,0.9938100000000001,0.99982,0.063,0.03174,0.21066999999999997,0.61905,0.21796999999999997,0.90453,0.00107,0.00018,0.00619
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.03,0.42604,0.11294000000000001,0.8123,0.99871,0.99254,0.9997799999999999,0.0676,0.03667,0.21372,0.57396,0.1877,0.8870600000000001,0.0012900000000000001,0.00022,0.00746
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.035,0.46537,0.12991,0.83539,0.99849,0.9912700000000001,0.99974,0.0722,0.0416,0.21675999999999998,0.53463,0.16460999999999998,0.8700899999999999,0.00151,0.00026000000000000003,0.00873
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.04,0.5,0.14640999999999998,0.85359,0.9982700000000001,0.98998,0.9997,0.0768,0.04653,0.21980999999999998,0.5,0.14640999999999998,0.85359,0.00173,0.0003,0.010020000000000001
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.045,0.53071,0.16246,0.8683,0.9980399999999999,0.9886799999999999,0.99966,0.0814,0.051460000000000006,0.22285,0.46929,0.1317,0.83754,0.00196,0.00033999999999999997,0.01132
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.05,0.55814,0.17808,0.88045,0.9978100000000001,0.9873799999999999,0.9996200000000001,0.086,0.056389999999999996,0.2259,0.44186000000000003,0.11955,0.8219200000000001,0.0021899999999999997,0.00037999999999999997,0.012620000000000001
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.055,0.58278,0.19328,0.89064,0.9975799999999999,0.98606,0.9995799999999999,0.0906,0.061320000000000006,0.22895,0.41722,0.10935999999999998,0.80672,0.00242,0.00042,0.013940000000000001
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.06,0.6050399999999999,0.20808000000000001,0.89931,0.99735,0.9847299999999999,0.99954,0.0952,0.06624,0.23199,0.39496,0.10069,0.79192,0.00265,0.00045999999999999996,0.015269999999999999
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.065,0.62525,0.2225,0.9067799999999999,0.99711,0.98339,0.9995,0.0998,0.07117000000000001,0.23504,0.37475,0.09322000000000001,0.7775,0.0028899999999999998,0.0005,0.01661
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.07,0.64368,0.23655,0.91328,0.99687,0.9820399999999999,0.99946,0.1044,0.0761,0.23808,0.35631999999999997,0.08672,0.76345,0.00313,0.00054,0.01796
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.075,0.66055,0.25025,0.919,0.9966299999999999,0.9806799999999999,0.9994200000000001,0.109,0.08102999999999999,0.24113,0.33945,0.081,0.74975,0.00337,0.00058,0.01932
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.08,0.67606,0.2636,0.92405,0.99639,0.97931,0.9993799999999999,0.1136,0.08596000000000001,0.24416999999999997,0.32394,0.07595,0.7364,0.00361,0.00062,0.02069
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.085,0.6903600000000001,0.27663000000000004,0.92856,0.9961399999999999,0.97793,0.99934,0.1182,0.09089,0.24722,0.30964,0.07144,0.72337,0.00386,0.00066,0.02207
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.09,0.70358,0.28933000000000003,0.93261,0.9959,0.97654,0.99929,0.1228,0.09582,0.25026,0.29641999999999996,0.06738999999999999,0.71067,0.0041,0.0007099999999999999,0.023459999999999998
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.095,0.71586,0.30174,0.93626,0.99565,0.9751299999999999,0.99925,0.1274,0.10075,0.25331,0.28414,0.06373999999999999,0.69826,0.00435,0.00075,0.02487
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.1,0.72727,0.31384,0.9395700000000001,0.99539,0.97372,0.99921,0.132,0.10568,0.25636,0.27273000000000003,0.06043,0.68616,0.00461,0.00079,0.02628
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.105,0.73792,0.32566999999999996,0.94258,0.9951399999999999,0.97229,0.99916,0.1366,0.11060999999999999,0.2594,0.26208000000000004,0.057420000000000006,0.67433,0.00486,0.00084,0.027710000000000002
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.11,0.74788,0.33721999999999996,0.94534,0.9948799999999999,0.97085,0.9991200000000001,0.1412,0.11553,0.26245,0.25211999999999996,0.05466,0.66278,0.00512,0.00088,0.02915
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.115,0.7572,0.3485,0.9478700000000001,0.99461,0.9694,0.9990700000000001,0.1458,0.12046,0.26549,0.2428,0.052129999999999996,0.6515,0.00539,0.00093,0.0306
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.12,0.7659600000000001,0.35953,0.9502,0.99435,0.9679399999999999,0.99903,0.1504,0.12539,0.26854,0.23404,0.0498,0.64047,0.00565,0.0009699999999999999,0.032060000000000005
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.125,0.7741899999999999,0.37031,0.95236,0.99408,0.96646,0.99898,0.155,0.13032,0.27158000000000004,0.22580999999999998,0.047639999999999995,0.62969,0.00592,0.0010199999999999999,0.03354
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.13,0.78195,0.38085,0.95435,0.9938100000000001,0.9649700000000001,0.9989299999999999,0.1596,0.13525,0.27463000000000004,0.21805,0.04565,0.61915,0.00619,0.00107,0.03503
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.135,0.78928,0.39116,0.95621,0.99354,0.96347,0.99889,0.1642,0.14018,0.27767,0.21072,0.043789999999999996,0.6088399999999999,0.00646,0.0011099999999999999,0.03653
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.14,0.7962100000000001,0.40125,0.95794,0.99326,0.96196,0.99884,0.1688,0.14511,0.28071999999999997,0.20379,0.04206,0.59875,0.00674,0.00116,0.03804
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.145,0.80277,0.41112,0.9595600000000001,0.99298,0.9604299999999999,0.99879,0.1734,0.15004,0.28376999999999997,0.19723,0.04044,0.5888800000000001,0.00702,0.00121,0.03957
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.15,0.80899,0.42078000000000004,0.9610799999999999,0.9927,0.9588899999999999,0.99874,0.17800000000000002,0.15497,0.28681,0.19100999999999999,0.038919999999999996,0.57922,0.0073,0.00126,0.04111
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.155,0.8149,0.43023,0.9625,0.99241,0.95734,0.99869,0.1826,0.1599,0.28986,0.1851,0.0375,0.56977,0.00759,0.00131,0.04266
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.16,0.8205100000000001,0.43948999999999994,0.9638399999999999,0.99213,0.95578,0.99864,0.1872,0.16483,0.2929,0.17949,0.036160000000000005,0.5605100000000001,0.00787,0.0013599999999999999,0.044219999999999995
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.165,0.82586,0.44856,0.9651,0.9918299999999999,0.9542,0.99859,0.1918,0.16975,0.29595,0.17414000000000002,0.0349,0.5514399999999999,0.00817,0.00141,0.0458
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.17,0.83096,0.45745,0.9662799999999999,0.99154,0.9526,0.99854,0.1964,0.17468,0.29899000000000003,0.16904,0.03372,0.54255,0.008459999999999999,0.00146,0.0474
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.175,0.8358200000000001,0.46616,0.96741,0.99124,0.951,0.99849,0.201,0.17961,0.30204000000000003,0.16418,0.03259,0.53384,0.008759999999999999,0.00151,0.049
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.18,0.84047,0.47468999999999995,0.96847,0.9909399999999999,0.9493799999999999,0.9984299999999999,0.2056,0.18454,0.30508,0.15953,0.03153,0.52531,0.009059999999999999,0.00157,0.05062
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.185,0.84491,0.48305,0.9694799999999999,0.9906299999999999,0.9477399999999999,0.9983799999999999,0.2102,0.18947,0.30813,0.15509,0.03052,0.51695,0.00937,0.00162,0.05226
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.19,0.84916,0.49125,0.9704299999999999,0.9903200000000001,0.94609,0.9983299999999999,0.2148,0.1944,0.31118,0.15084,0.02957,0.50875,0.00968,0.0016699999999999998,0.05391
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.195,0.85324,0.49928999999999996,0.97134,0.9900100000000001,0.9444299999999999,0.9982700000000001,0.2194,0.19933,0.31422,0.14676,0.02866,0.50071,0.00999,0.00173,0.05557
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.2,0.85714,0.50718,0.97221,0.98969,0.94275,0.9982200000000001,0.22399999999999998,0.20426,0.31727,0.14286,0.02779,0.49282,0.01031,0.0017800000000000001,0.05725
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.205,0.8608899999999999,0.5149199999999999,0.97303,0.9893700000000001,0.94105,0.99816,0.2286,0.20919000000000001,0.32031,0.13910999999999998,0.026969999999999997,0.48508,0.01063,0.0018399999999999998,0.05895
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.21,0.86449,0.52251,0.97382,0.98905,0.93934,0.9981,0.2332,0.21411999999999998,0.32336,0.13551,0.026180000000000002,0.47748999999999997,0.01095,0.0019,0.060660000000000006
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.215,0.8679600000000001,0.52996,0.97457,0.98872,0.9376200000000001,0.99805,0.2378,0.21904,0.3264,0.13204000000000002,0.02543,0.47003999999999996,0.01128,0.00195,0.06238
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay,0.22,0.87129,0.53727,0.97529,0.9883799999999999,0.9358799999999999,0.9979899999999999,0.2424,0.22396999999999997,0.32945,0.12871,0.02471,0.46273000000000003,0.01162,0.00201,0.06412000000000001
