company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.005,0.09425,0.0385,0.21165,0.9999299999999999,0.9995799999999999,0.9999899999999999,0.05231,0.023569999999999997,0.12018,0.90575,0.78835,0.9615,7e-05,1e-05,0.00042
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.01,0.17299,0.07449,0.35051,0.99985,0.99915,0.99997,0.057,0.028460000000000003,0.12423,0.82701,0.64949,0.92551,0.00015,2.9999999999999997e-05,0.00085
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.015,0.23975,0.10822000000000001,0.44861,0.9997799999999999,0.99872,0.9999600000000001,0.0617,0.03335,0.12827,0.76025,0.5513899999999999,0.8917799999999999,0.00022,4e-05,0.00128
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.02,0.29707,0.13988,0.52161,0.9997,0.99828,0.99995,0.06639,0.03825,0.13232,0.70293,0.47839,0.8601200000000001,0.0003,5e-05,0.00172
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.025,0.34681999999999996,0.16965999999999998,0.57804,0.9996299999999999,0.99784,0.9999399999999999,0.07107999999999999,0.04314,0.13637,0.65318,0.42196000000000006,0.83034,0.00037,5.9999999999999995e-05,0.00216
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.03,0.39042,0.19772,0.62298,0.99955,0.9974,0.99992,0.07577,0.04804,0.14040999999999998,0.60958,0.37701999999999997,0.80228,0.00045,8e-05,0.0026
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.035,0.42891999999999997,0.22421,0.6596,0.9994700000000001,0.99695,0.9999100000000001,0.08047,0.05293,0.14445999999999998,0.57108,0.3404,0.77579,0.00053,9e-05,0.00305
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.04,0.46319,0.24925999999999998,0.69003,0.99939,0.9965,0.9999,0.08516,0.05782999999999999,0.14851,0.53681,0.30996999999999997,0.75074,0.00061,0.0001,0.0035
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.045,0.49387,0.27298,0.7157,0.99931,0.9960399999999999,0.9998799999999999,0.08985,0.06272,0.15255,0.50613,0.2843,0.72702,0.0006900000000000001,0.00011999999999999999,0.00396
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.05,0.52151,0.29548,0.73766,0.99923,0.9955799999999999,0.99987,0.09454,0.06762,0.1566,0.47848999999999997,0.26234,0.70452,0.0007700000000000001,0.00013000000000000002,0.00442
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.055,0.5465399999999999,0.31684,0.75666,0.99915,0.99511,0.99985,0.09924,0.07251,0.16065,0.45346000000000003,0.24334,0.68316,0.00085,0.00015,0.00489
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.06,0.5693,0.33715,0.77325,0.9990700000000001,0.99464,0.99984,0.10393,0.0774,0.16469,0.4307,0.22675,0.66285,0.00093,0.00016,0.00536
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.065,0.5901,0.35649000000000003,0.78787,0.9989899999999999,0.9941700000000001,0.9998299999999999,0.10862000000000001,0.0823,0.16874,0.4099,0.21213,0.64351,0.00101,0.00016999999999999999,0.00583
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.07,0.60918,0.37492,0.80085,0.9989,0.99369,0.9998100000000001,0.11331,0.08719,0.17279,0.39082,0.19915,0.62508,0.0011,0.00018999999999999998,0.0063100000000000005
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.075,0.62673,0.3925,0.81245,0.99882,0.99321,0.9998,0.11800999999999999,0.09208999999999999,0.17683,0.37327,0.18755,0.6075,0.00118,0.0002,0.006790000000000001
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.08,0.64295,0.40931,0.82288,0.9987299999999999,0.99272,0.9997799999999999,0.1227,0.09698,0.18087999999999999,0.35705,0.17712,0.5906899999999999,0.0012699999999999999,0.00022,0.00728
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.085,0.6579699999999999,0.42536999999999997,0.8323,0.99865,0.9922200000000001,0.99977,0.12739,0.10188,0.18492999999999998,0.34203,0.1677,0.57463,0.00135,0.00022999999999999998,0.00778
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.09,0.67192,0.44075,0.84086,0.99856,0.9917299999999999,0.99975,0.13208,0.10677,0.18897,0.32808000000000004,0.15914,0.55925,0.00144,0.00025,0.00827
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.095,0.68492,0.45548,0.84867,0.9984700000000001,0.9912200000000001,0.99974,0.13677999999999998,0.11166,0.19302,0.31508,0.15133,0.54452,0.0015300000000000001,0.00026000000000000003,0.00878
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.1,0.69705,0.46961,0.85583,0.9983799999999999,0.9907100000000001,0.99972,0.14147,0.11656,0.19705999999999999,0.30295,0.14417,0.5303899999999999,0.00162,0.00028,0.009290000000000001
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.105,0.70841,0.48317,0.86241,0.99829,0.9902,0.99971,0.14615999999999998,0.12145,0.20110999999999998,0.29159,0.13759000000000002,0.51683,0.0017100000000000001,0.00029,0.0098
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.11,0.71906,0.49618999999999996,0.8684799999999999,0.9982,0.9896799999999999,0.99969,0.15085,0.12635,0.20515999999999998,0.28094,0.13152,0.5038100000000001,0.0018,0.00031,0.010320000000000001
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.115,0.72906,0.50871,0.8740899999999999,0.99811,0.98916,0.9996700000000001,0.15555,0.13124,0.2092,0.27094,0.12591,0.49128999999999995,0.0018899999999999998,0.00033,0.01084
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.12,0.73848,0.52076,0.87931,0.99802,0.9886299999999999,0.99966,0.16024000000000002,0.13614,0.21325,0.26152,0.12069,0.47923999999999994,0.00198,0.00033999999999999997,0.01137
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.125,0.74737,0.53235,0.8841600000000001,0.99792,0.9880899999999999,0.99964,0.16493,0.14103,0.2173,0.25263,0.11584000000000001,0.46765,0.0020800000000000003,0.00036,0.011909999999999999
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.13,0.75576,0.5435300000000001,0.8886799999999999,0.9978299999999999,0.98755,0.9996299999999999,0.16962,0.14592,0.22134,0.24424,0.11132,0.45647,0.00217,0.00037,0.01245
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.135,0.7637,0.5543,0.89291,0.9977299999999999,0.987,0.99961,0.17432,0.15082,0.22539,0.2363,0.10709,0.4457,0.00227,0.00039,0.013000000000000001
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.14,0.77123,0.5646899999999999,0.8968799999999999,0.9976299999999999,0.98645,0.99959,0.17901,0.15571,0.22944,0.22876999999999997,0.10312,0.43531000000000003,0.00237,0.00041,0.01355
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,0.145,0.77837,0.57472,0.9006,0.9975299999999999,0.9858899999999999,0.9995799999999999,0.1837,0.16061,0.23348000000000002,0.22163000000000002,0.0994,0.42528,0.00247,0.00042,0.01411
