company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Alpha Genomix Laboratories,Alpha Genomix TaqPath SARS-CoV-2 Combo Assay,0.005,1.0,0.04061821433745076,1.0,0.9998325238653492,0.9990711884642334,0.9999703102383178,0.0048333333333333344,0.004970457810025713,0.10257620868159388,0.0,0.0,0.9593817856625492,0.00016747613465084576,2.96897616821612e-05,0.0009288115357666273
Alpha Genomix Laboratories,Alpha Genomix TaqPath SARS-CoV-2 Combo Assay,0.01,1.0,0.07842889384939701,1.0,0.9996634129922586,0.9981347449638578,0.9999403223697648,0.009666666666666669,0.009940915620051428,0.10624814977379897,0.0,0.0,0.921571106150603,0.00033658700774141787,5.9677630235177574e-05,0.0018652550361422104
Alpha Genomix Laboratories,Alpha Genomix TaqPath SARS-CoV-2 Combo Assay,0.015,1.0,0.11371340027086857,1.0,0.9994926433282598,0.9971905750440128,0.9999100318818709,0.0145,0.014911373430077141,0.10992009086600407,0.0,0.0,0.8862865997291314,0.0005073566717401778,8.99681181290024e-05,0.002809424955987128
Alpha Genomix Laboratories,Alpha Genomix TaqPath SARS-CoV-2 Combo Assay,0.02,1.0,0.14671671448521698,1.0,0.9993201903467028,0.9962385826847232,0.99987943417063,0.01933333333333333,0.019881831240102853,0.1135920319582092,0.0,0.0,0.8532832855147829,0.0006798096532971697,0.000120565829369923,0.003761417315276905
Alpha Genomix Laboratories,Alpha Genomix TaqPath SARS-CoV-2 Combo Assay,0.025,1.0,0.17765313257639687,1.0,0.9991460290350128,0.9952786702683454,0.9998485245381672,0.02416666666666667,0.024852289050128568,0.11726397305041432,0.0,0.0,0.8223468674236032,0.0008539709649871829,0.0001514754618329173,0.004721329731654622
Alpha Genomix Laboratories,Alpha Genomix TaqPath SARS-CoV-2 Combo Assay,0.03,1.0,0.20671092419602788,1.0,0.9989701338825951,0.9943107385462008,0.9998172981903336,0.028999999999999998,0.029822746860154282,0.12093591414261942,0.0,0.0,0.7932890758039721,0.001029866117404743,0.00018270180966628582,0.0056892614537992214
Alpha Genomix Laboratories,Alpha Genomix TaqPath SARS-CoV-2 Combo Assay,0.035,1.0,0.23405616729460804,1.0,0.9987924788683802,0.9933346866043666,0.999785750234229,0.03383333333333333,0.03479320467017999,0.12460785523482455,0.0,0.0,0.7659438327053921,0.0012075211316198153,0.00021424976577100183,0.006665313395633365
Alpha Genomix Laboratories,Alpha Genomix TaqPath SARS-CoV-2 Combo Assay,0.04,1.0,0.2598359242498515,1.0,0.9986130374479888,0.9923504118286042,0.9997538756756438,0.03866666666666667,0.039763662480205714,0.12827979632702965,0.0,0.0,0.7401640757501485,0.0013869625520110949,0.0002461243243562228,0.007649588171395827
Alpha Genomix Laboratories,Alpha Genomix TaqPath SARS-CoV-2 Combo Assay,0.045,1.0,0.28418088768494193,1.0,0.9984317825405123,0.991357809868396,0.9997216694164254,0.0435,0.04473412029023142,0.13195173741923474,0.0,0.0,0.7158191123150581,0.001568217459487653,0.0002783305835746264,0.008642190131603944
Alpha Genomix Laboratories,Alpha Genomix TaqPath SARS-CoV-2 Combo Assay,0.05,1.0,0.3072075964818057,1.0,0.998248686514886,0.9903567746000668,0.9996891262517584,0.04833333333333333,0.04970457810025713,0.13562367851143986,0.0,0.0,0.6927924035181943,0.0017513134851139256,0.0003108737482416801,0.009643225399933342
