company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Amplex Diagnostics, Gars-Bahnhof, Germany",variplex SARS-CoV-2 test system - run on the Genie II Mk2 instrument (Optigene Ltd) - Source: FindDx 1,0.005,0.007520000000000001,0.00207,0.026439999999999998,0.9953200000000001,0.9942,0.9963,0.11319000000000001,0.057010000000000005,0.21456999999999998,0.9924799999999999,0.97356,0.9979299999999999,0.00468,0.0037,0.0058
"Amplex Diagnostics, Gars-Bahnhof, Germany",variplex SARS-CoV-2 test system - run on the Genie II Mk2 instrument (Optigene Ltd) - Source: FindDx 1,0.01,0.015,0.00415,0.05176,0.99064,0.98841,0.9925799999999999,0.11348,0.05823,0.21394000000000002,0.985,0.94824,0.99585,0.00936,0.00742,0.011590000000000001
"Amplex Diagnostics, Gars-Bahnhof, Germany",variplex SARS-CoV-2 test system - run on the Genie II Mk2 instrument (Optigene Ltd) - Source: FindDx 1,0.015,0.02244,0.00625,0.07603,0.9859600000000001,0.9826299999999999,0.9888600000000001,0.11375999999999999,0.05946,0.2133,0.97756,0.9239700000000001,0.99375,0.01404,0.01114,0.01737
"Amplex Diagnostics, Gars-Bahnhof, Germany",variplex SARS-CoV-2 test system - run on the Genie II Mk2 instrument (Optigene Ltd) - Source: FindDx 1,0.02,0.02985,0.00836,0.09932,0.9812700000000001,0.97685,0.98513,0.11405,0.06069,0.21266999999999997,0.97015,0.9006799999999999,0.99164,0.01873,0.01487,0.02315
"Amplex Diagnostics, Gars-Bahnhof, Germany",variplex SARS-CoV-2 test system - run on the Genie II Mk2 instrument (Optigene Ltd) - Source: FindDx 1,0.025,0.037219999999999996,0.01048,0.12169,0.9765799999999999,0.97109,0.9813799999999999,0.11434000000000001,0.06192,0.21204,0.96278,0.87831,0.9895200000000001,0.02342,0.018619999999999998,0.02891
"Amplex Diagnostics, Gars-Bahnhof, Germany",variplex SARS-CoV-2 test system - run on the Genie II Mk2 instrument (Optigene Ltd) - Source: FindDx 1,0.03,0.04455,0.01261,0.14319,0.97188,0.96534,0.9776299999999999,0.11462,0.06315,0.21141,0.95545,0.8568100000000001,0.98739,0.02812,0.022369999999999998,0.03466
"Amplex Diagnostics, Gars-Bahnhof, Germany",variplex SARS-CoV-2 test system - run on the Genie II Mk2 instrument (Optigene Ltd) - Source: FindDx 1,0.035,0.05184,0.014759999999999999,0.16387000000000002,0.96719,0.9595899999999999,0.9738700000000001,0.11490999999999998,0.06437000000000001,0.21078000000000002,0.94816,0.8361299999999999,0.98524,0.03281,0.02613,0.04041
"Amplex Diagnostics, Gars-Bahnhof, Germany",variplex SARS-CoV-2 test system - run on the Genie II Mk2 instrument (Optigene Ltd) - Source: FindDx 1,0.04,0.0591,0.016909999999999998,0.18377000000000002,0.96249,0.95386,0.97009,0.1152,0.0656,0.21015,0.9409,0.81623,0.9830899999999999,0.03751,0.029910000000000003,0.04614
"Amplex Diagnostics, Gars-Bahnhof, Germany",variplex SARS-CoV-2 test system - run on the Genie II Mk2 instrument (Optigene Ltd) - Source: FindDx 1,0.045,0.06633,0.01909,0.20295,0.95778,0.9481299999999999,0.96631,0.11548,0.06683,0.20951,0.9336700000000001,0.79705,0.9809100000000001,0.04222,0.03369,0.051870000000000006
"Amplex Diagnostics, Gars-Bahnhof, Germany",variplex SARS-CoV-2 test system - run on the Genie II Mk2 instrument (Optigene Ltd) - Source: FindDx 1,0.05,0.07351,0.021269999999999997,0.22143000000000002,0.9530799999999999,0.9424100000000001,0.96252,0.11577,0.06806,0.20888,0.9264899999999999,0.77857,0.9787299999999999,0.046919999999999996,0.03748,0.057589999999999995
