company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Aspirus Reference Laboratory,Aspirus SARS-CoV rRT Assay,0.005,1.0,0.0369,1.0,0.9998,0.99924,0.9999399999999999,0.0048,0.00494,0.11728,0.0,0.0,0.9631,0.0002,5.9999999999999995e-05,0.0007599999999999999
Aspirus Reference Laboratory,Aspirus SARS-CoV rRT Assay,0.01,1.0,0.0715,1.0,0.9996,0.9984700000000001,0.99989,0.0096,0.009890000000000001,0.12104000000000001,0.0,0.0,0.9285,0.0004,0.00011,0.0015300000000000001
Aspirus Reference Laboratory,Aspirus SARS-CoV rRT Assay,0.015,1.0,0.10402,1.0,0.99939,0.99769,0.9998299999999999,0.0144,0.014830000000000001,0.1248,0.0,0.0,0.8959799999999999,0.00061,0.00016999999999999999,0.00231
Aspirus Reference Laboratory,Aspirus SARS-CoV rRT Assay,0.02,1.0,0.13463,1.0,0.99918,0.9969100000000001,0.99977,0.0192,0.019780000000000002,0.12855,0.0,0.0,0.8653700000000001,0.00082,0.00022999999999999998,0.00309
Aspirus Reference Laboratory,Aspirus SARS-CoV rRT Assay,0.025,1.0,0.16351,1.0,0.99898,0.9961200000000001,0.99972,0.024,0.02472,0.13230999999999998,0.0,0.0,0.83649,0.0010199999999999999,0.00028,0.0038799999999999998
Aspirus Reference Laboratory,Aspirus SARS-CoV rRT Assay,0.03,1.0,0.19079000000000002,1.0,0.99876,0.9953299999999999,0.99966,0.0288,0.02967,0.13607,0.0,0.0,0.80921,0.00124,0.00033999999999999997,0.0046700000000000005
Aspirus Reference Laboratory,Aspirus SARS-CoV rRT Assay,0.035,1.0,0.21661,1.0,0.99855,0.9945200000000001,0.9996,0.0336,0.03461,0.13982999999999998,0.0,0.0,0.7833899999999999,0.00145,0.0004,0.00548
Aspirus Reference Laboratory,Aspirus SARS-CoV rRT Assay,0.04,1.0,0.24106999999999998,1.0,0.99834,0.99371,0.99954,0.0384,0.039560000000000005,0.14359,0.0,0.0,0.75893,0.0016600000000000002,0.00045999999999999996,0.00629
Aspirus Reference Laboratory,Aspirus SARS-CoV rRT Assay,0.045,1.0,0.26429,1.0,0.9981200000000001,0.9929,0.9994799999999999,0.0432,0.0445,0.14735,0.0,0.0,0.7357100000000001,0.0018800000000000002,0.0005200000000000001,0.0071
Aspirus Reference Laboratory,Aspirus SARS-CoV rRT Assay,0.05,1.0,0.28634,1.0,0.9979,0.9920700000000001,0.9994200000000001,0.048,0.04945,0.15111,0.0,0.0,0.7136600000000001,0.0021,0.00058,0.00793
Aspirus Reference Laboratory,Aspirus SARS-CoV rRT Assay,0.055,1.0,0.30733,1.0,0.9976799999999999,0.99124,0.99936,0.0528,0.05439,0.15487,0.0,0.0,0.69267,0.00232,0.00064,0.008759999999999999
