company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Assurance Scientific Laboratories,Assurance SARS-CoV-2 Panel,0.005,1.0,0.09225651452096004,1.0,1.0,0.9997329976307282,1.0,0.005,0.005,0.051451491806192094,0.0,0.0,0.90774348547904,0.0,0.0,0.000267002369271796
Assurance Scientific Laboratories,Assurance SARS-CoV-2 Panel,0.01,1.0,0.1696367371629759,1.0,1.0,0.9994634429769148,1.0,0.01,0.01,0.05596352983826452,0.0,0.0,0.8303632628370241,0.0,0.0,0.0005365570230853045
Assurance Scientific Laboratories,Assurance SARS-CoV-2 Panel,0.015,1.0,0.23547039580282844,1.0,1.0,0.9991912992667484,1.0,0.015,0.015,0.060475567870336935,0.0,0.0,0.7645296041971715,0.0,0.0,0.0008087007332515661
Assurance Scientific Laboratories,Assurance SARS-CoV-2 Panel,0.02,1.0,0.2921624968349257,1.0,1.0,0.998916529018628,1.0,0.02,0.02,0.06498760590240936,0.0,0.0,0.7078375031650743,0.0,0.0,0.00108347098137207
Assurance Scientific Laboratories,Assurance SARS-CoV-2 Panel,0.025,1.0,0.3414934978240916,1.0,1.0,0.9986390940239516,1.0,0.025,0.025,0.06949964393448177,0.0,0.0,0.6585065021759084,0.0,0.0,0.0013609059760485431
Assurance Scientific Laboratories,Assurance SARS-CoV-2 Panel,0.03,1.0,0.3848096820516575,1.0,1.0,0.9983589553294052,1.0,0.03,0.03,0.0740116819665542,0.0,0.0,0.6151903179483424,0.0,0.0,0.0016410446705948931
Assurance Scientific Laboratories,Assurance SARS-CoV-2 Panel,0.035,1.0,0.4231478985863414,1.0,1.0,0.9980760732187308,1.0,0.035,0.035,0.07852371999862663,0.0,0.0,0.5768521014136586,0.0,0.0,0.001923926781269181
Assurance Scientific Laboratories,Assurance SARS-CoV-2 Panel,0.04,1.0,0.4573196332296367,1.0,1.0,0.9977904071939552,1.0,0.04,0.04,0.08303575803069904,0.0,0.0,0.5426803667703632,0.0,0.0,0.0022095928060449355
Assurance Scientific Laboratories,Assurance SARS-CoV-2 Panel,0.045,1.0,0.4879690823725206,1.0,1.0,0.9975019159560607,1.0,0.045,0.045,0.08754779606277145,0.0,0.0,0.5120309176274793,0.0,0.0,0.002498084043939253
Assurance Scientific Laboratories,Assurance SARS-CoV-2 Panel,0.05,1.0,0.5156141489515106,1.0,1.0,0.997210557385084,1.0,0.05,0.05,0.09205983409484386,0.0,0.0,0.4843858510484894,0.0,0.0,0.0027894426149159823
