company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Atila BioSystems, Inc.",iAMP COVID-19 Detection Kit,0.005,0.53318,0.15888,0.87182,0.9994,0.9990399999999999,0.9996299999999999,0.00826,0.0053100000000000005,0.025580000000000002,0.46681999999999996,0.12818,0.8411200000000001,0.0006,0.00037,0.0009599999999999999
"Atila BioSystems, Inc.",iAMP COVID-19 Detection Kit,0.01,0.69658,0.27519,0.93184,0.99879,0.9980700000000001,0.99926,0.01265,0.009940000000000001,0.029539999999999997,0.30341999999999997,0.06816,0.7248100000000001,0.00121,0.00074,0.00193
"Atila BioSystems, Inc.",iAMP COVID-19 Detection Kit,0.015,0.77585,0.36403,0.95373,0.99818,0.9971,0.9988799999999999,0.01703,0.01457,0.03349,0.22415,0.04627,0.63597,0.00182,0.00112,0.0029
"Atila BioSystems, Inc.",iAMP COVID-19 Detection Kit,0.02,0.82265,0.4341,0.96506,0.9975700000000001,0.99611,0.9985,0.021419999999999998,0.0192,0.03745,0.17735,0.03494,0.5659,0.00243,0.0015,0.00389
"Atila BioSystems, Inc.",iAMP COVID-19 Detection Kit,0.025,0.85354,0.49078,0.9719899999999999,0.9969399999999999,0.9951200000000001,0.9981200000000001,0.0258,0.02383,0.04141,0.14645999999999998,0.028010000000000004,0.50922,0.0030600000000000002,0.0018800000000000002,0.00488
"Atila BioSystems, Inc.",iAMP COVID-19 Detection Kit,0.03,0.87546,0.5375800000000001,0.97667,0.9963200000000001,0.9941200000000001,0.9977299999999999,0.030189999999999998,0.028460000000000003,0.045360000000000004,0.12454000000000001,0.02333,0.46242,0.0036799999999999997,0.00227,0.00588
"Atila BioSystems, Inc.",iAMP COVID-19 Detection Kit,0.035,0.8918200000000001,0.57686,0.9800399999999999,0.9956799999999999,0.99311,0.99734,0.03457,0.033089999999999994,0.049319999999999996,0.10818,0.01996,0.42313999999999996,0.00432,0.00266,0.00689
"Atila BioSystems, Inc.",iAMP COVID-19 Detection Kit,0.04,0.90449,0.61031,0.9825799999999999,0.99505,0.9920899999999999,0.99695,0.03896,0.03772,0.053270000000000005,0.09551,0.017419999999999998,0.38969000000000004,0.00495,0.00305,0.007909999999999999
"Atila BioSystems, Inc.",iAMP COVID-19 Detection Kit,0.045,0.9146,0.6391399999999999,0.98456,0.9944,0.9910700000000001,0.99655,0.04334,0.04235,0.057229999999999996,0.0854,0.01544,0.36086,0.0056,0.00345,0.00893
"Atila BioSystems, Inc.",iAMP COVID-19 Detection Kit,0.05,0.92285,0.6642399999999999,0.98616,0.99375,0.99003,0.9961399999999999,0.04773,0.04698,0.061189999999999994,0.07715,0.01384,0.33576,0.00625,0.00386,0.00997
