company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.005,0.21884,0.04709,0.62125,0.99964,0.99929,0.9998100000000001,0.021230000000000002,0.00774,0.09246,0.7811600000000001,0.37875,0.95291,0.00036,0.00018999999999999998,0.0007099999999999999
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.01,0.36025,0.09035,0.7672800000000001,0.9992700000000001,0.9985700000000001,0.9996200000000001,0.025789999999999997,0.01254,0.09638,0.63975,0.23271999999999998,0.90965,0.00073,0.00037999999999999997,0.00143
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.015,0.45915,0.13025,0.8325100000000001,0.9989,0.99785,0.9994200000000001,0.03035,0.01734,0.10029,0.54085,0.16749,0.86975,0.0011,0.00058,0.00215
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.02,0.5322100000000001,0.16714,0.8694700000000001,0.9985299999999999,0.9971200000000001,0.99923,0.03492,0.02213,0.1042,0.46779,0.13053,0.83286,0.00147,0.0007700000000000001,0.00288
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.025,0.58838,0.20137,0.8932700000000001,0.99816,0.9963799999999999,0.99903,0.03948,0.026930000000000003,0.10811,0.41162,0.10672999999999999,0.7986300000000001,0.0018399999999999998,0.0009699999999999999,0.0036200000000000004
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.03,0.6329199999999999,0.23321,0.9098700000000001,0.9977799999999999,0.9956299999999999,0.9988299999999999,0.044039999999999996,0.03173,0.11202000000000001,0.36708,0.09013,0.76679,0.0022199999999999998,0.00117,0.004370000000000001
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.035,0.66909,0.26289,0.92211,0.99739,0.9948799999999999,0.9986299999999999,0.0486,0.03652,0.11592999999999999,0.33091,0.07789,0.73711,0.0026100000000000003,0.00137,0.00512
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.04,0.69905,0.29065,0.9315100000000001,0.9970100000000001,0.99413,0.9984299999999999,0.05317,0.041319999999999996,0.11984000000000002,0.30095,0.06849,0.70935,0.00299,0.00157,0.00587
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.045,0.72428,0.31664000000000003,0.93895,0.9966200000000001,0.99336,0.9982200000000001,0.05773,0.04612,0.12375,0.27571999999999997,0.06105,0.6833600000000001,0.0033799999999999998,0.0017800000000000001,0.006640000000000001
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.05,0.7458100000000001,0.34105,0.94499,0.9962200000000001,0.99259,0.9980100000000001,0.06229,0.050910000000000004,0.12767,0.25419,0.05501,0.65895,0.0037799999999999995,0.00199,0.007409999999999999
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.055,0.76441,0.364,0.94999,0.99582,0.99182,0.9978,0.06685,0.05571,0.13158,0.23559000000000002,0.05001,0.636,0.00418,0.0022,0.00818
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.06,0.78062,0.38563000000000003,0.9542,0.9954200000000001,0.99103,0.99759,0.07141,0.06051,0.13549,0.21938000000000002,0.0458,0.61437,0.00458,0.0024100000000000002,0.00897
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.065,0.79489,0.40604,0.9577899999999999,0.9950100000000001,0.99024,0.9973799999999999,0.07597999999999999,0.0653,0.1394,0.20511,0.042210000000000004,0.59396,0.00499,0.00262,0.00976
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.07,0.80755,0.42533999999999994,0.9608899999999999,0.9946,0.98944,0.99716,0.08054,0.0701,0.14331,0.19245,0.03911,0.5746600000000001,0.0054,0.0028399999999999996,0.01056
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.075,0.81884,0.44361000000000006,0.96359,0.99419,0.98864,0.9969399999999999,0.0851,0.0749,0.14722000000000002,0.18116,0.036410000000000005,0.5563899999999999,0.00581,0.0030600000000000002,0.011359999999999999
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.08,0.82899,0.46093999999999996,0.9659700000000001,0.99377,0.98782,0.99672,0.08966,0.07969,0.15113,0.17101,0.03403,0.53906,0.006229999999999999,0.00328,0.01218
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.085,0.83816,0.4774,0.9680700000000001,0.99335,0.987,0.9965,0.09423,0.08449,0.15504,0.16184,0.03193,0.5226,0.00665,0.0035,0.013000000000000001
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.09,0.8464700000000001,0.49304,0.96995,0.99292,0.9861700000000001,0.9962700000000001,0.09879,0.08929,0.15896,0.15353,0.03005,0.5069600000000001,0.0070799999999999995,0.00373,0.01383
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.095,0.85406,0.50794,0.97164,0.99249,0.98534,0.9960399999999999,0.10335,0.09408,0.16287000000000001,0.14594000000000001,0.028360000000000003,0.49206000000000005,0.007509999999999999,0.00396,0.01466
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.1,0.861,0.52213,0.9731700000000001,0.99206,0.98449,0.9958100000000001,0.10790999999999999,0.09888,0.16677999999999998,0.139,0.02683,0.47786999999999996,0.007940000000000001,0.00419,0.01551
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.105,0.8673799999999999,0.53567,0.97455,0.9916200000000001,0.98364,0.9955799999999999,0.11248,0.10368,0.17069,0.13262000000000002,0.02545,0.46433,0.00838,0.00442,0.01636
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.11,0.87326,0.54861,0.9758100000000001,0.9911700000000001,0.9827799999999999,0.99535,0.11704,0.10847000000000001,0.1746,0.12674000000000002,0.02419,0.45138999999999996,0.00883,0.00465,0.01722
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.115,0.8787,0.56098,0.9769700000000001,0.99072,0.9819100000000001,0.99511,0.1216,0.11327000000000001,0.17851,0.1213,0.023030000000000002,0.43901999999999997,0.00928,0.00489,0.018090000000000002
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.12,0.88375,0.57282,0.97803,0.9902700000000001,0.9810399999999999,0.99487,0.12616,0.11807000000000001,0.18242,0.11625,0.02197,0.42718,0.009729999999999999,0.00513,0.01896
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.125,0.88844,0.58416,0.9790000000000001,0.9898100000000001,0.98015,0.9946200000000001,0.13072999999999999,0.12286,0.18633,0.11155999999999999,0.021,0.41584,0.010190000000000001,0.005379999999999999,0.01985
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.13,0.8928200000000001,0.59504,0.9799100000000001,0.98935,0.97926,0.9943799999999999,0.13529000000000002,0.12766,0.19024000000000002,0.10718,0.02009,0.40496,0.01065,0.00562,0.02074
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.135,0.89691,0.60548,0.98075,0.98888,0.97835,0.99413,0.13985,0.13246,0.19416,0.10309000000000001,0.01925,0.39452,0.01112,0.00587,0.02165
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.14,0.90075,0.6155,0.9815299999999999,0.9884,0.97744,0.9938799999999999,0.14440999999999998,0.13725,0.19807,0.09925,0.01847,0.3845,0.0116,0.0061200000000000004,0.02256
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.145,0.90435,0.6251399999999999,0.98226,0.98793,0.97652,0.9936200000000001,0.14897,0.14205,0.20198,0.09565,0.017740000000000002,0.37485999999999997,0.01207,0.006379999999999999,0.02348
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.15,0.9077299999999999,0.63441,0.9829399999999999,0.98744,0.97559,0.9933700000000001,0.15354,0.14685,0.20589000000000002,0.09227,0.01706,0.36559,0.01256,0.00663,0.02441
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.155,0.9109200000000001,0.6433399999999999,0.98357,0.98695,0.9746600000000001,0.99311,0.1581,0.15164,0.2098,0.08907999999999999,0.01643,0.35666,0.01305,0.00689,0.02534
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.16,0.9139299999999999,0.65194,0.9841700000000001,0.98646,0.9737100000000001,0.99284,0.16266,0.15644,0.21370999999999998,0.08607000000000001,0.01583,0.34806,0.01354,0.00716,0.026289999999999997
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.165,0.9167799999999999,0.66023,0.9847299999999999,0.9859600000000001,0.97275,0.9925799999999999,0.16722,0.16124000000000002,0.21761999999999998,0.08322,0.015269999999999999,0.33976999999999996,0.01404,0.00742,0.02725
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.17,0.9194700000000001,0.66823,0.98526,0.98545,0.97178,0.99231,0.17179,0.16602999999999998,0.22153,0.08052999999999999,0.014740000000000001,0.33177,0.01455,0.007690000000000001,0.02822
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.175,0.9220299999999999,0.67595,0.9857600000000001,0.9849399999999999,0.9708100000000001,0.9920399999999999,0.17635,0.17082999999999998,0.22545,0.07797,0.014240000000000001,0.32405,0.015059999999999999,0.00796,0.029189999999999997
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.18,0.9244600000000001,0.6834,0.98624,0.9844299999999999,0.9698200000000001,0.9917600000000001,0.18091,0.17563,0.22935999999999998,0.07554,0.01376,0.3166,0.015569999999999999,0.00824,0.030180000000000002
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.185,0.92676,0.6906100000000001,0.9866799999999999,0.9839,0.96883,0.9914799999999999,0.18547,0.18042,0.23326999999999998,0.07324,0.013319999999999999,0.30939,0.0161,0.00852,0.03117
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.19,0.92896,0.69758,0.98711,0.9833799999999999,0.9678200000000001,0.9912,0.19004000000000001,0.18522,0.23718000000000003,0.07103999999999999,0.01289,0.30241999999999997,0.01662,0.0088,0.03218
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.195,0.93105,0.70432,0.98751,0.9828399999999999,0.9668,0.99092,0.1946,0.19002,0.24109,0.06895,0.012490000000000001,0.29568,0.017159999999999998,0.00908,0.0332
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.2,0.93305,0.71085,0.9878899999999999,0.9823,0.96577,0.9906299999999999,0.19916,0.19480999999999998,0.245,0.06695,0.01211,0.28915,0.0177,0.00937,0.034230000000000003
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.205,0.93496,0.71717,0.98826,0.9817600000000001,0.9647399999999999,0.99034,0.20372,0.19960999999999998,0.24891,0.06504,0.01174,0.28283,0.01824,0.00966,0.03526
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.21,0.93679,0.7233,0.98861,0.9812,0.9636899999999999,0.9900399999999999,0.20828000000000002,0.20440999999999998,0.25282,0.06321,0.01139,0.2767,0.0188,0.00996,0.03631
AusDiagnostics,"SARS-CoV-2, Influenza and RSV 8-well - Source: FindDx 1",0.215,0.93853,0.72924,0.9889399999999999,0.98064,0.9626299999999999,0.98974,0.21285,0.2092,0.25674,0.061470000000000004,0.011059999999999999,0.27076,0.01936,0.01026,0.03737
