company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.005,1.0,0.0982,1.0,1.0,0.9988100000000001,1.0,0.005,0.005,0.0393,0.0,0.0,0.9018,0.0,0.0,0.00119
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.01,1.0,0.17957,1.0,1.0,0.9976200000000001,1.0,0.01,0.01,0.04299,0.0,0.0,0.8204299999999999,0.0,0.0,0.00238
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.015,1.0,0.24811,1.0,1.0,0.99641,1.0,0.015,0.015,0.046669999999999996,0.0,0.0,0.75189,0.0,0.0,0.00359
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.02,1.0,0.30662,1.0,1.0,0.9952,1.0,0.02,0.02,0.05035,0.0,0.0,0.69338,0.0,0.0,0.0048
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.025,1.0,0.35717,1.0,1.0,0.99397,1.0,0.025,0.025,0.054029999999999995,0.0,0.0,0.64283,0.0,0.0,0.00603
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.03,1.0,0.40126,1.0,1.0,0.99274,1.0,0.03,0.03,0.057710000000000004,0.0,0.0,0.5987399999999999,0.0,0.0,0.007259999999999999
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.035,1.0,0.44006000000000006,1.0,1.0,0.99149,1.0,0.035,0.035,0.06139,0.0,0.0,0.55994,0.0,0.0,0.00851
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.04,1.0,0.47448,1.0,1.0,0.99024,1.0,0.04,0.04,0.06507,0.0,0.0,0.52552,0.0,0.0,0.00976
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.045,1.0,0.50521,1.0,1.0,0.98898,1.0,0.045,0.045,0.06876,0.0,0.0,0.49478999999999995,0.0,0.0,0.01102
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.05,1.0,0.53281,1.0,1.0,0.9877,1.0,0.05,0.05,0.07244,0.0,0.0,0.46718999999999994,0.0,0.0,0.0123
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.055,1.0,0.55775,1.0,1.0,0.9864200000000001,1.0,0.055,0.055,0.07612000000000001,0.0,0.0,0.44225,0.0,0.0,0.013580000000000002
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.06,1.0,0.58038,1.0,1.0,0.98513,1.0,0.06,0.06,0.0798,0.0,0.0,0.41962,0.0,0.0,0.01487
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.065,1.0,0.60102,1.0,1.0,0.98382,1.0,0.065,0.065,0.08348,0.0,0.0,0.39898,0.0,0.0,0.01618
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.07,1.0,0.6199100000000001,1.0,1.0,0.98251,1.0,0.07,0.07,0.08716,0.0,0.0,0.38009,0.0,0.0,0.017490000000000002
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.075,1.0,0.6372800000000001,1.0,1.0,0.9811799999999999,1.0,0.075,0.075,0.09084,0.0,0.0,0.36272,0.0,0.0,0.01882
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.08,1.0,0.6532899999999999,1.0,1.0,0.97985,1.0,0.08,0.08,0.09452,0.0,0.0,0.34671,0.0,0.0,0.02015
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.085,1.0,0.6681,1.0,1.0,0.9785,1.0,0.085,0.085,0.09821,0.0,0.0,0.3319,0.0,0.0,0.0215
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.09,1.0,0.68184,1.0,1.0,0.97714,1.0,0.09,0.09,0.10189,0.0,0.0,0.31816,0.0,0.0,0.02286
BGI Genomics Co. Ltd,Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,0.095,1.0,0.69462,1.0,1.0,0.97577,1.0,0.095,0.095,0.10557000000000001,0.0,0.0,0.30538000000000004,0.0,0.0,0.02423
