company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.005,1.0,0.00678,1.0,0.99849,0.99598,0.9992700000000001,0.0035,0.00427,0.35497,0.0,0.0,0.9932200000000001,0.00151,0.00073,0.00402
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.01,1.0,0.01353,1.0,0.99698,0.99195,0.9985299999999999,0.006999999999999999,0.00855,0.35561,0.0,0.0,0.9864700000000001,0.00302,0.00147,0.00805
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.015,1.0,0.02025,1.0,0.99545,0.9879100000000001,0.99779,0.0105,0.012819999999999998,0.35624,0.0,0.0,0.97975,0.00455,0.00221,0.01209
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.02,1.0,0.02696,1.0,0.9939100000000001,0.9838600000000001,0.9970399999999999,0.013999999999999999,0.01709,0.35686999999999997,0.0,0.0,0.97304,0.00609,0.00296,0.01614
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.025,1.0,0.033639999999999996,1.0,0.9923700000000001,0.9798100000000001,0.9962799999999999,0.0175,0.02136,0.35751,0.0,0.0,0.96636,0.00763,0.00372,0.02019
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.03,1.0,0.04029,1.0,0.9908100000000001,0.9757399999999999,0.9955200000000001,0.021,0.025639999999999996,0.35814,0.0,0.0,0.9597100000000001,0.00919,0.00448,0.02426
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.035,1.0,0.04693,1.0,0.98924,0.97167,0.99475,0.0245,0.029910000000000003,0.35877,0.0,0.0,0.9530700000000001,0.010759999999999999,0.00525,0.02833
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.04,1.0,0.05354,1.0,0.98765,0.96759,0.99398,0.027999999999999997,0.03418,0.35941,0.0,0.0,0.9464600000000001,0.01235,0.00602,0.03241
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.045,1.0,0.06012000000000001,1.0,0.98606,0.9635100000000001,0.99319,0.0315,0.03845,0.36004,0.0,0.0,0.9398799999999999,0.013940000000000001,0.006809999999999999,0.036489999999999995
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.05,1.0,0.06667999999999999,1.0,0.98446,0.95941,0.9924,0.035,0.042730000000000004,0.36067,0.0,0.0,0.93332,0.01554,0.0076,0.04059
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.055,1.0,0.07322000000000001,1.0,0.9828399999999999,0.95531,0.9916,0.0385,0.047,0.36130999999999996,0.0,0.0,0.9267799999999999,0.017159999999999998,0.0084,0.04469
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.06,1.0,0.07973999999999999,1.0,0.98121,0.9512,0.9908,0.042,0.05127,0.36194,0.0,0.0,0.9202600000000001,0.01879,0.0092,0.0488
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.065,1.0,0.08623,1.0,0.97957,0.9470799999999999,0.9899899999999999,0.0455,0.05554,0.36257,0.0,0.0,0.9137700000000001,0.02043,0.01001,0.05292
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.07,1.0,0.09271,1.0,0.9779200000000001,0.94295,0.9891700000000001,0.049,0.059820000000000005,0.36321,0.0,0.0,0.9072899999999999,0.022080000000000002,0.01083,0.05705
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.075,1.0,0.09916,1.0,0.97625,0.9388200000000001,0.98834,0.0525,0.06409,0.36384,0.0,0.0,0.90084,0.02375,0.01166,0.06118
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.08,1.0,0.10558,1.0,0.9745799999999999,0.9346700000000001,0.98751,0.055999999999999994,0.06836,0.36446999999999996,0.0,0.0,0.8944200000000001,0.025419999999999998,0.012490000000000001,0.06533
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.085,1.0,0.11199,1.0,0.9728899999999999,0.9305200000000001,0.98667,0.0595,0.07263,0.36511,0.0,0.0,0.8880100000000001,0.027110000000000002,0.013330000000000002,0.06948
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.09,1.0,0.11837,1.0,0.9711799999999999,0.9263600000000001,0.98582,0.063,0.07691,0.36574,0.0,0.0,0.8816299999999999,0.02882,0.014180000000000002,0.07364
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.095,1.0,0.12473,1.0,0.96947,0.92219,0.9849600000000001,0.0665,0.08118,0.36637,0.0,0.0,0.8752700000000001,0.03053,0.015040000000000001,0.07781
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.1,1.0,0.13107,1.0,0.9677399999999999,0.91801,0.9840899999999999,0.07,0.08545,0.36701,0.0,0.0,0.86893,0.032260000000000004,0.01591,0.08199
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.105,1.0,0.13738,1.0,0.966,0.9138299999999999,0.9832200000000001,0.0735,0.08972999999999999,0.36764,0.0,0.0,0.86262,0.034,0.01678,0.08617000000000001
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.11,1.0,0.14368,1.0,0.96425,0.9096299999999999,0.98234,0.077,0.094,0.36827,0.0,0.0,0.8563200000000001,0.03575,0.01766,0.09037
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.115,1.0,0.14995,1.0,0.9624799999999999,0.90543,0.98145,0.0805,0.09827000000000001,0.36891,0.0,0.0,0.85005,0.03752,0.01855,0.09457
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.12,1.0,0.1562,1.0,0.9607,0.90122,0.98055,0.084,0.10254,0.36954000000000004,0.0,0.0,0.8438,0.0393,0.01945,0.09877999999999999
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.125,1.0,0.16243,1.0,0.9589,0.897,0.97964,0.0875,0.10682,0.37017,0.0,0.0,0.83757,0.0411,0.02036,0.10300000000000001
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.13,1.0,0.16864,1.0,0.9571,0.8927700000000001,0.97872,0.091,0.11109000000000001,0.37081,0.0,0.0,0.83136,0.0429,0.02128,0.10722999999999999
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.135,1.0,0.17482999999999999,1.0,0.9552700000000001,0.88854,0.9778,0.0945,0.11535999999999999,0.37144,0.0,0.0,0.8251700000000001,0.04473,0.0222,0.11145999999999999
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.14,1.0,0.18099,1.0,0.95344,0.8842899999999999,0.9768700000000001,0.098,0.11963,0.37206999999999996,0.0,0.0,0.81901,0.046560000000000004,0.02313,0.11571
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.145,1.0,0.18714,1.0,0.9515899999999999,0.8800399999999999,0.9759200000000001,0.1015,0.12390999999999999,0.37271,0.0,0.0,0.81286,0.04841,0.02408,0.11996
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.15,1.0,0.19326,1.0,0.9497200000000001,0.8757799999999999,0.9749700000000001,0.105,0.12818,0.37334,0.0,0.0,0.80674,0.05028,0.02503,0.12422000000000001
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.155,1.0,0.19937,1.0,0.94784,0.8715,0.97401,0.1085,0.13245,0.37396999999999997,0.0,0.0,0.8006300000000001,0.052160000000000005,0.02599,0.1285
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.16,1.0,0.20545,1.0,0.94595,0.86723,0.97304,0.11199999999999999,0.13672,0.37461,0.0,0.0,0.79455,0.05405,0.02696,0.13277
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.165,1.0,0.21151,1.0,0.94404,0.8629399999999999,0.97206,0.1155,0.141,0.37524,0.0,0.0,0.7884899999999999,0.05596,0.027939999999999996,0.13706
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.17,1.0,0.21756,1.0,0.94211,0.85864,0.9710700000000001,0.11900000000000001,0.14527,0.37588,0.0,0.0,0.7824399999999999,0.05789,0.02893,0.14135999999999999
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.175,1.0,0.22358000000000003,1.0,0.9401700000000001,0.8543299999999999,0.9700700000000001,0.1225,0.14954,0.37651,0.0,0.0,0.77642,0.059829999999999994,0.029930000000000002,0.14567
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.18,1.0,0.22958,1.0,0.93822,0.8500200000000001,0.96905,0.126,0.15381,0.37714000000000003,0.0,0.0,0.77042,0.061779999999999995,0.03095,0.14998
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.185,1.0,0.23556,1.0,0.93624,0.8457,0.96803,0.1295,0.15809,0.37778,0.0,0.0,0.76444,0.06376,0.03197,0.1543
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.19,1.0,0.24151999999999998,1.0,0.9342600000000001,0.8413700000000001,0.9670000000000001,0.133,0.16236,0.37840999999999997,0.0,0.0,0.75848,0.06573999999999999,0.033,0.15863
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.195,1.0,0.24745999999999999,1.0,0.93225,0.8370299999999999,0.96596,0.1365,0.16663,0.37904,0.0,0.0,0.75254,0.06775,0.03404,0.16297
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.2,1.0,0.25339,1.0,0.9302299999999999,0.83268,0.96491,0.14,0.1709,0.37968,0.0,0.0,0.74661,0.06977,0.035089999999999996,0.16732
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.205,1.0,0.25929,1.0,0.9282,0.8283200000000001,0.9638399999999999,0.1435,0.17518,0.38031,0.0,0.0,0.7407100000000001,0.0718,0.036160000000000005,0.17168
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.21,1.0,0.26516999999999996,1.0,0.92614,0.82395,0.9627700000000001,0.147,0.17945,0.38094,0.0,0.0,0.73483,0.07386000000000001,0.03723,0.17605
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.215,1.0,0.27103,1.0,0.9240700000000001,0.81957,0.96168,0.1505,0.18372,0.38158000000000003,0.0,0.0,0.72897,0.07593,0.03832,0.18043
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.22,1.0,0.27688,1.0,0.92199,0.81519,0.9605899999999999,0.154,0.188,0.38221,0.0,0.0,0.72312,0.07801,0.03941,0.18481
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.225,1.0,0.2827,1.0,0.9198799999999999,0.81079,0.9594799999999999,0.1575,0.19227,0.38284,0.0,0.0,0.7173,0.08012000000000001,0.04052,0.18921
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.23,1.0,0.28851,1.0,0.91776,0.8063899999999999,0.95836,0.161,0.19654000000000002,0.38348000000000004,0.0,0.0,0.71149,0.08224,0.041639999999999996,0.19361
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.235,1.0,0.29429,1.0,0.9156200000000001,0.80198,0.9572200000000001,0.1645,0.20081,0.38411,0.0,0.0,0.7057100000000001,0.08438,0.04278,0.19802
BGI Health (HK) Co. Ltd.,Real-time fluorescent RT-PCR kit for detecting 2019 nCoV - Source: FindDx 1,0.24,1.0,0.30006,1.0,0.91346,0.79756,0.9560799999999999,0.168,0.20509000000000002,0.38474,0.0,0.0,0.69994,0.08653999999999999,0.04392,0.20244
