company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
BIOSYNEX S.A.,VitaPCR™ SARS-CoV-2 Assay,0.005,1.0,0.00745,1.0,0.9993700000000001,0.99635,0.99989,0.004379999999999999,0.00489,0.35520999999999997,0.0,0.0,0.99255,0.00063,0.00011,0.00365
BIOSYNEX S.A.,VitaPCR™ SARS-CoV-2 Assay,0.01,1.0,0.01486,1.0,0.99874,0.99269,0.99977,0.00875,0.00978,0.35609,0.0,0.0,0.98514,0.00126,0.00022999999999999998,0.00731
BIOSYNEX S.A.,VitaPCR™ SARS-CoV-2 Assay,0.015,1.0,0.02223,1.0,0.9981,0.9890200000000001,0.99966,0.01312,0.01466,0.35696,0.0,0.0,0.97777,0.0019,0.00033999999999999997,0.01098
BIOSYNEX S.A.,VitaPCR™ SARS-CoV-2 Assay,0.02,1.0,0.02957,1.0,0.99746,0.9853299999999999,0.99954,0.0175,0.01955,0.35783000000000004,0.0,0.0,0.9704299999999999,0.0025399999999999997,0.00045999999999999996,0.014669999999999999
BIOSYNEX S.A.,VitaPCR™ SARS-CoV-2 Assay,0.025,1.0,0.03688,1.0,0.9968100000000001,0.98164,0.9994299999999999,0.02188,0.02444,0.35871,0.0,0.0,0.9631200000000001,0.0031899999999999997,0.00057,0.018359999999999998
BIOSYNEX S.A.,VitaPCR™ SARS-CoV-2 Assay,0.03,1.0,0.04414,1.0,0.99615,0.9779399999999999,0.99931,0.02625,0.029330000000000002,0.35958,0.0,0.0,0.95586,0.00385,0.0006900000000000001,0.02206
BIOSYNEX S.A.,VitaPCR™ SARS-CoV-2 Assay,0.035,1.0,0.051379999999999995,1.0,0.99549,0.9742299999999999,0.9991899999999999,0.030619999999999998,0.03422,0.36046,0.0,0.0,0.94862,0.00451,0.00081,0.025769999999999998
BIOSYNEX S.A.,VitaPCR™ SARS-CoV-2 Assay,0.04,1.0,0.058570000000000004,1.0,0.99482,0.97051,0.9990700000000001,0.035,0.0391,0.36133000000000004,0.0,0.0,0.9414299999999999,0.00518,0.00093,0.02949
BIOSYNEX S.A.,VitaPCR™ SARS-CoV-2 Assay,0.045,1.0,0.06573999999999999,1.0,0.9941399999999999,0.96678,0.9989399999999999,0.03938,0.043989999999999994,0.3622,0.0,0.0,0.9342600000000001,0.00586,0.00106,0.03322
BIOSYNEX S.A.,VitaPCR™ SARS-CoV-2 Assay,0.05,1.0,0.07286000000000001,1.0,0.99346,0.9630299999999999,0.99882,0.04375,0.04888,0.36308,0.0,0.0,0.92714,0.006540000000000001,0.00118,0.036969999999999996
