company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.005,1.0,0.032629072135725905,1.0,0.9993973483326636,0.9986524014579129,0.9997177920401651,0.0044,0.004719123814468768,0.11675925198919435,0.0,0.0,0.967370927864274,0.0006026516673363068,0.00028220795983502356,0.0013475985420869918
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.01,1.0,0.06349502015866475,1.0,0.9987893462469734,0.9972948730569408,0.9994328951529596,0.0088,0.009438247628937536,0.1200014125879108,0.0,0.0,0.9365049798413352,0.001210653753026647,0.0005671048470404783,0.002705126943059133
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.015,1.0,0.09273699124009667,1.0,0.9981759221726794,0.995927304638106,0.9991452707235562,0.0132,0.0141573714434063,0.12324357318662725,0.0,0.0,0.9072630087599032,0.001824077827320636,0.0008547292764438107,0.004072695361893919
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.02,1.0,0.1204798657257035,1.0,0.9975570032573292,0.9945495844069536,0.9988548793941896,0.0176,0.018876495257875072,0.12648573378534367,0.0,0.0,0.8795201342742965,0.002442996742671011,0.0011451206058102905,0.005450415593046265
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.025,1.0,0.14683603991867966,1.0,0.9969325153374232,0.993161598903088,0.9985616810462056,0.022,0.02359561907234384,0.1297278943840601,0.0,0.0,0.8531639600813203,0.003067484662576669,0.0014383189537944265,0.006838401096912028
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.03,1.0,0.17190694804912102,1.0,0.996302382908792,0.9917632329690236,0.9982656347815811,0.026400000000000003,0.028314742886812606,0.13297005498277653,0.0,0.0,0.8280930519508791,0.003697617091207972,0.001734365218418743,0.008236767030976309
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.035,1.0,0.19578436688541126,1.0,0.9956665290961618,0.9903543697183363,0.9979666989039097,0.0308,0.03303386670128137,0.13621221558149296,0.0,0.0,0.8042156331145888,0.004333470903838178,0.0020333010960904567,0.009645630281663542
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.04,1.0,0.21855153836094413,1.0,0.9950248756218906,0.9889348905030938,0.9976648308988206,0.0352,0.037752990515750144,0.1394543761802094,0.0,0.0,0.7814484616390558,0.00497512437810943,0.0023351691011793685,0.0110651094969062
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.045,1.0,0.2402841391598733,1.0,0.9943773427738444,0.9875046748805468,0.9973599874138256,0.0396,0.042472114330218906,0.14269653677892585,0.0,0.0,0.7597158608401267,0.005622657226155736,0.002640012586174301,0.01249532511945328
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.05,1.0,0.261051121061498,1.0,0.9937238493723848,0.986063600579062,0.9970521242375616,0.044000000000000004,0.04719123814468767,0.14593869737764226,0.0,0.0,0.738948878938502,0.006276150627615107,0.00294787576243849,0.013936399420937941
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.055,1.0,0.28091544170498234,1.0,0.9930643127364438,0.9846115434632768,0.9967411962784152,0.0484,0.05191036195915645,0.1491808579763587,0.0,0.0,0.7190845582950176,0.006935687263556201,0.0032588037215849357,0.015388456536723272
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.06,1.0,0.29993470209034223,1.0,0.9923986486486488,0.9831483774984524,0.9964271575425072,0.0528,0.05662948577362521,0.15242301857507512,0.0,0.0,0.7000652979096578,0.007601351351351315,0.003572842457492787,0.016851622501547703
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.065,1.0,0.3181617044130393,1.0,0.9917267713194738,0.9816739747140072,0.9961099611110108,0.0572,0.061348609588093975,0.15566517917379155,0.0,0.0,0.6818382955869606,0.008273228680526157,0.003890038888989089,0.01832602528599281
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.07,1.0,0.33564494161012354,1.0,0.9910485933503836,0.9801882051662067,0.9957895591167832,0.061600000000000016,0.06606773340256275,0.15890733977250798,0.0,0.0,0.6643550583898765,0.008951406649616356,0.004210440883216871,0.01981179483379325
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.075,1.0,0.35242902817586275,1.0,0.9903640256959316,0.9786909368999862,0.995465902720284,0.06600000000000003,0.07078685721703153,0.16214950037122444,0.0,0.0,0.6475709718241373,0.009635974304068484,0.004534097279715875,0.021309063100013792
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.08,1.0,0.3685550803058904,1.0,0.9896729776247848,0.9771820359098844,0.9951389420847592,0.0704,0.07550598103150029,0.16539166096994085,0.0,0.0,0.6314449196941097,0.010327022375215213,0.0048610579152409406,0.02281796409011549
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.085,1.0,0.3840610521893521,1.0,0.9889753566796368,0.9756613661000632,0.9948086263506558,0.0748,0.08022510484596905,0.16863382156865728,0.0,0.0,0.615938947810648,0.011024643320363127,0.005191373649344189,0.024338633899936846
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.09,1.0,0.3989820342394302,1.0,0.9882710686359688,0.9741287892433868,0.9944749036092512,0.0792,0.08494422866043783,0.1718759821673737,0.0,0.0,0.6010179657605699,0.011728931364031305,0.005525096390748829,0.02587121075661325
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.095,1.0,0.41335051819499,1.0,0.9875600174596246,0.9725841649395379,0.9941377208754564,0.08360000000000001,0.08966335247490659,0.17511814276609014,0.0,0.0,0.58664948180501,0.012439982540375372,0.005862279124543735,0.02741583506046197
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.1,1.0,0.42719663330877106,1.0,0.986842105263158,0.9710273505721414,0.9937970240597732,0.08800000000000001,0.09438247628937536,0.17836030336480654,0.0,0.0,0.572803366691229,0.013157894736842146,0.006202975940226675,0.0289726494278586
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.105,1.0,0.4405483572354785,1.0,0.9861172322609079,0.969458201264867,0.9934527579393684,0.0924,0.09910160010384413,0.18160246396352306,0.0,0.0,0.5594516427645215,0.013882767739092028,0.00654724206063173,0.030541798735132963
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.11,1.0,0.4534317047261103,1.0,0.9853852967227636,0.9678765698364884,0.9931048661282322,0.0968,0.10382072391831287,0.18484462456223946,0.0,0.0,0.5465682952738897,0.014614703277236463,0.006895133871767767,0.03212343016351149
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.115,1.0,0.4658708968064834,1.0,0.9846461949265688,0.9662823067548616,0.9927532910463934,0.1012,0.10853984773278166,0.18808678516095587,0.0,0.0,0.5341291031935166,0.015353805073431316,0.007246708953606573,0.0337176932451384
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.12,1.0,0.4778885127548947,1.0,0.9838998211091234,0.964675260089798,0.9923979738881464,0.1056,0.11325897154725045,0.1913289457596723,0.0,0.0,0.5221114872451054,0.01610017889087656,0.007602026111853455,0.035324739910201915
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.125,1.0,0.4895056268852541,1.0,0.9831460674157304,0.9630552754648009,0.9920388545892628,0.11,0.1179780953617192,0.19457110635838876,0.0,0.0,0.5104943731147459,0.016853932584269704,0.007961145410737225,0.036944724535199036
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.13,1.0,0.5007419318789603,1.0,0.9823848238482386,0.9614221960076272,0.99167587179314,0.1144,0.12269721917618795,0.1978132669571052,0.0,0.0,0.4992580681210397,0.017615176151761447,0.008324128206859904,0.03857780399237276
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.135,1.0,0.511615850183895,1.0,0.9816159782115298,0.95977586229965,0.9913089628158576,0.1188,0.12741634299065674,0.2010554275558216,0.0,0.0,0.488384149816105,0.01838402178847021,0.008691037184142547,0.04022413770034994
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.14,1.0,0.5221446348061427,1.0,0.980839416058394,0.9581161123239806,0.990938063610086,0.12320000000000003,0.1321354668051255,0.204297588154538,0.0,0.0,0.4778553651938573,0.019160583941605917,0.00906193638991415,0.04188388767601936
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.145,1.0,0.5323444606543754,1.0,0.9800550206327372,0.9564427814123176,0.9905631087278182,0.12760000000000002,0.13685459061959426,0.20753974875325445,0.0,0.0,0.4676555393456247,0.01994497936726269,0.009436891272181835,0.04355721858768236
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.15,1.0,0.5422305074541064,1.0,0.97926267281106,0.9547557021904859,0.9901840312818686,0.132,0.14157371443406302,0.2107819093519709,0.0,0.0,0.4577694925458936,0.020737327188940058,0.009815968718131396,0.045244297809514014
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.155,1.0,0.5518170351257456,1.0,0.9784622510421492,0.9530547045226287,0.9898007629060946,0.1364,0.1462928382485318,0.21402406995068726,0.0,0.0,0.4481829648742544,0.02153774895785077,0.010199237093905356,0.04694529547737114
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.16,1.0,0.561117452413669,1.0,0.9776536312849162,0.9513396154540108,0.9894132337142936,0.1408,0.15101196206300058,0.21726623054940372,0.0,0.0,0.4388825475863311,0.022346368715083772,0.010586766285706315,0.0486603845459892
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.165,1.0,0.5701443794609213,1.0,0.9768366869443144,0.9496102591523948,0.9890213722577194,0.1452,0.15573108587746934,0.2205083911481202,0.0,0.0,0.42985562053907866,0.02316331305568564,0.010978627742280644,0.050389740847605065
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.17,1.0,0.5789097049436494,1.0,0.976011288805268,0.9478664568479516,0.9886251054811678,0.1496,0.1604502096919381,0.2237505517468366,0.0,0.0,0.42109029505635065,0.02398871119473189,0.011374894518832224,0.052133543152048434
"BayCare Laboratories, LLC",BayCare SARS-CoV-2 RT PCR Assay,0.175,1.0,0.5874246383091911,1.0,0.9751773049645391,0.9461080267716522,0.9882243586775707,0.15400000000000005,0.1651693335064069,0.22699271234555304,0.0,0.0,0.4125753616908089,0.024822695035460973,0.011775641322429252,0.053891973228347816
