company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Becton, Dickinson & Company",BD SARS-CoV-2Reagents for BD MAX System,0.005,1.0,0.006840000000000001,1.0,0.9995,0.9964200000000001,0.9999100000000001,0.0045,0.00491,0.4353,0.0,0.0,0.99316,0.0005,9e-05,0.00358
"Becton, Dickinson & Company",BD SARS-CoV-2Reagents for BD MAX System,0.01,1.0,0.01366,1.0,0.9989899999999999,0.9928299999999999,0.99982,0.009000000000000001,0.00982,0.43611000000000005,0.0,0.0,0.98634,0.00101,0.00018,0.00717
"Becton, Dickinson & Company",BD SARS-CoV-2Reagents for BD MAX System,0.015,1.0,0.02046,1.0,0.9984799999999999,0.9892299999999999,0.9997299999999999,0.0135,0.014730000000000002,0.43691,0.0,0.0,0.97954,0.0015199999999999999,0.00027,0.01077
"Becton, Dickinson & Company",BD SARS-CoV-2Reagents for BD MAX System,0.02,1.0,0.027219999999999998,1.0,0.9979600000000001,0.98562,0.99964,0.018000000000000002,0.01964,0.43772,0.0,0.0,0.97278,0.0020399999999999997,0.00036,0.01438
"Becton, Dickinson & Company",BD SARS-CoV-2Reagents for BD MAX System,0.025,1.0,0.03397,1.0,0.99744,0.982,0.99954,0.0225,0.02455,0.43853000000000003,0.0,0.0,0.96603,0.00256,0.00045999999999999996,0.018000000000000002
"Becton, Dickinson & Company",BD SARS-CoV-2Reagents for BD MAX System,0.03,1.0,0.04069,1.0,0.99692,0.9783700000000001,0.99945,0.027000000000000003,0.029460000000000004,0.43933,0.0,0.0,0.95931,0.0030800000000000003,0.00055,0.02163
"Becton, Dickinson & Company",BD SARS-CoV-2Reagents for BD MAX System,0.035,1.0,0.04738,1.0,0.99639,0.9747299999999999,0.99935,0.0315,0.03437,0.44014,0.0,0.0,0.95262,0.00361,0.00065,0.025269999999999997
"Becton, Dickinson & Company",BD SARS-CoV-2Reagents for BD MAX System,0.04,1.0,0.05405,1.0,0.99585,0.9710799999999999,0.99926,0.036000000000000004,0.03928,0.44095,0.0,0.0,0.94595,0.00415,0.00074,0.028919999999999998
"Becton, Dickinson & Company",BD SARS-CoV-2Reagents for BD MAX System,0.045,1.0,0.0607,1.0,0.99531,0.9674200000000001,0.99916,0.0405,0.0442,0.44175,0.0,0.0,0.9393,0.00469,0.00084,0.03258
"Becton, Dickinson & Company",BD SARS-CoV-2Reagents for BD MAX System,0.05,1.0,0.06732,1.0,0.9947600000000001,0.96375,0.9990600000000001,0.045,0.04911,0.44256,0.0,0.0,0.93268,0.00524,0.0009400000000000001,0.03625
