company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.005,1.0,0.14909390655652746,0.9999999999999762,0.9991901522513768,0.998330549359036,0.9996437189459813,0.004193548387096775,0.0046453740047281145,0.02259156622523679,0.0,2.3758772726978353e-14,0.8509060934434726,0.0008098477486232493,0.00035628105401874777,0.0016694506409640206
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.01,1.0,0.2604674402520527,0.9999999999999882,0.998373454782043,0.9966498849254949,0.9992840967325994,0.00838709677419355,0.009290748009456116,0.025863231584658773,0.0,1.176836406102666e-14,0.7395325597479473,0.0016265452179570206,0.0007159032674005639,0.0033501150745050006
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.015,1.0,0.34682788172024503,0.999999999999992,0.9975498203201568,0.9949578933331328,0.9989210861389741,0.012580645161290323,0.01393612201418412,0.029134896944080755,0.0,7.88258347483861e-15,0.6531721182797551,0.0024501796798431785,0.0010789138610259874,0.005042106666867108
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.02,1.0,0.4157509620681968,0.9999999999999942,0.9967191601049871,0.993254459682432,0.9985546390501768,0.0167741935483871,0.018581496018912118,0.03240656230350274,0.0,5.773159728050814e-15,0.5842490379318032,0.0032808398950130435,0.0014453609498230602,0.006745540317567911
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.025,1.0,0.4720336581140229,0.9999999999999952,0.9958813838550248,0.9915394675145912,0.9981847064359736,0.020967741935483872,0.023226870023640125,0.03567822766292472,0.0,4.662936703425658e-15,0.5279663418859771,0.004118616144975329,0.0018152935640264325,0.008460532485408678
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.03,1.0,0.5188612243661748,0.999999999999996,0.9950363997352746,0.9898127987849844,0.9978112383289528,0.02516129032258065,0.02787224402836813,0.0389498930223467,0.0,3.885780586188048e-15,0.4811387756338252,0.004963600264725421,0.0021887616710473123,0.010187201215015596
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.035,1.0,0.5584316389524442,0.9999999999999968,0.9941841143236956,0.9880743338360758,0.9974341838020272,0.02935483870967742,0.03251761803309613,0.04222155838176868,0.0,3.219646771412954e-15,0.4415683610475558,0.005815885676304422,0.0025658161979728034,0.011925666163924207
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.04,1.0,0.5923106057135885,0.9999999999999972,0.9933244325767692,0.9863239513697784,0.9970534909452842,0.0335483870967742,0.03716299203782413,0.04549322374119066,0.0,2.7755575615628914e-15,0.4076893942864115,0.006675567423230944,0.002946509054715829,0.013676048630221538
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.045,1.0,0.6216436524896897,0.9999999999999976,0.9924572577941669,0.9845615284192408,0.9966691068421604,0.03774193548387097,0.041808366042552135,0.048764889100612635,0.0,2.4424906541753444e-15,0.3783563475103103,0.007542742205832953,0.003330893157839521,0.015438471580759172
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.05,1.0,0.6472882185806456,0.9999999999999978,0.9915824915824916,0.9827869403200512,0.9962809775449218,0.04193548387096774,0.04645374004728013,0.05203655446003462,0.0,2.2204460492503127e-15,0.35271178141935444,0.008417508417508435,0.0037190224550781577,0.017213059679948906
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.055,1.0,0.6698988617281016,0.9999999999999979,0.9907000338180588,0.9810000606808412,0.9958890480494232,0.04612903225806452,0.051099114052008135,0.055308219819456605,0.0,1.9984014443252818e-15,0.33010113827189835,0.009299966181941177,0.004110951950576869,0.018999939319158776
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.06,1.0,0.6899839124229985,0.999999999999998,0.9898097826086956,0.9792007613532796,0.9954932622691224,0.050322580645161284,0.05574448805673615,0.05857988517887859,0.0,1.887379141862766e-15,0.3100160875770015,0.010190217391304324,0.00450673773087773,0.020799238646720286
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.065,1.0,0.7079441476838816,0.9999999999999982,0.9889116342545208,0.9773889124014352,0.9950935630083234,0.05451612903225807,0.06038986206146415,0.061851550538300576,0.0,1.7763568394002505e-15,0.2920558523161184,0.011088365745479334,0.004906436991676588,0.022611087598564783
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.07,1.0,0.7240998074568962,0.9999999999999986,0.9880054832076766,0.9755643820704974,0.9946898919346232,0.05870967741935485,0.06503523606619215,0.06512321589772256,0.0,1.4432899320127035e-15,0.27590019254310383,0.011994516792323441,0.005310108065376684,0.02443561792950255
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.075,1.0,0.7387098570477904,0.9999999999999986,0.9870912220309812,0.9737270367548396,0.9942821895505312,0.06290322580645162,0.06968061007092016,0.06839488125714455,0.0,1.4432899320127035e-15,0.26129014295220965,0.012908777969018905,0.005717810449468841,0.026272963245160263
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.08,1.0,0.7519859734326743,0.9999999999999988,0.9861687413554632,0.9718767409654042,0.9938703951642349,0.0670967741935484,0.07432598407564815,0.07166654661656653,0.0,1.3322676295501877e-15,0.2480140265673257,0.013831258644536716,0.006129604835764968,0.028123259034595786
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.085,1.0,0.7641028678682006,0.9999999999999988,0.985237929836749,0.9700133572963971,0.993454446859482,0.07129032258064517,0.07897135808037616,0.07493821197598853,0.0,1.2212453270876722e-15,0.2358971321317994,0.01476207016325104,0.006545553140517857,0.02998664270360285
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.09,1.0,0.7752060176172734,0.9999999999999988,0.9842986741102582,0.9681367463912736,0.9930342814645446,0.07548387096774195,0.08361673208510417,0.07820987733541049,0.0,1.1102230246251563e-15,0.22479398238272666,0.015701325889741824,0.006965718535455356,0.03186325360872655
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.095,1.0,0.7854175349987419,0.9999999999999988,0.9833508587451804,0.9662467669079952,0.9926098345202358,0.07967741935483871,0.08826210608983216,0.08148154269483247,0.0,1.1102230246251563e-15,0.2145824650012581,0.016649141254819533,0.007390165479764232,0.03375323309200473
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.1,1.0,0.7948406770856092,0.999999999999999,0.9823943661971832,0.9643432754835448,0.9921810402469428,0.08387096774193549,0.09290748009456017,0.08475320805425446,0.0,9.992007221626409e-16,0.2051593229143908,0.017605633802816878,0.007818959753057242,0.035656724516455296
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.105,1.0,0.8035633497177208,0.999999999999999,0.9814290767598159,0.9624261266976734,0.9917478315106429,0.08806451612903228,0.09755285409928817,0.08802487341367644,0.0,9.992007221626409e-16,0.1964366502822792,0.018570923240183945,0.008252168489356948,0.03757387330232664
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.11,1.0,0.8116608581042746,0.999999999999999,0.98045486851457,0.9604951730358676,0.9913101397878642,0.09225806451612904,0.10219822810401616,0.0912965387730984,0.0,9.992007221626409e-16,0.18833914189572545,0.019545131485429912,0.008689860212135803,0.03950482696413227
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.115,1.0,0.8191980864700976,0.9999999999999992,0.979471617279543,0.9585502648515132,0.9908678951295504,0.09645161290322582,0.10684360210874418,0.0945682041325204,0.0,8.881784197001252e-16,0.1808019135299024,0.020528382720456984,0.009132104870449465,0.04144973514848671
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.12,1.0,0.8262312403910433,0.9999999999999992,0.9784791965566714,0.9565912503272336,0.9904210261237965,0.1006451612903226,0.1114889761134722,0.09783986949194236,0.0,8.881784197001252e-16,0.17376875960895666,0.021520803443328632,0.009578973876203543,0.04340874967276653
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.125,1.0,0.8328092508689691,0.9999999999999992,0.9774774774774776,0.9546179754353858,0.9899694598574053,0.10483870967741936,0.11613435011820017,0.10111153485136436,0.0,8.881784197001252e-16,0.16719074913103105,0.022522522522522515,0.010030540142594746,0.04538202456461416
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.13,1.0,0.8389749143605771,0.9999999999999992,0.9764663287472846,0.952630283897692,0.9895131218762282,0.10903225806451614,0.1207797241229282,0.10438320021078634,0.0,7.771561172376097e-16,0.16102508563942286,0.02353367125271544,0.010486878123771805,0.04736971610230789
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.135,1.0,0.8447658249312375,0.9999999999999992,0.97544561658785,0.9506280171439788,0.9890519361442396,0.11322580645161293,0.12542509812765618,0.10765486557020833,0.0,6.661338147750938e-16,0.15523417506876247,0.024554383412149883,0.010948063855760526,0.04937198285602107
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.14,1.0,0.8502151414512272,0.9999999999999992,0.9744152046783626,0.9486110142700096,0.9885858250013018,0.11741935483870967,0.13007047213238418,0.11092653092963033,0.0,6.661338147750938e-16,0.14978485854877274,0.025584795321637373,0.011414174998698234,0.05138898572999051
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.145,1.0,0.8553522229154925,0.9999999999999992,0.9733749540947484,0.9465791119943792,0.9881147091195692,0.12161290322580648,0.1347158461371122,0.1141981962890523,0.0,6.661338147750938e-16,0.1446477770845075,0.02662504590525161,0.011885290880430888,0.053420888005620726
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.15,1.0,0.8602031575972672,0.9999999999999994,0.9723247232472324,0.944532144614454,0.9876385074584796,0.1258064516129032,0.1393612201418402,0.11746986164847426,0.0,5.551115123125784e-16,0.13979684240273282,0.027675276752767486,0.012361492541520414,0.05546785538554588
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.155,1.0,0.8647912061726214,0.9999999999999994,0.971264367816092,0.942469943961323,0.9871571372182809,0.13,0.1440065941465682,0.12074152700789625,0.0,5.551115123125784e-16,0.1352087938273786,0.028735632183908063,0.012842862781718978,0.057530056038677
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.16,1.0,0.8691371747030257,0.9999999999999994,0.970193740685544,0.9403923393537438,0.9866705137920369,0.1341935483870968,0.1486519681512962,0.12401319236731825,0.0,5.551115123125784e-16,0.13086282529697435,0.02980625931445602,0.01332948620796326,0.05960766064625622
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.165,1.0,0.8732597300961881,0.9999999999999994,0.969112691875702,0.9382991575510502,0.9861785507160504,0.13838709677419356,0.1532973421560242,0.1272848577267402,0.0,5.551115123125784e-16,0.12674026990381193,0.030887308124297963,0.013821449283949572,0.0617008424489498
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.17,1.0,0.8771756681353756,0.9999999999999994,0.9680210684725356,0.936190222704998,0.9856811596186492,0.14258064516129035,0.1579427161607522,0.1305565230861622,0.0,5.551115123125784e-16,0.12282433186462438,0.03197893152746434,0.014318840381350673,0.06380977729500192
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.175,1.0,0.880900142194048,0.9999999999999994,0.9669187145557656,0.9340653563105186,0.9851782501672652,0.1467741935483871,0.16258809016548026,0.1338281884455842,0.0,5.551115123125784e-16,0.119099857805952,0.03308128544423439,0.014821749832734762,0.06593464368948143
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.18,1.0,0.8844468592030719,0.9999999999999996,0.96580547112462,0.931924377155352,0.9846697300137416,0.1509677419354839,0.16723346417020826,0.13709985380500614,0.0,4.440892098500626e-16,0.11555314079692812,0.034194528875379986,0.015330269986258529,0.06807562284464808
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.185,1.0,0.8878282482132656,0.9999999999999996,0.9646811760213824,0.9297671012685312,0.9841555047378012,0.15516129032258064,0.1718788381749362,0.14037151916442814,0.0,4.440892098500626e-16,0.11217175178673444,0.035318823978617735,0.015844495262198888,0.07023289873146865
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.19,1.0,0.8910556059225235,0.9999999999999996,0.9635456638526476,0.9275933418676846,0.9836354777886002,0.15935483870967745,0.1765242121796642,0.14364318452385014,0.0,4.440892098500626e-16,0.10894439407747647,0.036454336147352266,0.016364522211399838,0.0724066581323154
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.195,1.0,0.8941392227583677,0.9999999999999996,0.9623987659082144,0.9254029093051248,0.9831095504242928,0.16354838709677422,0.18116958618439225,0.1469148498832721,0.0,4.440892098500626e-16,0.10586077724163234,0.03760123409178562,0.016890449575707067,0.0745970906948753
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.2,1.0,0.8970884924809939,0.9999999999999996,0.9612403100775194,0.9231956110126944,0.9825776216495272,0.16774193548387098,0.18581496018912025,0.15018651524269408,0.0,4.440892098500626e-16,0.10291150751900613,0.03875968992248058,0.017422378350472667,0.07680438898730546
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.205,1.0,0.8999120077661666,0.9999999999999996,0.9600701207635371,0.920971251445332,0.982039588150788,0.17193548387096774,0.19046033419384825,0.15345818060211608,0.0,4.440892098500626e-16,0.10008799223383336,0.03992987923646285,0.017960411849211932,0.07902874855466813
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.21,1.0,0.902617643816614,0.9999999999999996,0.9588880187940486,0.918729632023322,0.9814953442295024,0.17612903225806453,0.19510570819857626,0.15672984596153808,0.0,4.440892098500626e-16,0.09738235618338588,0.04111198120595139,0.018504655770497647,0.08127036797667797
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.215,1.0,0.9052126317154487,0.9999999999999996,0.9576938213301851,0.9164705510732004,0.9809447817328134,0.1803225806451613,0.19975108220330426,0.16000151132096002,0.0,4.440892098500626e-16,0.09478736828455114,0.042306178669815016,0.01905521826718659,0.08352944892679948
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.22,1.0,0.9077036229604626,0.9999999999999996,0.956487341772152,0.914193803767268,0.9803877899819312,0.18451612903225809,0.20439645620803226,0.163273176680382,0.0,4.440892098500626e-16,0.0922963770395374,0.04351265822784811,0.019612210018068787,0.08580619623273189
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.225,1.0,0.910096746392014,0.9999999999999996,0.955268389662028,0.911899182061683,0.9798242556979564,0.18870967741935485,0.20904183021276024,0.16654484203980402,0.0,4.440892098500626e-16,0.08990325360798612,0.044731610337972134,0.02017574430204372,0.08810081793831702
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.23,1.0,0.9123976585403192,0.9999999999999996,0.9540367705835332,0.9095864746330884,0.9792540629250756,0.19290322580645164,0.21368720421748824,0.169816507399226,0.0,4.440892098500626e-16,0.08760234145968082,0.0459632294164668,0.020745937074924448,0.0904135253669116
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.235,1.0,0.9146115882628388,0.9999999999999996,0.9527922860586582,0.9072554668137354,0.9786770929510196,0.1970967741935484,0.21833257822221624,0.17308817275864796,0.0,3.3306690738754696e-16,0.08538841173716116,0.047207713941341815,0.02132290704898032,0.09274453318626463
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.24,1.0,0.9167433764132334,0.9999999999999996,0.951534733441034,0.90490594052506,0.9780932242246652,0.2012903225806452,0.22297795222694428,0.17635983811806993,0.0,3.3306690738754696e-16,0.08325662358676655,0.0484652665589661,0.02190677577533484,0.09509405947493987
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.245,1.0,0.9187975111753274,0.9999999999999996,0.9502639058059276,0.902537674209672,0.9775023322706664,0.20548387096774196,0.22762332623167225,0.17963150347749193,0.0,3.3306690738754696e-16,0.08120248882467263,0.049736094194072315,0.022497667729333704,0.097462325790328
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.25,1.0,0.9207781596048722,0.9999999999999996,0.9489795918367347,0.900150442761706,0.9769042896009846,0.20967741935483872,0.23226870023640026,0.1829031688369139,0.0,3.3306690738754696e-16,0.07922184039512781,0.05102040816326525,0.023095710399015368,0.09984955723829404
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.255,1.0,0.9226891958455936,0.9999999999999996,0.9476815757078376,0.8977440174554977,0.9762989656231889,0.2138709677419355,0.23691407424112826,0.18617483419633588,0.0,3.3306690738754696e-16,0.0773108041544065,0.05231842429216249,0.023701034376811148,0.1022559825445023
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.26,1.0,0.9245342264215594,0.9999999999999996,0.9463696369636964,0.8953181658725291,0.9756862265453844,0.21806451612903227,0.24155944824585626,0.18944649955575787,0.0,3.3306690738754696e-16,0.07546577357844064,0.053630363036303634,0.02431377345461549,0.1046818341274709
"Becton, Dickinson and Company (BD)",BD Veritor System for Rapid Detection of SARS-CoV-2,0.265,1.0,0.9263166129533056,0.9999999999999996,0.9450435503940274,0.8928726518265985,0.9750659352776279,0.22225806451612906,0.2462048222505843,0.19271816491517987,0.0,3.3306690738754696e-16,0.07368338704669443,0.05495644960597257,0.024934064722372033,0.10712734817340153
