company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.005,1.0,0.00454,1.0,0.9958299999999999,0.9949399999999999,0.9963200000000001,0.0008300000000000001,0.00132,0.11020999999999999,0.0,0.0,0.99546,0.00417,0.0036799999999999997,0.00506
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.01,1.0,0.00908,1.0,0.99165,0.9898899999999999,0.9926299999999999,0.0016699999999999998,0.00265,0.11016,0.0,0.0,0.99092,0.00835,0.007370000000000001,0.01011
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.015,1.0,0.013630000000000001,1.0,0.9874700000000001,0.9848299999999999,0.98892,0.0025,0.0039700000000000004,0.11010999999999999,0.0,0.0,0.9863700000000001,0.01253,0.01108,0.01517
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.02,1.0,0.01819,1.0,0.9832799999999999,0.9797799999999999,0.98521,0.0033299999999999996,0.0052899999999999996,0.11005999999999999,0.0,0.0,0.9818100000000001,0.01672,0.014790000000000001,0.02022
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.025,1.0,0.02274,1.0,0.97908,0.97472,0.98149,0.00417,0.0066099999999999996,0.11,0.0,0.0,0.97726,0.020919999999999998,0.01851,0.02528
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.03,1.0,0.0273,1.0,0.9748700000000001,0.96967,0.9777600000000001,0.005,0.007940000000000001,0.10995,0.0,0.0,0.9727,0.02513,0.02224,0.030330000000000003
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.035,1.0,0.031869999999999996,1.0,0.9706600000000001,0.9646100000000001,0.9740200000000001,0.00583,0.00926,0.1099,0.0,0.0,0.9681299999999999,0.029339999999999998,0.02598,0.03539
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.04,1.0,0.03644,1.0,0.96644,0.9595600000000001,0.9702700000000001,0.006670000000000001,0.010579999999999999,0.10985,0.0,0.0,0.9635600000000001,0.03356,0.02973,0.04044
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.045,1.0,0.041010000000000005,1.0,0.9622200000000001,0.9545100000000001,0.9665100000000001,0.0075,0.011909999999999999,0.1098,0.0,0.0,0.95899,0.03778,0.03349,0.045489999999999996
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.05,1.0,0.04559,1.0,0.9579799999999999,0.9494600000000001,0.96273,0.008329999999999999,0.01323,0.10975,0.0,0.0,0.9544100000000001,0.04202,0.03727,0.050539999999999995
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.055,1.0,0.05017,1.0,0.9537399999999999,0.9444100000000001,0.95895,0.009170000000000001,0.01455,0.1097,0.0,0.0,0.94983,0.04626,0.04105,0.05559
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.06,1.0,0.05476,1.0,0.94949,0.93935,0.95516,0.01,0.01587,0.10965,0.0,0.0,0.94524,0.05051,0.04484,0.06065
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.065,1.0,0.05935,1.0,0.94524,0.9343,0.95136,0.01083,0.0172,0.1096,0.0,0.0,0.94065,0.05476,0.048639999999999996,0.0657
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.07,1.0,0.06394,1.0,0.9409799999999999,0.92925,0.94755,0.01167,0.01852,0.10955,0.0,0.0,0.93606,0.05902,0.05245,0.07075
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.075,1.0,0.06854,1.0,0.93671,0.9242100000000001,0.94373,0.0125,0.01984,0.10949,0.0,0.0,0.9314600000000001,0.06329,0.05627000000000001,0.07579
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.08,1.0,0.07315,1.0,0.93243,0.9191600000000001,0.93989,0.013330000000000002,0.021159999999999998,0.10944000000000001,0.0,0.0,0.92685,0.06757,0.060110000000000004,0.08084
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.085,1.0,0.07775,1.0,0.92815,0.9141100000000001,0.93605,0.014169999999999999,0.02249,0.10939000000000002,0.0,0.0,0.92225,0.07185,0.06395,0.08589
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.09,1.0,0.08237,1.0,0.92386,0.9090600000000001,0.9322,0.015,0.023809999999999998,0.10934,0.0,0.0,0.91763,0.07614,0.0678,0.09094
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.095,1.0,0.08698,1.0,0.91956,0.90402,0.9283299999999999,0.01583,0.02513,0.10929000000000001,0.0,0.0,0.91302,0.08044,0.07167000000000001,0.09598
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.1,1.0,0.0916,1.0,0.91525,0.89897,0.9244600000000001,0.016669999999999997,0.02646,0.10924,0.0,0.0,0.9084,0.08475,0.07554,0.10103
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.105,1.0,0.09623,1.0,0.91094,0.89392,0.9205700000000001,0.0175,0.027780000000000003,0.10919000000000001,0.0,0.0,0.9037700000000001,0.08906,0.07943,0.10608
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.11,1.0,0.10086,1.0,0.9066200000000001,0.8888799999999999,0.9166799999999999,0.018330000000000003,0.0291,0.10914000000000001,0.0,0.0,0.8991399999999999,0.09337999999999999,0.08332,0.11112000000000001
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.115,1.0,0.10549000000000001,1.0,0.9022899999999999,0.88384,0.9127700000000001,0.01917,0.03042,0.10909,0.0,0.0,0.89451,0.09771,0.08723,0.11615999999999999
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.12,1.0,0.11012999999999999,1.0,0.8979600000000001,0.87879,0.90885,0.02,0.03175,0.10904000000000001,0.0,0.0,0.88987,0.10203999999999999,0.09115,0.12120999999999998
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.125,1.0,0.11477000000000001,1.0,0.8936200000000001,0.87375,0.9049299999999999,0.02083,0.03307,0.10899,0.0,0.0,0.88523,0.10638,0.09507,0.12625
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.13,1.0,0.11942,1.0,0.8892700000000001,0.86871,0.90099,0.02167,0.03439,0.10893,0.0,0.0,0.8805799999999999,0.11073,0.09901,0.13129000000000002
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.135,1.0,0.12407,1.0,0.8849100000000001,0.86366,0.89704,0.0225,0.03572,0.10887999999999999,0.0,0.0,0.8759299999999999,0.11509000000000001,0.10296,0.13634000000000002
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.14,1.0,0.12872999999999998,1.0,0.88055,0.85862,0.8930799999999999,0.02333,0.03704,0.10883,0.0,0.0,0.8712700000000001,0.11945,0.10692,0.14138
"Beijing Savant Biotechnology Co., Ltd",SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit,0.145,1.0,0.13339,1.0,0.8761700000000001,0.8535799999999999,0.8891100000000001,0.02417,0.038360000000000005,0.10878,0.0,0.0,0.86661,0.12383,0.11089,0.14642
