company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.005,1.0,0.03188,1.0,0.9995,0.99855,0.9998299999999999,0.0045,0.00483,0.11667000000000001,0.0,0.0,0.9681200000000001,0.0005,0.00016999999999999999,0.00145
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.01,1.0,0.062079999999999996,1.0,0.9989899999999999,0.9970899999999999,0.99965,0.009000000000000001,0.00965,0.11982000000000001,0.0,0.0,0.9379200000000001,0.00101,0.00035,0.0029100000000000003
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.015,1.0,0.09072999999999999,1.0,0.9984799999999999,0.9956200000000001,0.9994700000000001,0.0135,0.014480000000000002,0.12297000000000001,0.0,0.0,0.90927,0.0015199999999999999,0.00053,0.004379999999999999
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.02,1.0,0.11795,1.0,0.9979600000000001,0.9941399999999999,0.99929,0.018000000000000002,0.01931,0.12612,0.0,0.0,0.88205,0.0020399999999999997,0.0007099999999999999,0.00586
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.025,1.0,0.14384,1.0,0.99744,0.99264,0.99911,0.0225,0.02414,0.12927,0.0,0.0,0.85616,0.00256,0.0008900000000000001,0.007359999999999999
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.03,1.0,0.1685,1.0,0.99692,0.9911399999999999,0.9989299999999999,0.027000000000000003,0.028960000000000003,0.13243,0.0,0.0,0.8315,0.0030800000000000003,0.00107,0.00886
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.035,1.0,0.19201,1.0,0.99639,0.9896299999999999,0.99875,0.0315,0.03379,0.13558,0.0,0.0,0.80799,0.00361,0.00125,0.01037
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.04,1.0,0.21445999999999998,1.0,0.99585,0.9881,0.99856,0.036000000000000004,0.03862,0.13873,0.0,0.0,0.78554,0.00415,0.00144,0.0119
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.045,1.0,0.23590999999999998,1.0,0.99531,0.98656,0.9983700000000001,0.0405,0.04344,0.14188,0.0,0.0,0.7640899999999999,0.00469,0.0016300000000000002,0.01344
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.05,1.0,0.25642,1.0,0.9947600000000001,0.9850200000000001,0.99818,0.045,0.04827,0.14503,0.0,0.0,0.74358,0.00524,0.00182,0.014980000000000002
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.055,1.0,0.27607,1.0,0.99421,0.98346,0.9979899999999999,0.0495,0.0531,0.14818,0.0,0.0,0.7239300000000001,0.00579,0.00201,0.01654
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.06,1.0,0.29489,1.0,0.99366,0.9818899999999999,0.9978,0.054000000000000006,0.057920000000000006,0.15133,0.0,0.0,0.70511,0.00634,0.0022,0.01811
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.065,1.0,0.31295,1.0,0.9931,0.9803,0.9976,0.0585,0.06275,0.15448,0.0,0.0,0.68705,0.0069,0.0024,0.0197
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.07,1.0,0.33029000000000003,1.0,0.9925299999999999,0.9787100000000001,0.9974,0.063,0.06758,0.15764,0.0,0.0,0.66971,0.00747,0.0026,0.02129
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.075,1.0,0.34694,1.0,0.9919600000000001,0.9771,0.9972,0.0675,0.07241,0.16079000000000002,0.0,0.0,0.6530600000000001,0.00804,0.0028,0.0229
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.08,1.0,0.36296,1.0,0.9913799999999999,0.9754799999999999,0.997,0.07200000000000001,0.07723,0.16394,0.0,0.0,0.6370399999999999,0.008620000000000001,0.003,0.02452
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.085,1.0,0.37837,1.0,0.9908,0.97385,0.9968,0.0765,0.08206000000000001,0.16709000000000002,0.0,0.0,0.62163,0.0092,0.0032,0.02615
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.09,1.0,0.39321,1.0,0.99021,0.97221,0.99659,0.081,0.08689,0.17024,0.0,0.0,0.6067899999999999,0.00979,0.0034100000000000003,0.02779
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.095,1.0,0.40751,1.0,0.98961,0.97055,0.9963799999999999,0.0855,0.09171,0.17339000000000002,0.0,0.0,0.59249,0.01039,0.0036200000000000004,0.02945
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.1,1.0,0.4213,1.0,0.9890100000000001,0.9688899999999999,0.9961700000000001,0.09,0.09654,0.17654,0.0,0.0,0.5787,0.01099,0.0038299999999999996,0.031110000000000002
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.105,1.0,0.43461000000000005,1.0,0.9884,0.9672,0.9959600000000001,0.0945,0.10137,0.1797,0.0,0.0,0.56539,0.0116,0.00404,0.0328
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.11,1.0,0.44746,1.0,0.98779,0.9655100000000001,0.99574,0.099,0.10619,0.18285,0.0,0.0,0.5525399999999999,0.012209999999999999,0.00426,0.03449
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.115,1.0,0.45987,1.0,0.9871700000000001,0.9638,0.9955200000000001,0.1035,0.11102000000000001,0.18600000000000003,0.0,0.0,0.54013,0.012830000000000001,0.00448,0.0362
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.12,1.0,0.47186999999999996,1.0,0.98655,0.9620799999999999,0.9953,0.10800000000000001,0.11585,0.18915,0.0,0.0,0.52813,0.01345,0.0047,0.03792
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.125,1.0,0.48348,1.0,0.98592,0.96035,0.99508,0.1125,0.12068,0.1923,0.0,0.0,0.51652,0.01408,0.00492,0.03965
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.13,1.0,0.49471000000000004,1.0,0.9852799999999999,0.9586,0.9948600000000001,0.11699999999999999,0.1255,0.19545,0.0,0.0,0.50529,0.014719999999999999,0.00514,0.0414
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.135,1.0,0.50559,1.0,0.9846299999999999,0.9568399999999999,0.9946299999999999,0.1215,0.13033,0.1986,0.0,0.0,0.49441,0.015369999999999998,0.005370000000000001,0.043160000000000004
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.14,1.0,0.51612,1.0,0.98398,0.95506,0.9944,0.126,0.13516,0.20175,0.0,0.0,0.48388000000000003,0.01602,0.0056,0.04494
"BillionToOne, Inc.",qSanger-COVID-19 Assay,0.145,1.0,0.52633,1.0,0.9833200000000001,0.9532700000000001,0.9941700000000001,0.1305,0.13998,0.20490999999999998,0.0,0.0,0.47367,0.01668,0.00583,0.04673
