company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"BioCore Co., Ltd.",BioCore 2019-nCoV Real Time PCR Kit,0.005,1.0,0.09096009071581956,1.0,1.0,0.9995387441635434,1.0,0.005,0.005,0.0501525148870003,0.0,0.0,0.9090399092841804,0.0,0.0,0.00046125583645662
"BioCore Co., Ltd.",BioCore 2019-nCoV Real Time PCR Kit,0.01,1.0,0.1674535277288678,1.0,1.0,0.9990732609588312,1.0,0.01,0.01,0.05448529350942546,0.0,0.0,0.8325464722711322,0.0,0.0,0.0009267390411686892
"BioCore Co., Ltd.",BioCore 2019-nCoV Real Time PCR Kit,0.015,1.0,0.23267732884147346,1.0,1.0,0.9986034920031528,1.0,0.015,0.015,0.05881807213185063,0.0,0.0,0.7673226711585266,0.0,0.0,0.0013965079968470961
"BioCore Co., Ltd.",BioCore 2019-nCoV Real Time PCR Kit,0.02,1.0,0.2889511225429795,1.0,1.0,0.998129377833754,1.0,0.02,0.02,0.06315085075427579,0.0,0.0,0.7110488774570205,0.0,0.0,0.0018706221662461164
"BioCore Co., Ltd.",BioCore 2019-nCoV Real Time PCR Kit,0.025,1.0,0.33799881140677424,1.0,1.0,0.9976508578827462,1.0,0.025,0.025,0.06748362937670095,0.0,0.0,0.6620011885932258,0.0,0.0,0.0023491421172537885
"BioCore Co., Ltd.",BioCore 2019-nCoV Real Time PCR Kit,0.03,1.0,0.3811282767417342,1.0,1.0,0.9971678704513134,1.0,0.03,0.03,0.07181640799912611,0.0,0.0,0.6188717232582658,0.0,0.0,0.0028321295486866127
"BioCore Co., Ltd.",BioCore 2019-nCoV Real Time PCR Kit,0.035,1.0,0.4193497336345645,1.0,1.0,0.9966803526831908,1.0,0.035,0.035,0.07614918662155128,0.0,0.0,0.5806502663654355,0.0,0.0,0.003319647316809116
"BioCore Co., Ltd.",BioCore 2019-nCoV Real Time PCR Kit,0.04,1.0,0.4534558558473537,1.0,1.0,0.9961882405373969,1.0,0.04,0.04,0.08048196524397644,0.0,0.0,0.5465441441526463,0.0,0.0,0.0038117594626032596
"BioCore Co., Ltd.",BioCore 2019-nCoV Real Time PCR Kit,0.045,1.0,0.4840773415339708,1.0,1.0,0.9956914687601872,1.0,0.045,0.045,0.08481474386640163,0.0,0.0,0.5159226584660292,0.0,0.0,0.004308531239812785
"BioCore Co., Ltd.",BioCore 2019-nCoV Real Time PCR Kit,0.05,1.0,0.5117222752118319,1.0,1.0,0.9951899708562126,1.0,0.05,0.05,0.08914752248882676,0.0,0.0,0.4882777247881681,0.0,0.0,0.004810029143787364
