company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.005,1.0,0.05814,1.0,0.9999,0.9994200000000001,0.99998,0.0049,0.00498,0.0768,0.0,0.0,0.94186,0.0001,2e-05,0.00058
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.01,1.0,0.11039000000000002,1.0,0.99979,0.99884,0.9999600000000001,0.0098,0.00996,0.0809,0.0,0.0,0.88961,0.00021,4e-05,0.00116
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.015,1.0,0.15759,1.0,0.99969,0.99825,0.99995,0.01469,0.01495,0.08501,0.0,0.0,0.84241,0.00031,5e-05,0.00175
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.02,1.0,0.20045,1.0,0.9995799999999999,0.99765,0.9999299999999999,0.01959,0.01993,0.08911000000000001,0.0,0.0,0.79955,0.00042,7e-05,0.00235
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.025,1.0,0.23953000000000002,1.0,0.9994799999999999,0.99705,0.9999100000000001,0.02449,0.024909999999999998,0.09321,0.0,0.0,0.76047,0.0005200000000000001,9e-05,0.00295
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.03,1.0,0.27532,1.0,0.9993700000000001,0.99645,0.99989,0.02939,0.029889999999999996,0.09731000000000001,0.0,0.0,0.72468,0.00063,0.00011,0.00355
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.035,1.0,0.30822,1.0,0.99926,0.9958299999999999,0.99987,0.03429,0.03487,0.10141,0.0,0.0,0.6917800000000001,0.00074,0.00013000000000000002,0.00417
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.04,1.0,0.33855,1.0,0.99915,0.9952200000000001,0.99985,0.03918,0.03986,0.10550999999999999,0.0,0.0,0.66145,0.00085,0.00015,0.0047799999999999995
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.045,1.0,0.36662,1.0,0.9990399999999999,0.9946,0.9998299999999999,0.04408,0.04484,0.10962000000000001,0.0,0.0,0.63338,0.0009599999999999999,0.00016999999999999999,0.0054
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.05,1.0,0.39266,1.0,0.9989299999999999,0.99397,0.9998100000000001,0.04898,0.049819999999999996,0.11372,0.0,0.0,0.60734,0.00107,0.00018999999999999998,0.00603
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.055,1.0,0.41689,1.0,0.9988100000000001,0.9933299999999999,0.99979,0.05388,0.0548,0.11782000000000001,0.0,0.0,0.58311,0.00119,0.00021,0.006670000000000001
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.06,1.0,0.43948999999999994,1.0,0.9987,0.99269,0.99977,0.05878,0.05977999999999999,0.12192,0.0,0.0,0.5605100000000001,0.0013,0.00022999999999999998,0.00731
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.065,1.0,0.46062,1.0,0.9985799999999999,0.99205,0.99975,0.06367,0.06477000000000001,0.12602,0.0,0.0,0.53938,0.0014199999999999998,0.00025,0.00795
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.07,1.0,0.48041999999999996,1.0,0.9984700000000001,0.99139,0.9997299999999999,0.06857,0.06975,0.13013,0.0,0.0,0.51958,0.0015300000000000001,0.00027,0.00861
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.075,1.0,0.499,1.0,0.99835,0.99074,0.99971,0.07347000000000001,0.07472999999999999,0.13423,0.0,0.0,0.501,0.00165,0.00029,0.00926
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.08,1.0,0.51648,1.0,0.99823,0.9900700000000001,0.99969,0.07837000000000001,0.07971,0.13833,0.0,0.0,0.48352,0.0017699999999999999,0.00031,0.00993
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.085,1.0,0.53296,1.0,0.99811,0.9894,0.99966,0.08327000000000001,0.08469,0.14243,0.0,0.0,0.46703999999999996,0.0018899999999999998,0.00033999999999999997,0.0106
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.09,1.0,0.54852,1.0,0.9979899999999999,0.98872,0.99964,0.08816,0.08967,0.14653,0.0,0.0,0.45148,0.00201,0.00036,0.01128
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.095,1.0,0.5632199999999999,1.0,0.9978600000000001,0.9880399999999999,0.9996200000000001,0.09306,0.09466000000000001,0.15063,0.0,0.0,0.43678,0.00214,0.00037999999999999997,0.01196
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.1,1.0,0.57715,1.0,0.99774,0.98735,0.9996,0.09796,0.09963999999999999,0.15474000000000002,0.0,0.0,0.42285,0.0022600000000000003,0.0004,0.01265
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.105,1.0,0.59036,1.0,0.99761,0.98665,0.9995799999999999,0.10286,0.10462,0.15884,0.0,0.0,0.40963999999999995,0.0023899999999999998,0.00042,0.01335
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.11,1.0,0.6029,1.0,0.9974799999999999,0.98595,0.99955,0.10776,0.1096,0.16294,0.0,0.0,0.3971,0.00252,0.00045,0.01405
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.115,1.0,0.61483,1.0,0.99736,0.98524,0.9995299999999999,0.11265,0.11458,0.16704000000000002,0.0,0.0,0.38516999999999996,0.00264,0.00047000000000000004,0.014759999999999999
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.12,1.0,0.6261800000000001,1.0,0.9972200000000001,0.9845200000000001,0.99951,0.11755,0.11957000000000001,0.17114000000000001,0.0,0.0,0.37382,0.00278,0.00049,0.01548
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.125,1.0,0.6370100000000001,1.0,0.9970899999999999,0.9837899999999999,0.9994799999999999,0.12245,0.12455,0.17525,0.0,0.0,0.36299000000000003,0.0029100000000000003,0.0005200000000000001,0.01621
"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),0.13,1.0,0.6473399999999999,1.0,0.9969600000000001,0.98306,0.99946,0.12735,0.12953,0.17935,0.0,0.0,0.35266,0.0030399999999999997,0.00054,0.01694
