company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.005,0.05984,0.014519999999999998,0.15587,1.0,0.9975299999999999,1.0,0.08355,0.032080000000000004,0.21001,0.94016,0.8441299999999999,0.9854799999999999,0.0,0.0,0.00247
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.01,0.11342999999999999,0.02876,0.27069,1.0,0.99505,1.0,0.08816,0.03694,0.21201,0.8865700000000001,0.72931,0.97124,0.0,0.0,0.00495
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.015,0.1617,0.042730000000000004,0.3588,1.0,0.99255,1.0,0.09276000000000001,0.04181,0.21402,0.8383,0.6412,0.9572700000000001,0.0,0.0,0.00745
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.02,0.20540999999999998,0.05644,0.42854,1.0,0.9900399999999999,1.0,0.09737,0.046669999999999996,0.21603000000000003,0.79459,0.5714600000000001,0.9435600000000001,0.0,0.0,0.00996
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.025,0.24516,0.0699,0.48512,1.0,0.9875200000000001,1.0,0.10197,0.05152999999999999,0.21804,0.75484,0.51488,0.9301,0.0,0.0,0.01248
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.03,0.28148,0.08312,0.53194,1.0,0.9849899999999999,1.0,0.10658,0.0564,0.22005,0.7185199999999999,0.46806000000000003,0.9168799999999999,0.0,0.0,0.015009999999999999
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.035,0.31479,0.09609,0.5713199999999999,1.0,0.98244,1.0,0.11118,0.06126,0.22205,0.68521,0.42868,0.90391,0.0,0.0,0.01756
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.04,0.34545,0.10884,0.6049100000000001,1.0,0.97988,1.0,0.11579,0.06613,0.22405999999999998,0.65455,0.39509,0.8911600000000001,0.0,0.0,0.02012
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.045,0.37377,0.12135,0.6339,1.0,0.9773,1.0,0.12039000000000001,0.07099,0.22607,0.6262300000000001,0.3661,0.87865,0.0,0.0,0.0227
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.05,0.4,0.13365,0.65917,1.0,0.97472,1.0,0.125,0.07585,0.22808,0.6,0.34083,0.86635,0.0,0.0,0.02528
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.055,0.42436999999999997,0.14573,0.6813899999999999,1.0,0.9721200000000001,1.0,0.12961,0.08072,0.23009000000000002,0.57563,0.31861,0.8542700000000001,0.0,0.0,0.027880000000000002
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.06,0.44706,0.1576,0.70109,1.0,0.9695,1.0,0.13421,0.08557999999999999,0.2321,0.55294,0.29891,0.8424,0.0,0.0,0.0305
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.065,0.46825,0.16927,0.71867,1.0,0.9668700000000001,1.0,0.13882,0.09045,0.2341,0.53175,0.28133,0.83073,0.0,0.0,0.03313
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.07,0.48807,0.18074,0.73445,1.0,0.9642299999999999,1.0,0.14342,0.09531,0.23611,0.51193,0.26555,0.81926,0.0,0.0,0.035769999999999996
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.075,0.50667,0.19202,0.7487,1.0,0.96157,1.0,0.14803,0.10017000000000001,0.23811999999999997,0.49333,0.2513,0.80798,0.0,0.0,0.03843
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.08,0.5241399999999999,0.20310999999999998,0.76164,1.0,0.9589,1.0,0.15263,0.10504000000000001,0.24013,0.47586000000000006,0.23836,0.79689,0.0,0.0,0.0411
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.085,0.54059,0.21400999999999998,0.77342,1.0,0.9562200000000001,1.0,0.15724000000000002,0.1099,0.24214000000000002,0.45941000000000004,0.22658000000000003,0.78599,0.0,0.0,0.04378
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.09,0.5561,0.22474,0.7842100000000001,1.0,0.95352,1.0,0.16184,0.11475999999999999,0.24415,0.4439,0.21579,0.7752600000000001,0.0,0.0,0.04648
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.095,0.57075,0.23529,0.7941199999999999,1.0,0.95081,1.0,0.16645,0.11963,0.24615,0.42925,0.20588,0.76471,0.0,0.0,0.04919
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.1,0.58462,0.24566999999999997,0.8032600000000001,1.0,0.9480799999999999,1.0,0.17105,0.12449,0.24816,0.41538,0.19674,0.7543300000000001,0.0,0.0,0.05192000000000001
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.105,0.59775,0.25588,0.81171,1.0,0.94534,1.0,0.17565999999999998,0.12936,0.25017,0.40225,0.18829,0.74412,0.0,0.0,0.05466
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.11,0.61022,0.26593,0.81955,1.0,0.94258,1.0,0.18026,0.13422,0.25218,0.38978,0.18045,0.73407,0.0,0.0,0.057420000000000006
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.115,0.6220600000000001,0.27581999999999995,0.8268399999999999,1.0,0.93981,1.0,0.18487,0.13908,0.25419,0.37794,0.17315999999999998,0.72418,0.0,0.0,0.06019
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.12,0.6333300000000001,0.28556,0.83363,1.0,0.9370200000000001,1.0,0.18947,0.14395,0.2562,0.36667,0.16637000000000002,0.71444,0.0,0.0,0.06298
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.125,0.64407,0.29514,0.83998,1.0,0.93422,1.0,0.19408,0.14881,0.2582,0.35593,0.16002,0.70486,0.0,0.0,0.06577999999999999
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.13,0.6543,0.30458,0.84593,1.0,0.9314100000000001,1.0,0.19868,0.15367999999999998,0.26021,0.3457,0.15407,0.6954199999999999,0.0,0.0,0.06859
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.135,0.66408,0.31387,0.85152,1.0,0.9285700000000001,1.0,0.20329,0.15854000000000001,0.26222,0.33592,0.14848,0.68613,0.0,0.0,0.07143
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.14,0.67342,0.32302,0.85677,1.0,0.9257299999999999,1.0,0.20789000000000002,0.1634,0.26423,0.32658000000000004,0.14323,0.67698,0.0,0.0,0.07427
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.145,0.68235,0.33204,0.86172,1.0,0.92286,1.0,0.2125,0.16827,0.26624000000000003,0.31765,0.13828,0.66796,0.0,0.0,0.07714
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.15,0.69091,0.34091,0.86639,1.0,0.9199799999999999,1.0,0.21711,0.17313,0.26825,0.30909000000000003,0.13360999999999998,0.65909,0.0,0.0,0.08002000000000001
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.155,0.69911,0.34965999999999997,0.8708100000000001,1.0,0.91709,1.0,0.22171,0.17800000000000002,0.27025,0.30089,0.12919,0.6503399999999999,0.0,0.0,0.08291
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.16,0.70698,0.35828000000000004,0.8749899999999999,1.0,0.9141799999999999,1.0,0.22632,0.18286,0.27226,0.29302,0.12500999999999998,0.64172,0.0,0.0,0.08582000000000001
"Bio-Rad Laboratories, Inc",Bio-Rad SARS-CoV-2 ddPCR Test,0.165,0.71453,0.36677,0.87895,1.0,0.91125,1.0,0.23092,0.18772,0.27426999999999996,0.28547,0.12105,0.6332300000000001,0.0,0.0,0.08875
