company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.005,1.0,0.09819589144591506,1.0,1.0,0.9988128302721812,1.0,0.005,0.005,0.03930399457546852,0.0,0.0,0.9018041085540848,0.0,0.0,0.0011871697278187374
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.01,1.0,0.17957228612370948,1.0,1.0,0.9976165270995102,1.0,0.01,0.01,0.04298537227581646,0.0,0.0,0.8204277138762905,0.0,0.0,0.0023834729004897914
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.015,1.0,0.2481096789488119,1.0,1.0,0.9964109846732568,1.0,0.015,0.015,0.0466667499761644,0.0,0.0,0.7518903210511881,0.0,0.0,0.003589015326743161
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.02,1.0,0.30662437415912197,1.0,1.0,0.9951960955439976,1.0,0.02,0.02,0.05034812767651234,0.0,0.0,0.6933756258408779,0.0,0.0,0.004803904456002317
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.025,1.0,0.3571651043076624,1.0,1.0,0.9939717505896905,1.0,0.025,0.025,0.054029505376860285,0.0,0.0,0.6428348956923375,0.0,0.0,0.006028249410309661
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.03,1.0,0.4012578472826495,1.0,1.0,0.9927378389830014,1.0,0.03,0.03,0.05771088307720821,0.0,0.0,0.5987421527173505,0.0,0.0,0.007262161016998614
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.035,1.0,0.4400625608324476,1.0,1.0,0.9914942481578632,1.0,0.035,0.035,0.06139226077755615,0.0,0.0,0.5599374391675525,0.0,0.0,0.008505751842136755
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.04,1.0,0.4744767159173423,1.0,1.0,0.9902408637752418,1.0,0.04,0.04,0.0650736384779041,0.0,0.0,0.5255232840826578,0.0,0.0,0.009759136224758214
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.045,1.0,0.5052055688919912,1.0,1.0,0.988977569688093,1.0,0.045,0.045,0.06875501617825203,0.0,0.0,0.4947944311080088,0.0,0.0,0.011022430311906972
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.05,1.0,0.5328110053617342,1.0,1.0,0.9877042479054836,1.0,0.05,0.05,0.07243639387859996,0.0,0.0,0.4671889946382658,0.0,0.0,0.0122957520945165
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.055,1.0,0.5577462102647877,1.0,1.0,0.9864207785558534,1.0,0.055,0.055,0.0761177715789479,0.0,0.0,0.4422537897352123,0.0,0.0,0.013579221444146585
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.06,1.0,0.5803807413357824,1.0,1.0,0.9851270398493998,1.0,0.06,0.06,0.07979914927929585,0.0,0.0,0.4196192586642176,0.0,0.0,0.014872960150600243
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.065,1.0,0.60101896833546,1.0,1.0,0.9838229080395494,1.0,0.065,0.065,0.08348052697964377,0.0,0.0,0.39898103166453996,0.0,0.0,0.016177091960450585
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.07,1.0,0.6199138394750223,1.0,1.0,0.9825082573835036,1.0,0.07,0.07,0.08716190467999171,0.0,0.0,0.3800861605249777,0.0,0.0,0.017491742616496442
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.075,1.0,0.6372773005765171,1.0,1.0,0.9811829601018208,1.0,0.07500000000000001,0.07500000000000001,0.09084328238033967,0.0,0.0,0.36272269942348295,0.0,0.0,0.018817039898179292
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.08,1.0,0.6532882795120807,1.0,1.0,0.9798468863370156,1.0,0.08,0.08,0.0945246600806876,0.0,0.0,0.3467117204879193,0.0,0.0,0.020153113662984445
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.085,1.0,0.6680988748022817,1.0,1.0,0.9784999041111432,1.0,0.085,0.085,0.09820603778103554,0.0,0.0,0.3319011251977183,0.0,0.0,0.02150009588885671
"Cedars-Sinai Medical Center, Department of Pathology and Laboratory Medicine",SARS-CoV-2-Assay,0.09,1.0,0.6818392025825527,1.0,1.0,0.97714187928234,1.0,0.09000000000000001,0.09000000000000001,0.10188741548138347,0.0,0.0,0.3181607974174473,0.0,0.0,0.022858120717660024
