company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.005,0.17228,0.11454,0.21488000000000002,1.0,0.9990399999999999,1.0,0.029019999999999997,0.02327,0.03561,0.8277200000000001,0.7851199999999999,0.88546,0.0,0.0,0.0009599999999999999
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.01,0.29496999999999995,0.20636,0.3549,1.0,0.99808,1.0,0.0339,0.02818,0.03953,0.70503,0.6451,0.79364,0.0,0.0,0.0019199999999999998
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.015,0.38679,0.28160999999999997,0.45337,1.0,0.99711,1.0,0.03878,0.033089999999999994,0.04345,0.61321,0.5466300000000001,0.71839,0.0,0.0,0.0028899999999999998
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.02,0.45808000000000004,0.34441,0.5264,1.0,0.99613,1.0,0.043660000000000004,0.037989999999999996,0.047369999999999995,0.54192,0.4736,0.65559,0.0,0.0,0.00387
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.025,0.51505,0.3976,0.58273,1.0,0.9951399999999999,1.0,0.04854,0.0429,0.051289999999999995,0.48495,0.41727,0.6024,0.0,0.0,0.00486
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.03,0.5616,0.44325,0.62748,1.0,0.99415,1.0,0.05342,0.047810000000000005,0.05521,0.4384,0.37251999999999996,0.55675,0.0,0.0,0.00585
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.035,0.60036,0.48283999999999994,0.66391,1.0,0.9931399999999999,1.0,0.0583,0.05272,0.059129999999999995,0.39964,0.33609,0.5171600000000001,0.0,0.0,0.00686
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.04,0.6331399999999999,0.51751,0.69413,1.0,0.99213,1.0,0.06318,0.057629999999999994,0.06305,0.36685999999999996,0.30587,0.48249,0.0,0.0,0.00787
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.045,0.66122,0.54811,0.7196,1.0,0.99111,1.0,0.06806,0.06253,0.06697,0.33878,0.2804,0.45188999999999996,0.0,0.0,0.00889
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.05,0.68553,0.57534,0.74137,1.0,0.99008,1.0,0.07293999999999999,0.06744,0.07089,0.31446999999999997,0.25863,0.42466000000000004,0.0,0.0,0.00992
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.055,0.7068,0.5997100000000001,0.76018,1.0,0.9890399999999999,1.0,0.07782,0.07235,0.07481,0.2932,0.23981999999999998,0.40029000000000003,0.0,0.0,0.01096
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.06,0.72556,0.62165,0.77661,1.0,0.988,1.0,0.08269,0.07726,0.07873,0.27444,0.22339,0.37835,0.0,0.0,0.012
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.065,0.7422300000000001,0.64152,0.7910699999999999,1.0,0.9869399999999999,1.0,0.08757000000000001,0.08217,0.08265,0.25777,0.20893,0.35848,0.0,0.0,0.013059999999999999
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.07,0.7571399999999999,0.65958,0.8039,1.0,0.98587,1.0,0.09245,0.08707999999999999,0.08657000000000001,0.24286,0.1961,0.34042,0.0,0.0,0.014130000000000002
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.075,0.77056,0.67608,0.8153600000000001,1.0,0.9848,1.0,0.09733,0.09197999999999999,0.09049,0.22944,0.18464,0.32392,0.0,0.0,0.0152
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.08,0.78269,0.6912,0.8256600000000001,1.0,0.98372,1.0,0.10221000000000001,0.09689,0.09441000000000001,0.21731,0.17434000000000002,0.3088,0.0,0.0,0.016280000000000003
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.085,0.79372,0.70513,0.8349700000000001,1.0,0.98262,1.0,0.10709,0.1018,0.09833,0.20628000000000002,0.16502999999999998,0.29486999999999997,0.0,0.0,0.01738
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.09,0.80379,0.7179800000000001,0.8434200000000001,1.0,0.9815200000000001,1.0,0.11197,0.10670999999999999,0.10225,0.19621,0.15658,0.28202,0.0,0.0,0.01848
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.095,0.81301,0.7298899999999999,0.8511299999999999,1.0,0.98041,1.0,0.11685,0.11162000000000001,0.10617,0.18699000000000002,0.14887,0.27011,0.0,0.0,0.01959
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.1,0.8215,0.7409399999999999,0.85819,1.0,0.97929,1.0,0.12172999999999999,0.11652,0.11009000000000001,0.1785,0.14181,0.25906,0.0,0.0,0.02071
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.105,0.8293299999999999,0.75124,0.86467,1.0,0.97816,1.0,0.12661,0.12143,0.11400999999999999,0.17067000000000002,0.13533,0.24875999999999998,0.0,0.0,0.021840000000000002
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.11,0.8365799999999999,0.76085,0.87066,1.0,0.97701,1.0,0.13149,0.12634,0.11793,0.16342,0.12934,0.23915,0.0,0.0,0.02299
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.115,0.8433200000000001,0.76985,0.8762,1.0,0.9758600000000001,1.0,0.13637,0.13125,0.12185,0.15667999999999999,0.1238,0.23015,0.0,0.0,0.02414
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.12,0.8495799999999999,0.77828,0.88133,1.0,0.9747,1.0,0.14125,0.13616,0.12577,0.15042,0.11867,0.22171999999999997,0.0,0.0,0.0253
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.125,0.8554299999999999,0.7862,0.8861100000000001,1.0,0.9735299999999999,1.0,0.14612999999999998,0.14107,0.12969,0.14457,0.11389,0.2138,0.0,0.0,0.02647
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.13,0.8609,0.79366,0.8905700000000001,1.0,0.97234,1.0,0.151,0.14597000000000002,0.13360999999999998,0.1391,0.10943,0.20634,0.0,0.0,0.02766
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.135,0.86603,0.8007,0.89474,1.0,0.97115,1.0,0.15588,0.15088,0.13752999999999999,0.13397,0.10525999999999999,0.1993,0.0,0.0,0.02885
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.14,0.87085,0.80734,0.89864,1.0,0.9699399999999999,1.0,0.16076,0.15579,0.14145,0.12915,0.10136,0.19266,0.0,0.0,0.030060000000000003
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.145,0.8753799999999999,0.81362,0.9023100000000001,1.0,0.96873,1.0,0.16564,0.1607,0.14537,0.12462000000000001,0.09769,0.18638,0.0,0.0,0.03127
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.15,0.87965,0.81958,0.90576,1.0,0.9675,1.0,0.17052,0.16560999999999998,0.14929,0.12035,0.09424,0.18042,0.0,0.0,0.0325
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.155,0.88369,0.8252299999999999,0.90901,1.0,0.96626,1.0,0.1754,0.17051,0.15320999999999999,0.11631,0.09099,0.17477,0.0,0.0,0.03374
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.16,0.88751,0.8306,0.9120799999999999,1.0,0.96501,1.0,0.18028,0.17542,0.15713,0.11249,0.08792,0.1694,0.0,0.0,0.03499
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.165,0.89112,0.8357100000000001,0.9149799999999999,1.0,0.96375,1.0,0.18516,0.18033,0.16105,0.10887999999999999,0.08502,0.16429000000000002,0.0,0.0,0.03625
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.17,0.89455,0.84057,0.9177299999999999,1.0,0.96247,1.0,0.19004000000000001,0.18524000000000002,0.16497,0.10545,0.08227000000000001,0.15943,0.0,0.0,0.03753
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.175,0.89781,0.84521,0.9203399999999999,1.0,0.96119,1.0,0.19492,0.19015,0.16889,0.10219,0.07966000000000001,0.15479,0.0,0.0,0.038810000000000004
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.18,0.90091,0.84964,0.92281,1.0,0.9598899999999999,1.0,0.1998,0.19505999999999998,0.17281,0.09909,0.07719,0.15036,0.0,0.0,0.04011
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.185,0.9038700000000001,0.85387,0.92517,1.0,0.9585799999999999,1.0,0.20468,0.19996,0.17673,0.09613,0.07483,0.14612999999999998,0.0,0.0,0.04142
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.19,0.9066799999999999,0.8579200000000001,0.9274100000000001,1.0,0.95726,1.0,0.20956,0.20486999999999997,0.18065,0.09332,0.07259,0.14207999999999998,0.0,0.0,0.04274
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.195,0.9093700000000001,0.86179,0.9295399999999999,1.0,0.9559200000000001,1.0,0.21444000000000002,0.20978000000000002,0.18457,0.09063,0.07046000000000001,0.13821,0.0,0.0,0.04408
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.2,0.9119299999999999,0.86551,0.93158,1.0,0.95457,1.0,0.21930999999999998,0.21469000000000002,0.18849000000000002,0.08807000000000001,0.06842000000000001,0.13449,0.0,0.0,0.04543
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.205,0.9143899999999999,0.8690700000000001,0.93353,1.0,0.95321,1.0,0.22419,0.2196,0.1924,0.08561,0.06647,0.13093,0.0,0.0,0.04679
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.21,0.91674,0.87249,0.9353899999999999,1.0,0.9518399999999999,1.0,0.22906999999999997,0.22451,0.19632,0.08326,0.06461,0.12750999999999998,0.0,0.0,0.04816
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.215,0.91899,0.8757799999999999,0.9371700000000001,1.0,0.95045,1.0,0.23395,0.22941,0.20024,0.08101,0.06283,0.12422000000000001,0.0,0.0,0.04955
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.22,0.92115,0.8789399999999999,0.9388799999999999,1.0,0.94905,1.0,0.23883000000000001,0.23431999999999997,0.20415999999999998,0.07885,0.06112000000000001,0.12105999999999999,0.0,0.0,0.05095
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.225,0.9232299999999999,0.8819799999999999,0.94052,1.0,0.94763,1.0,0.24370999999999998,0.23923000000000003,0.20808000000000001,0.07677,0.05948,0.11802,0.0,0.0,0.05237000000000001
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.23,0.92522,0.8849100000000001,0.94209,1.0,0.9462,1.0,0.24859,0.24414,0.212,0.07478,0.05791,0.11509000000000001,0.0,0.0,0.0538
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.235,0.9271299999999999,0.88774,0.9436,1.0,0.94476,1.0,0.25347,0.24905,0.21591999999999997,0.07287,0.0564,0.11225999999999998,0.0,0.0,0.05524
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.24,0.9289799999999999,0.89046,0.94505,1.0,0.9433,1.0,0.25835,0.25395,0.21984,0.07102,0.05495,0.10954000000000001,0.0,0.0,0.0567
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.245,0.93075,0.8930799999999999,0.94645,1.0,0.9418200000000001,1.0,0.26323,0.25886,0.22376,0.06925,0.05355,0.10692,0.0,0.0,0.058179999999999996
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.25,0.9324600000000001,0.8956200000000001,0.9477899999999999,1.0,0.9403299999999999,1.0,0.26811,0.26377,0.22768000000000002,0.06754,0.05221,0.10438,0.0,0.0,0.05967000000000001
Centers for Disease Control and Prevention (CDC),CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),0.255,0.93411,0.89807,0.94909,1.0,0.9388299999999999,1.0,0.27299,0.26868000000000003,0.2316,0.06589,0.050910000000000004,0.10192999999999999,0.0,0.0,0.06117
