company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.005,1.0,0.005641058631615556,1.0,0.9997209042701646,0.996233666950256,0.9999503796691792,0.004722222222222222,0.004950625320845377,0.6580520168847285,0.0,0.0,0.9943589413683844,0.0002790957298354213,4.962033082089867e-05,0.0037663330497440532
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.01,1.0,0.011274853100517256,1.0,0.9994391475042064,0.9924579828076994,0.999900263121862,0.009444444444444445,0.009901250641690756,0.6584759866590763,0.0,0.0,0.9887251468994828,0.0005608524957936291,9.973687813791264e-05,0.007542017192300631
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.015,1.0,0.016901397429101357,1.0,0.9991546914623838,0.9886729127035512,0.999849642877198,0.014166666666666666,0.014851875962536131,0.6588999564334239,0.0,0.0,0.9830986025708986,0.0008453085376162184,0.00015035712280186964,0.011327087296448934
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.02,1.0,0.022520705603696425,1.0,0.9988674971687429,0.9848784215954556,0.9997985113032046,0.01888888888888889,0.01980250128338151,0.6593239262077717,0.0,0.0,0.9774792943963037,0.0011325028312569876,0.00020148869679537107,0.015121578404544313
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.025,1.0,0.028132791574679232,1.0,0.9985775248933144,0.9810744742664002,0.9997468606129304,0.02361111111111111,0.02475312660422689,0.6597478959821194,0.0,0.0,0.9718672084253208,0.0014224751066855836,0.0002531393870697229,0.018925525733599846
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.03,1.0,0.033737669256590185,1.0,0.9982847341337908,0.9772610353236244,0.999694682860502,0.028333333333333332,0.02970375192507227,0.6601718657564671,0.0,0.0,0.9662623307434098,0.0017152658662092926,0.00030531713949788486,0.022738964676375484
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.035,1.0,0.03933535252824833,1.0,0.9979890835966676,0.973438069197524,0.9996419699370508,0.03305555555555555,0.03465437724591764,0.6605958355308148,0.0,0.0,0.9606646474717516,0.0020109164033323967,0.00035803006294921064,0.02656193080247593
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.04,1.0,0.04492585523286597,1.0,0.9976905311778292,0.9696055401405436,0.9995887135665088,0.03777777777777778,0.03960500256676302,0.6610198053051626,0.0,0.0,0.955074144767134,0.002309468822170868,0.0004112864334910871,0.030394459859456543
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.045,1.0,0.05050919117816266,1.0,0.9973890339425588,0.965763412226062,0.9995349053012798,0.0425,0.0445556278876084,0.6614437750795102,0.0,0.0,0.9494908088218372,0.0026109660574411553,0.00046509469872024756,0.0342365877739379
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.05,1.0,0.05608537413647896,1.0,0.9970845481049564,0.9619116493472726,0.99948053651777,0.04722222222222221,0.049506253208453775,0.6618677448538579,0.0,0.0,0.9439146258635209,0.002915451895043719,0.000519463482230087,0.03808835065272742
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.055,1.0,0.061654417844889724,1.0,0.9967770290067388,0.9580502152160482,0.9994255984117826,0.05194444444444445,0.05445687852929915,0.6622917146282057,0.0,0.0,0.9383455821551104,0.003222970993261076,0.0005744015882174214,0.04194978478395184
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.06,1.0,0.06721633600531672,1.0,0.9964664310954064,0.9541790733618046,0.9993700819937638,0.05666666666666665,0.059407503850144525,0.6627156844025535,0.0,0.0,0.9327836639946832,0.0035335689045935532,0.0006299180062362407,0.04582092663819537
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.065,1.0,0.0727711422846413,1.0,0.996152707901746,0.9502981871303512,0.9993139780838992,0.06138888888888889,0.06435812917098993,0.6631396541769012,0.0,0.0,0.9272288577153588,0.0038472920982539627,0.0006860219161006764,0.04970181286964892
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.07,1.0,0.07831885031481603,1.0,0.9958358120166568,0.9464075196827332,0.9992572773070544,0.06611111111111112,0.0693087544918353,0.6635636239512488,0.0,0.0,0.9216811496851841,0.0041641879833432816,0.0007427226929455077,0.05359248031726682
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.075,1.0,0.08385947369297636,1.0,0.9955156950672646,0.942507033994068,0.9991999700875506,0.07083333333333335,0.07425937981268067,0.6639875937255967,0.0,0.0,0.9161405263070236,0.004484304932735439,0.0008000299124494293,0.0574929660059319
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.08,1.0,0.08939302598155179,1.0,0.9951923076923076,0.9385966928523696,0.9991420466437752,0.07555555555555556,0.07921000513352604,0.6644115634999443,0.0,0.0,0.9106069740184484,0.004807692307692291,0.0008579533562248497,0.06140330714763054
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.085,1.0,0.09491952070837634,1.0,0.9948655995167625,0.934676458857364,0.999083496982615,0.08027777777777778,0.08416063045437143,0.6648355332742921,0.0,0.0,0.9050804792916236,0.005134400483237656,0.0009165030173849953,0.06532354114263594
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.09,1.0,0.10043897136679894,1.0,0.994535519125683,0.9307462944192998,0.9990243108937088,0.085,0.08911125577521681,0.6652595030486398,0.0,0.0,0.8995610286332011,0.005464480874316946,0.0009756891062910886,0.06925370558070021
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.095,1.0,0.10595139141579313,1.0,0.9942020140372292,0.9268061617577436,0.9989644779435124,0.08972222222222223,0.09406188109606216,0.6656834728229876,0.0,0.0,0.8940486085842069,0.005797985962770924,0.0010355220564874923,0.07319383824225634
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.1,1.0,0.1114567942800666,1.0,0.9938650306748468,0.9228560229003716,0.9989039874691652,0.09444444444444444,0.09901250641690756,0.6661074425973352,0.0,0.0,0.8885432057199334,0.006134969325153339,0.0010960125308348,0.07714397709962839
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.105,1.0,0.11695519335017003,1.0,0.9935245143385754,0.9188958396817486,0.998842828572157,0.09916666666666668,0.10396313173775294,0.666531412371683,0.0,0.0,0.8830448066498299,0.0064754856614246395,0.0011571714278429954,0.0811041603182514
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.11,1.0,0.12244660198260572,1.0,0.9931804091754496,0.9149255737420992,0.9987809901117808,0.10388888888888888,0.1089137570585983,0.6669553821460307,0.0,0.0,0.8775533980173943,0.0068195908245505255,0.0012190098882192135,0.08507442625790085
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.115,1.0,0.12793103349993573,1.0,0.992832658148956,0.9109451865260692,0.9987184606983684,0.10861111111111113,0.11386438237944367,0.6673793519203784,0.0,0.0,0.8720689665000643,0.007167341851043951,0.0012815393016316625,0.08905481347393074
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.12,1.0,0.13340850119088968,1.0,0.9924812030075189,0.906954639281478,0.9986552286862962,0.11333333333333336,0.11881500770028908,0.6678033216947261,0.0,0.0,0.8665914988091103,0.007518796992481258,0.0013447713137038073,0.0930453607185221
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.125,1.0,0.13887901831047192,1.0,0.9921259842519684,0.9029538930580598,0.9985912821667546,0.11805555555555555,0.12376563302113446,0.6682272914690739,0.0,0.0,0.8611209816895281,0.007874015748031482,0.0014087178332453654,0.09704610694194016
"CerTest Biotec, S.L.",VIASURE SARS-CoV-2 Real Time PCR Detection Kit,0.13,1.0,0.1443425980800687,1.0,0.9917669411019632,0.8989429087061978,0.9985266089602712,0.12277777777777778,0.12871625834197986,0.6686512612434214,0.0,0.0,0.8556574019199313,0.008233058898036716,0.0014733910397286554,0.10105709129380223
