company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Clinical Reference Laboratory, Inc.",CRL Rapid Response,0.005,1.0,0.03476693931323668,1.0,1.0,0.9993851379334586,1.0,0.005,0.005,0.1284003283836259,0.0,0.0,0.9652330606867632,0.0,0.0,0.0006148620665413772
"Clinical Reference Laboratory, Inc.",CRL Rapid Response,0.01,1.0,0.0675140918184843,1.0,1.0,0.9987648322680474,1.0,0.01,0.01,0.1322416196226159,0.0,0.0,0.9324859081815156,0.0,0.0,0.0012351677319526464
"Clinical Reference Laboratory, Inc.",CRL Rapid Response,0.015,1.0,0.09841249859623637,1.0,1.0,0.9981390103910736,1.0,0.015,0.015,0.1360829108616059,0.0,0.0,0.9015875014037636,0.0,0.0,0.0018609896089263331
"Clinical Reference Laboratory, Inc.",CRL Rapid Response,0.02,1.0,0.12761441859797235,1.0,1.0,0.9975075983926268,1.0,0.02,0.02,0.13992420210059592,0.0,0.0,0.8723855814020276,0.0,0.0,0.002492401607373185
"Clinical Reference Laboratory, Inc.",CRL Rapid Response,0.025,1.0,0.15525583785841587,1.0,1.0,0.9968705210364796,1.0,0.025,0.025,0.1437654933395859,0.0,0.0,0.8447441621415841,0.0,0.0,0.003129478963520449
"Clinical Reference Laboratory, Inc.",CRL Rapid Response,0.03,1.0,0.18145858691218103,1.0,1.0,0.996227701730203,1.0,0.03,0.03,0.14760678457857593,0.0,0.0,0.818541413087819,0.0,0.0,0.0037722982697969702
"Clinical Reference Laboratory, Inc.",CRL Rapid Response,0.035,1.0,0.20633213597665176,1.0,1.0,0.99557906249447,1.0,0.035,0.035,0.15144807581756592,0.0,0.0,0.7936678640233482,0.0,0.0,0.004420937505529965
"Clinical Reference Laboratory, Inc.",CRL Rapid Response,0.04,1.0,0.2299751236972909,1.0,1.0,0.9949245239315206,1.0,0.04,0.04,0.1552893670565559,0.0,0.0,0.7700248763027091,0.0,0.0,0.005075476068479357
"Clinical Reference Laboratory, Inc.",CRL Rapid Response,0.045,1.0,0.25247666447655986,1.0,1.0,0.9942640051927631,1.0,0.045,0.045,0.1591306582955459,0.0,0.0,0.7475233355234401,0.0,0.0,0.005735994807236744
"Clinical Reference Laboratory, Inc.",CRL Rapid Response,0.05,1.0,0.2739174709183425,1.0,1.0,0.9935974239454842,1.0,0.05,0.05,0.16297194953453592,0.0,0.0,0.7260825290816575,0.0,0.0,0.006402576054515774
