company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.005,0.12309,0.07662999999999999,0.19049000000000002,0.99997,0.99985,1.0,0.04042,0.02623,0.06347,0.8769100000000001,0.8095100000000001,0.92337,2.9999999999999997e-05,0.0,0.00015
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.01,0.22007,0.14297,0.32111999999999996,0.99995,0.99971,0.9999899999999999,0.045219999999999996,0.031110000000000002,0.06804,0.77993,0.67888,0.85703,5e-05,1e-05,0.00029
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.015,0.29844,0.20096,0.41627,0.99992,0.99956,0.9999899999999999,0.05002,0.036000000000000004,0.07261000000000001,0.7015600000000001,0.58373,0.79904,8e-05,1e-05,0.00044
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.02,0.36309,0.25208,0.48866000000000004,0.9999,0.99941,0.99998,0.054810000000000005,0.040889999999999996,0.07718,0.6369100000000001,0.51134,0.74792,0.0001,2e-05,0.00059
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.025,0.41733000000000003,0.29749000000000003,0.5456,0.99987,0.99926,0.99998,0.05961,0.04578,0.08175,0.58267,0.4544,0.7025100000000001,0.00013000000000000002,2e-05,0.00074
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.03,0.4635,0.33809,0.59155,0.99984,0.99911,0.99997,0.06441000000000001,0.05067,0.08632000000000001,0.5365,0.40845,0.66191,0.00016,2.9999999999999997e-05,0.0008900000000000001
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.035,0.50326,0.37461,0.62941,0.99982,0.99895,0.99997,0.06921000000000001,0.055560000000000005,0.09089,0.49673999999999996,0.37059000000000003,0.62539,0.00018,2.9999999999999997e-05,0.00105
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.04,0.53787,0.40763,0.66115,0.99979,0.9988,0.9999600000000001,0.07400000000000001,0.06045,0.09546,0.46213000000000004,0.33885,0.59237,0.00021,4e-05,0.0012
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.045,0.5682699999999999,0.43763,0.68814,0.99976,0.99864,0.9999600000000001,0.0788,0.06534,0.10002,0.43173,0.31185999999999997,0.56237,0.00023999999999999998,4e-05,0.0013599999999999999
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.05,0.59517,0.46502,0.71137,0.9997299999999999,0.9984799999999999,0.99995,0.0836,0.07023,0.10459,0.40483,0.28863,0.53498,0.00027,5e-05,0.0015199999999999999
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.055,0.61916,0.49011000000000005,0.7315699999999999,0.9997,0.9983200000000001,0.99995,0.08839,0.07512,0.10916,0.38084,0.26843,0.50989,0.0003,5e-05,0.00168
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.06,0.64068,0.51318,0.74931,0.9996799999999999,0.99816,0.9999399999999999,0.09319,0.08,0.11373,0.35932,0.25069,0.48682,0.00032,5.9999999999999995e-05,0.0018399999999999998
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.065,0.66009,0.53447,0.765,0.99965,0.9979899999999999,0.9999399999999999,0.09799,0.08489,0.1183,0.33991,0.235,0.46553,0.00035,5.9999999999999995e-05,0.00201
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.07,0.6776800000000001,0.55418,0.77899,0.9996200000000001,0.9978299999999999,0.9999299999999999,0.10279,0.08978,0.12287000000000001,0.32232,0.22100999999999998,0.44582,0.00037999999999999997,7e-05,0.00217
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.075,0.69371,0.57248,0.7915300000000001,0.99959,0.99766,0.9999299999999999,0.10758,0.09467,0.12744,0.30629,0.20847,0.42751999999999996,0.00041,7e-05,0.00234
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.08,0.7083699999999999,0.5895100000000001,0.80284,0.99956,0.99749,0.99992,0.11238,0.09956,0.13201,0.29163,0.19716,0.41048999999999997,0.00044,8e-05,0.00251
"Clinical Research Sequencing Platform (CRSP), LLC at the Broad Institute of MIT and Harvard",CRSP SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Assay,0.085,0.72183,0.6054,0.81309,0.9995299999999999,0.9973200000000001,0.99992,0.11717999999999999,0.10445,0.13658,0.27817,0.18691,0.3946,0.00047000000000000004,8e-05,0.00268
