company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.005,1.0,0.056760000000000005,1.0,1.0,0.9995799999999999,1.0,0.005,0.005,0.08131000000000001,0.0,0.0,0.94324,0.0,0.0,0.00042
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.01,1.0,0.1079,1.0,1.0,0.99916,1.0,0.01,0.01,0.08553,0.0,0.0,0.8921,0.0,0.0,0.00084
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.015,1.0,0.15423,1.0,1.0,0.9987299999999999,1.0,0.015,0.015,0.08976,0.0,0.0,0.84577,0.0,0.0,0.0012699999999999999
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.02,1.0,0.19638,1.0,1.0,0.9983,1.0,0.02,0.02,0.09399,0.0,0.0,0.80362,0.0,0.0,0.0017
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.025,1.0,0.23490999999999998,1.0,1.0,0.9978600000000001,1.0,0.025,0.025,0.09822,0.0,0.0,0.7650899999999999,0.0,0.0,0.00214
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.03,1.0,0.27025,1.0,1.0,0.9974200000000001,1.0,0.03,0.03,0.10245,0.0,0.0,0.72975,0.0,0.0,0.0025800000000000003
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.035,1.0,0.30279,1.0,1.0,0.99698,1.0,0.035,0.035,0.10668,0.0,0.0,0.69721,0.0,0.0,0.00302
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.04,1.0,0.33285,1.0,1.0,0.9965299999999999,1.0,0.04,0.04,0.11091,0.0,0.0,0.66715,0.0,0.0,0.0034700000000000004
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.045,1.0,0.36071,1.0,1.0,0.99608,1.0,0.045,0.045,0.11514,0.0,0.0,0.6392899999999999,0.0,0.0,0.00392
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.05,1.0,0.38659,1.0,1.0,0.9956200000000001,1.0,0.05,0.05,0.11937,0.0,0.0,0.61341,0.0,0.0,0.004379999999999999
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.055,1.0,0.41068999999999994,1.0,1.0,0.99516,1.0,0.055,0.055,0.1236,0.0,0.0,0.58931,0.0,0.0,0.00484
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.06,1.0,0.43321000000000004,1.0,1.0,0.9947,1.0,0.06,0.06,0.12783,0.0,0.0,0.56679,0.0,0.0,0.0053
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.065,1.0,0.45428,1.0,1.0,0.99423,1.0,0.065,0.065,0.13205999999999998,0.0,0.0,0.54572,0.0,0.0,0.00577
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.07,1.0,0.47403999999999996,1.0,1.0,0.99375,1.0,0.07,0.07,0.13629000000000002,0.0,0.0,0.52596,0.0,0.0,0.00625
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.075,1.0,0.49261000000000005,1.0,1.0,0.9932700000000001,1.0,0.075,0.075,0.14051,0.0,0.0,0.50739,0.0,0.0,0.00673
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.08,1.0,0.5101,1.0,1.0,0.99279,1.0,0.08,0.08,0.14474,0.0,0.0,0.4899,0.0,0.0,0.007209999999999999
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.085,1.0,0.52659,1.0,1.0,0.9923,1.0,0.085,0.085,0.14897,0.0,0.0,0.47341000000000005,0.0,0.0,0.0077
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.09,1.0,0.54218,1.0,1.0,0.9918100000000001,1.0,0.09,0.09,0.1532,0.0,0.0,0.45782,0.0,0.0,0.008190000000000001
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.095,1.0,0.55693,1.0,1.0,0.99131,1.0,0.095,0.095,0.15743,0.0,0.0,0.44306999999999996,0.0,0.0,0.00869
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.1,1.0,0.5709,1.0,1.0,0.9908100000000001,1.0,0.1,0.1,0.16166,0.0,0.0,0.4291,0.0,0.0,0.00919
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.105,1.0,0.58416,1.0,1.0,0.9903,1.0,0.105,0.105,0.16589,0.0,0.0,0.41584,0.0,0.0,0.0097
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.11,1.0,0.59677,1.0,1.0,0.9897799999999999,1.0,0.11,0.11,0.17012,0.0,0.0,0.40323000000000003,0.0,0.0,0.01022
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.115,1.0,0.6087600000000001,1.0,1.0,0.98926,1.0,0.115,0.115,0.17435,0.0,0.0,0.39124000000000003,0.0,0.0,0.010740000000000001
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.12,1.0,0.6201800000000001,1.0,1.0,0.98874,1.0,0.12,0.12,0.17858,0.0,0.0,0.37982,0.0,0.0,0.01126
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.125,1.0,0.63108,1.0,1.0,0.98821,1.0,0.125,0.125,0.18281,0.0,0.0,0.36891999999999997,0.0,0.0,0.01179
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.13,1.0,0.64148,1.0,1.0,0.98767,1.0,0.13,0.13,0.18704,0.0,0.0,0.35852,0.0,0.0,0.012329999999999999
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.135,1.0,0.65142,1.0,1.0,0.98713,1.0,0.135,0.135,0.19127,0.0,0.0,0.34858,0.0,0.0,0.01287
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.14,1.0,0.66093,1.0,1.0,0.98659,1.0,0.14,0.14,0.19549,0.0,0.0,0.33907,0.0,0.0,0.01341
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.145,1.0,0.67004,1.0,1.0,0.98603,1.0,0.145,0.145,0.19972,0.0,0.0,0.32996,0.0,0.0,0.013969999999999998
"Color Genomics, Inc.",Color Genomics SARS-CoV-2 RT-LAMP Diagnostic Assay,0.15,1.0,0.67878,1.0,1.0,0.9854799999999999,1.0,0.15,0.15,0.20395,0.0,0.0,0.32122,0.0,0.0,0.014519999999999998
