company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.005,1.0,0.027841842391584617,1.0,1.0,0.9989202098197504,1.0,0.005,0.005,0.14648390148831872,0.0,0.0,0.9721581576084154,0.0,0.0,0.0010797901802495071
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.01,1.0,0.05443406239722837,1.0,1.0,0.9978318774330917,1.0,0.01,0.01,0.14984667755937456,0.0,0.0,0.9455659376027716,0.0,0.0,0.002168122566908348
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.015,1.0,0.07985894345619146,1.0,1.0,0.9967349010715494,1.0,0.015,0.015,0.15320945363043045,0.0,0.0,0.9201410565438084,0.0,0.0,0.003265098928450616
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.02,1.0,0.10419170004585973,1.0,1.0,0.9956291773436312,1.0,0.02,0.02,0.1565722297014863,0.0,0.0,0.8958082999541402,0.0,0.0,0.004370822656368789
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.025,1.0,0.12750122083786986,1.0,1.0,0.9945146012023428,1.0,0.025,0.025,0.15993500577254216,0.0,0.0,0.8724987791621301,0.0,0.0,0.005485398797657082
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.03,1.0,0.14985072003176392,1.0,1.0,0.9933910659119188,1.0,0.03,0.03,0.16329778184359803,0.0,0.0,0.8501492799682361,0.0,0.0,0.006608934088081164
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.035,1.0,0.1712983098353414,1.0,1.0,0.99225846301375,1.0,0.035,0.035,0.1666605579146539,0.0,0.0,0.8287016901646587,0.0,0.0,0.0077415369862501296
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.04,1.0,0.1918975050088106,1.0,1.0,0.9911166822914806,1.0,0.04,0.04,0.17002333398570976,0.0,0.0,0.8081024949911894,0.0,0.0,0.008883317708519356
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.045,1.0,0.21169766869596676,1.0,1.0,0.9899656117352564,1.0,0.045,0.045,0.17338611005676566,0.0,0.0,0.7883023313040333,0.0,0.0,0.010034388264743566
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.05,1.0,0.23074440736179624,1.0,1.0,0.9888051375050928,1.0,0.05,0.05,0.17674888612782147,0.0,0.0,0.7692555926382038,0.0,0.0,0.011194862494907198
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.055,1.0,0.2490799214879689,1.0,1.0,0.9876351438933442,1.0,0.055,0.055,0.18011166219887734,0.0,0.0,0.7509200785120308,0.0,0.0,0.01236485610665583
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.06,1.0,0.2667433177023998,1.0,1.0,0.9864555132862456,1.0,0.06,0.06,0.1834744382699332,0.0,0.0,0.7332566822976002,0.0,0.0,0.013544486713754522
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.065,1.0,0.2837708872017624,1.0,1.0,0.9852661261244979,1.0,0.065,0.065,0.18683721434098907,0.0,0.0,0.7162291127982376,0.0,0.0,0.014733873875501955
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.07,1.0,0.3001963546385891,1.0,1.0,0.9840668608628756,1.0,0.07,0.07,0.1901999904120449,0.0,0.0,0.6998036453614109,0.0,0.0,0.015933139137124352
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.075,1.0,0.3160511010647994,1.0,1.0,0.982857593928818,1.0,0.07500000000000001,0.07500000000000001,0.19356276648310086,0.0,0.0,0.6839488989352006,0.0,0.0,0.017142406071182115
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.08,1.0,0.3313643640328133,1.0,1.0,0.9816381996799848,1.0,0.08,0.08,0.19692554255415667,0.0,0.0,0.6686356359671867,0.0,0.0,0.01836180032001522
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.085,1.0,0.3461634175388667,1.0,1.0,0.9804085503607388,1.0,0.085,0.085,0.2002883186252125,0.0,0.0,0.6538365824611333,0.0,0.0,0.019591449639261186
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.09,1.0,0.36047373413851,1.0,1.0,0.9791685160575267,1.0,0.09000000000000001,0.09000000000000001,0.2036510946962684,0.0,0.0,0.63952626586149,0.0,0.0,0.02083148394247325
Columbia University Laboratory of Personalized Genomic Medicine,TRIPLEX CII-SARS-CoV-2 rRT-PCR TEST,0.095,1.0,0.3743191312614813,1.0,1.0,0.9779179646531236,1.0,0.095,0.095,0.20701387076732425,0.0,0.0,0.6256808687385187,0.0,0.0,0.02208203534687636
