company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Compass Laboratory Services, LLC",Compass Laboratory Services SARS-CoV2 Assay,0.005,0.14957,0.031110000000000002,0.4982,1.0,0.9995799999999999,1.0,0.03343,0.01004,0.14925,0.8504299999999999,0.5018,0.9688899999999999,0.0,0.0,0.00042
"Compass Laboratory Services, LLC",Compass Laboratory Services SARS-CoV2 Assay,0.01,0.26119000000000003,0.060629999999999996,0.66619,1.0,0.99916,1.0,0.03829,0.015009999999999999,0.15317,0.7388100000000001,0.33381,0.93937,0.0,0.0,0.00084
"Compass Laboratory Services, LLC",Compass Laboratory Services SARS-CoV2 Assay,0.015,0.34768000000000004,0.08868,0.75055,1.0,0.9987299999999999,1.0,0.04314,0.01999,0.15708,0.65232,0.24945,0.91132,0.0,0.0,0.0012699999999999999
"Compass Laboratory Services, LLC",Compass Laboratory Services SARS-CoV2 Assay,0.02,0.41667,0.11535999999999999,0.80128,1.0,0.9983,1.0,0.048,0.02496,0.161,0.58333,0.19872,0.88464,0.0,0.0,0.0017
"Compass Laboratory Services, LLC",Compass Laboratory Services SARS-CoV2 Assay,0.025,0.47297,0.14078,0.83515,1.0,0.9978600000000001,1.0,0.052860000000000004,0.029930000000000002,0.16492,0.52703,0.16485,0.8592200000000001,0.0,0.0,0.00214
"Compass Laboratory Services, LLC",Compass Laboratory Services SARS-CoV2 Assay,0.03,0.5198,0.16501,0.85936,1.0,0.9974200000000001,1.0,0.057710000000000004,0.034910000000000004,0.16883,0.4802,0.14064000000000002,0.83499,0.0,0.0,0.0025800000000000003
"Compass Laboratory Services, LLC",Compass Laboratory Services SARS-CoV2 Assay,0.035,0.5593600000000001,0.18815,0.87754,1.0,0.99698,1.0,0.06257,0.03988,0.17275,0.44064,0.12245999999999999,0.81185,0.0,0.0,0.00302
"Compass Laboratory Services, LLC",Compass Laboratory Services SARS-CoV2 Assay,0.04,0.59322,0.21026,0.8916799999999999,1.0,0.9965299999999999,1.0,0.06742999999999999,0.044860000000000004,0.17667,0.40678000000000003,0.10832,0.78974,0.0,0.0,0.0034700000000000004
"Compass Laboratory Services, LLC",Compass Laboratory Services SARS-CoV2 Assay,0.045,0.62253,0.23141,0.9030100000000001,1.0,0.99608,1.0,0.07229,0.04983,0.18058,0.37747,0.09698999999999999,0.76859,0.0,0.0,0.00392
"Compass Laboratory Services, LLC",Compass Laboratory Services SARS-CoV2 Assay,0.05,0.64815,0.25167,0.91227,1.0,0.9956299999999999,1.0,0.07714,0.054810000000000005,0.1845,0.35185,0.08772999999999999,0.74833,0.0,0.0,0.004370000000000001
"Compass Laboratory Services, LLC",Compass Laboratory Services SARS-CoV2 Assay,0.055,0.67073,0.27108000000000004,0.91999,1.0,0.99516,1.0,0.08199999999999999,0.05977999999999999,0.18842,0.32927,0.08001,0.72892,0.0,0.0,0.00484
