company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.005,1.0,0.024480000000000002,1.0,0.99749,0.99674,0.9979899999999999,0.0025,0.003,0.0819,0.0,0.0,0.97552,0.00251,0.00201,0.0032600000000000003
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.01,1.0,0.048010000000000004,1.0,0.99497,0.99346,0.99597,0.005,0.00599,0.0835,0.0,0.0,0.95199,0.00503,0.00403,0.006540000000000001
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.015,1.0,0.07066,1.0,0.99244,0.99018,0.99393,0.0075,0.00899,0.08511,0.0,0.0,0.9293399999999999,0.007559999999999999,0.00607,0.00982
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.02,1.0,0.09247000000000001,1.0,0.9899,0.98688,0.9918799999999999,0.01,0.01198,0.08671,0.0,0.0,0.90753,0.0101,0.00812,0.01312
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.025,1.0,0.11349000000000001,1.0,0.98734,0.98357,0.98982,0.0125,0.014980000000000002,0.08831,0.0,0.0,0.88651,0.01266,0.01018,0.01643
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.03,1.0,0.13376,1.0,0.98477,0.98025,0.98775,0.015,0.01797,0.08992,0.0,0.0,0.86624,0.01523,0.01225,0.01975
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.035,1.0,0.15333,1.0,0.98219,0.9769200000000001,0.98567,0.0175,0.02097,0.09152,0.0,0.0,0.84667,0.01781,0.01433,0.02308
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.04,1.0,0.17221,1.0,0.97959,0.9735799999999999,0.98357,0.02,0.02396,0.09312000000000001,0.0,0.0,0.8277899999999999,0.02041,0.01643,0.02642
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.045,1.0,0.19046,1.0,0.97698,0.9702200000000001,0.98146,0.0225,0.02696,0.09473,0.0,0.0,0.8095399999999999,0.02302,0.01854,0.02978
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.05,1.0,0.2081,1.0,0.97436,0.96685,0.9793299999999999,0.025,0.02995,0.09633,0.0,0.0,0.7919,0.025639999999999996,0.020669999999999997,0.03315
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.055,1.0,0.22516,1.0,0.97172,0.96347,0.9772,0.0275,0.03295,0.09792999999999999,0.0,0.0,0.77484,0.02828,0.0228,0.03653
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.06,1.0,0.24168,1.0,0.9690700000000001,0.9600799999999999,0.97505,0.03,0.03594,0.09954,0.0,0.0,0.75832,0.030930000000000003,0.02495,0.03992
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.065,1.0,0.25766999999999995,1.0,0.96641,0.95668,0.97288,0.0325,0.038939999999999995,0.10114,0.0,0.0,0.74233,0.033589999999999995,0.02712,0.04332
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.07,1.0,0.27316,1.0,0.96373,0.95326,0.9707100000000001,0.035,0.04194,0.10274000000000001,0.0,0.0,0.7268399999999999,0.03627,0.029289999999999997,0.04674
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.075,1.0,0.28817,1.0,0.96104,0.94983,0.96852,0.0375,0.04493,0.10435,0.0,0.0,0.71183,0.03896,0.03148,0.05017
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.08,1.0,0.30273,1.0,0.9583299999999999,0.94639,0.96631,0.04,0.04793,0.10595,0.0,0.0,0.69727,0.04167,0.03369,0.053610000000000005
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.085,1.0,0.31686,1.0,0.9556100000000001,0.94294,0.96409,0.0425,0.05092,0.10755,0.0,0.0,0.68314,0.04439,0.035910000000000004,0.05706
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.09,1.0,0.33057,1.0,0.95288,0.93948,0.96186,0.045,0.05392,0.10915,0.0,0.0,0.66943,0.04712,0.03814,0.060520000000000004
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.095,1.0,0.34388,1.0,0.9501299999999999,0.9359999999999999,0.9596100000000001,0.0475,0.05691,0.11076,0.0,0.0,0.65612,0.04987,0.040389999999999995,0.064
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.1,1.0,0.35681999999999997,1.0,0.94737,0.9325100000000001,0.95735,0.05,0.059910000000000005,0.11235999999999999,0.0,0.0,0.64318,0.052629999999999996,0.04265,0.06749
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.105,1.0,0.36939,1.0,0.9445899999999999,0.92901,0.9550799999999999,0.0525,0.0629,0.11395999999999999,0.0,0.0,0.63061,0.05541,0.04492,0.07099
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.11,1.0,0.38161,1.0,0.9418,0.9254899999999999,0.9527899999999999,0.055,0.0659,0.11557,0.0,0.0,0.61839,0.0582,0.04721,0.07451
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.115,1.0,0.3935,1.0,0.93899,0.92196,0.9504799999999999,0.0575,0.06888999999999999,0.11717000000000001,0.0,0.0,0.6065,0.06101,0.04952,0.07804
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.12,1.0,0.40507,1.0,0.9361700000000001,0.9184200000000001,0.94816,0.06,0.07189,0.11877,0.0,0.0,0.5949300000000001,0.06383,0.05184,0.08158
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.125,1.0,0.41631999999999997,1.0,0.9333299999999999,0.9148700000000001,0.94583,0.0625,0.07488,0.12038,0.0,0.0,0.58368,0.06667000000000001,0.05417,0.08513
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.13,1.0,0.42728999999999995,1.0,0.93048,0.9113,0.9434799999999999,0.065,0.07787999999999999,0.12197999999999999,0.0,0.0,0.57271,0.06952,0.05652000000000001,0.0887
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.135,1.0,0.43796,1.0,0.92761,0.9077200000000001,0.94111,0.0675,0.08088,0.12358,0.0,0.0,0.56204,0.07239,0.05889,0.09228
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.14,1.0,0.44837,1.0,0.9247299999999999,0.9041299999999999,0.93873,0.07,0.08387,0.12519,0.0,0.0,0.5516300000000001,0.07527,0.061270000000000005,0.09587000000000001
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.145,1.0,0.45851000000000003,1.0,0.9218299999999999,0.9005200000000001,0.93634,0.0725,0.08687,0.12679,0.0,0.0,0.5414899999999999,0.07817,0.06366000000000001,0.09948
Coris BioConcept,COVID-19 Ag Respi-Strip - Source: FindDx 1,0.15,1.0,0.4684,1.0,0.9189200000000001,0.8969,0.9339200000000001,0.075,0.08986,0.12839,0.0,0.0,0.5316,0.08108,0.06608,0.1031
