company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.005,1.0,0.15164630817748626,0.9999999999999781,1.0,0.999515214609205,1.0,0.005,0.00500000000000011,0.02987013180316097,0.0,2.19824158875781e-14,0.8483536918225137,0.0,0.0,0.0004847853907949951
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.01,1.0,0.2643341909938379,0.9999999999999892,1.0,0.9990260093421814,1.0,0.01,0.01000000000000011,0.034272488138546366,0.0,1.0880185641326534e-14,0.7356658090061621,0.0,0.0,0.0009739906578185576
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.015,1.0,0.3513675574657416,0.9999999999999928,1.0,0.998532323476904,1.0,0.015,0.015000000000000109,0.038674844473931776,0.0,7.327471962526032e-15,0.6486324425342584,0.0,0.0,0.0014676765230959845
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.02,1.0,0.42061184363163656,0.9999999999999948,1.0,0.9980340951739326,1.0,0.02,0.020000000000000108,0.04307720080931718,0.0,5.329070518200752e-15,0.5793881563683634,0.0,0.0,0.0019659048260673995
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.025,1.0,0.4770153182894283,0.9999999999999956,1.0,0.9975312614505892,1.0,0.025,0.02500000000000011,0.04747955714470258,0.0,4.3298697960381105e-15,0.5229846817105717,0.0,0.0,0.002468738549410654
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.03,1.0,0.5238467406715162,0.9999999999999964,1.0,0.9970237581544172,1.0,0.03,0.030000000000000113,0.05188191348008799,0.0,3.552713678800501e-15,0.4761532593284839,0.0,0.0,0.00297624184558265
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.035,1.0,0.563352186908055,0.999999999999997,1.0,0.9965115199358959,1.0,0.035,0.0350000000000001,0.05628426981547338,0.0,2.997602166487923e-15,0.436647813091945,0.0,0.0,0.0034884800641039604
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.04,1.0,0.5971259896984971,0.9999999999999974,1.0,0.9959944802203892,1.0,0.04,0.040000000000000105,0.060686626150858784,0.0,2.5535129566378604e-15,0.4028740103015029,0.0,0.0,0.004005519779610943
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.045,1.0,0.6263311448006461,0.9999999999999976,1.0,0.9954725711793002,1.0,0.045,0.0450000000000001,0.06508898248624419,0.0,2.331468351712829e-15,0.3736688551993539,0.0,0.0,0.004527428820699786
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.05,1.0,0.6518359394904025,0.999999999999998,1.0,0.9949457237004098,1.0,0.05,0.0500000000000001,0.06949133882162957,0.0,2.109423746787797e-15,0.3481640605095975,0.0,0.0,0.00505427629959021
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.055,1.0,0.6743017416315642,0.999999999999998,1.0,0.9944138673573656,1.0,0.055,0.05500000000000009,0.073893695157015,0.0,1.887379141862766e-15,0.3256982583684358,0.0,0.0,0.0055861326426344116
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.06,1.0,0.6942411720208818,0.9999999999999982,1.0,0.993876930378299,1.0,0.06,0.0600000000000001,0.0782960514924004,0.0,1.7763568394002505e-15,0.30575882797911824,0.0,0.0,0.00612306962170095
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.065,1.0,0.7120576962986045,0.9999999999999986,1.0,0.9933348396135384,1.0,0.065,0.0650000000000001,0.08269840782778581,0.0,1.4432899320127035e-15,0.2879423037013955,0.0,0.0,0.006665160386461588
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.07,1.0,0.7280732102342908,0.9999999999999988,1.0,0.9927875205023866,1.0,0.07,0.0700000000000001,0.08710076416317121,0.0,1.3322676295501877e-15,0.2719267897657092,0.0,0.0,0.007212479497613389
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.075,1.0,0.7425476619885985,0.9999999999999988,1.0,0.992234897038934,1.0,0.07500000000000001,0.07500000000000011,0.09150312049855662,0.0,1.3322676295501877e-15,0.25745233801140155,0.0,0.0,0.007765102961065917
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.08,1.0,0.7556932700420999,0.9999999999999988,1.0,0.9916768917368728,1.0,0.08,0.0800000000000001,0.09590547683394203,0.0,1.2212453270876722e-15,0.2443067299579001,0.0,0.0,0.00832310826312732
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.085,1.0,0.767684997106085,0.9999999999999988,1.0,0.9911134255932764,1.0,0.085,0.0850000000000001,0.10030783316932744,0.0,1.1102230246251563e-15,0.23231500289391505,0.0,0.0,0.00888657440672369
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.09,1.0,0.7786683818900674,0.9999999999999988,1.0,0.9905444180513128,1.0,0.09000000000000001,0.09000000000000011,0.10471018950471284,0.0,1.1102230246251563e-15,0.22133161810993265,0.0,0.0,0.009455581948687342
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.095,1.0,0.7887654749426004,0.999999999999999,1.0,0.9899697869618502,1.0,0.095,0.0950000000000001,0.10911254584009822,0.0,9.992007221626409e-16,0.2112345250573996,0.0,0.0,0.010030213038149771
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.1,1.0,0.7980793932627079,0.999999999999999,1.0,0.9893894485439207,1.0,0.1,0.1000000000000001,0.11351490217548366,0.0,9.992007221626409e-16,0.20192060673729206,0.0,0.0,0.010610551456079144
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.105,1.0,0.8066978546523949,0.9999999999999992,1.0,0.9888033173439978,1.0,0.105,0.10500000000000012,0.11791725851086905,0.0,8.881784197001252e-16,0.19330214534760515,0.0,0.0,0.011196682656002157
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.11,1.0,0.8146959488483517,0.9999999999999992,1.0,0.9882113061940498,1.0,0.11,0.1100000000000001,0.12231961484625445,0.0,8.881784197001252e-16,0.18530405115164827,0.0,0.0,0.011788693805950157
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.115,1.0,0.8221383310343665,0.9999999999999992,1.0,0.9876133261683244,1.0,0.115,0.1150000000000001,0.12672197118163986,0.0,8.881784197001252e-16,0.1778616689656335,0.0,0.0,0.012386673831675576
Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,0.12,1.0,0.8290809734850113,0.9999999999999992,1.0,0.9870092865388188,1.0,0.12,0.1200000000000001,0.13112432751702524,0.0,7.771561172376097e-16,0.1709190265149887,0.0,0.0,0.01299071346118108
