company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Cue Health Inc,Cue COVID-19 Test,0.005,0.05984251968503936,0.014515290226784019,0.15586991662822242,1.0,0.9975294585524817,1.0,0.08355263157894739,0.03207803088729362,0.2100050900883744,0.9401574803149606,0.8441300833717775,0.9854847097732159,0.0,0.0,0.0024705414475184595
Cue Health Inc,Cue COVID-19 Test,0.01,0.1134328358208955,0.02875558772707072,0.2706948926653783,1.0,0.9950463240214756,1.0,0.08815789473684213,0.0369419603803223,0.2120133909740958,0.8865671641791045,0.7293051073346217,0.9712444122729292,0.0,0.0,0.004953675978524474
Cue Health Inc,Cue COVID-19 Test,0.015,0.16170212765957442,0.042728633792848685,0.3588011173890045,1.0,0.9925504998749256,1.0,0.09276315789473688,0.041805889873350974,0.2140216918598172,0.8382978723404255,0.6411988826109954,0.9572713662071514,0.0,0.0,0.007449500125074281
Cue Health Inc,Cue COVID-19 Test,0.02,0.20540540540540536,0.05644188185156768,0.4285424771626125,1.0,0.9900418885916292,1.0,0.0973684210526316,0.04666981936637965,0.2160299927455386,0.7945945945945947,0.5714575228373875,0.9435581181484324,0.0,0.0,0.009958111408370884
Cue Health Inc,Cue COVID-19 Test,0.025,0.24516129032258066,0.069902510723411,0.4851189861658171,1.0,0.9875203916485332,1.0,0.10197368421052633,0.051533748859408327,0.21803829363126,0.7548387096774194,0.5148810138341828,0.9300974892765892,0.0,0.0,0.012479608351466777
Cue Health Inc,Cue COVID-19 Test,0.03,0.28148148148148144,0.08311743715259641,0.5319367902438429,1.0,0.984985909507838,1.0,0.10657894736842108,0.056397678352437,0.22004659451698144,0.7185185185185186,0.4680632097561571,0.9168825628474035,0.0,0.0,0.015014090492162069
Cue Health Inc,Cue COVID-19 Test,0.035,0.314792899408284,0.09609332765866603,0.5713202971800642,1.0,0.9824383416038984,1.0,0.1111842105263158,0.06126160784546567,0.22205489540270285,0.685207100591716,0.42867970281993584,0.903906672341334,0.0,0.0,0.017561658396101687
Cue Health Inc,Cue COVID-19 Test,0.04,0.3454545454545454,0.10883660975043087,0.6049100182769235,1.0,0.9798775863299218,1.0,0.11578947368421055,0.06612553733849434,0.22406319628842425,0.6545454545454545,0.3950899817230765,0.8911633902495691,0.0,0.0,0.020122413670078162
Cue Health Inc,Cue COVID-19 Test,0.045,0.37377049180327865,0.12135348254220175,0.633896858343746,1.0,0.9773035410244604,1.0,0.12039473684210528,0.07098946683152302,0.2260714971741457,0.6262295081967213,0.36610314165625396,0.8786465174577982,0.0,0.0,0.02269645897553973
Cue Health Inc,Cue COVID-19 Test,0.05,0.3999999999999999,0.13364992680914925,0.6591662657538295,1.0,0.9747161019576904,1.0,0.12500000000000006,0.0758533963245517,0.2280797980598671,0.6000000000000001,0.3408337342461705,0.8663500731908508,0.0,0.0,0.02528389804230946
Cue Health Inc,Cue COVID-19 Test,0.055,0.4243654822335025,0.14573171451605993,0.6813902646415586,1.0,0.9721151643174804,1.0,0.12960526315789475,0.08071732581758037,0.2300880989455885,0.5756345177664974,0.3186097353584414,0.8542682854839401,0.0,0.0,0.027884835682519538
Cue Health Inc,Cue COVID-19 Test,0.06,0.4470588235294117,0.15760441785138607,0.701088103723598,1.0,0.9695006221952354,1.0,0.1342105263157895,0.08558125531060905,0.2320963998313099,0.5529411764705883,0.29891189627640197,0.8423955821486141,0.0,0.0,0.030499377804764638
Cue Health Inc,Cue COVID-19 Test,0.065,0.4682464454976303,0.1692734177962957,0.7186673358136109,1.0,0.9668723685715233,1.0,0.13881578947368425,0.09044518480363772,0.2341047007170313,0.5317535545023697,0.28133266418638914,0.8307265822037043,0.0,0.0,0.033127631428476856
Cue Health Inc,Cue COVID-19 Test,0.07,0.4880733944954128,0.18074391225640984,0.7344523188213951,1.0,0.9642302953014721,1.0,0.14342105263157898,0.0953091142966664,0.23611300160275275,0.5119266055045872,0.26554768117860506,0.8192560877435902,0.0,0.0,0.035769704698528026
Cue Health Inc,Cue COVID-19 Test,0.075,0.5066666666666666,0.19202092378204327,0.7487044135092493,1.0,0.9615742930999368,1.0,0.14802631578947373,0.10017304378969508,0.23812130248847416,0.4933333333333334,0.2512955864907507,0.8079790762179567,0.0,0.0,0.038425706900063306
Cue Health Inc,Cue COVID-19 Test,0.08,0.5241379310344827,0.20310930690104145,0.7616365694836547,1.0,0.9589042515264309,1.0,0.15263157894736845,0.10503697328272377,0.2401296033741956,0.4758620689655173,0.2383634305163453,0.7968906930989585,0.0,0.0,0.041095748473569005
Cue Health Inc,Cue COVID-19 Test,0.085,0.5405857740585774,0.21401375508670345,0.7734240379575268,1.0,0.9562200589698188,1.0,0.15723684210526315,0.10990090277575244,0.242137904259917,0.4594142259414226,0.2265759620424732,0.7859862449132966,0.0,0.0,0.04377994103018135
Cue Health Inc,Cue COVID-19 Test,0.09,0.5560975609756097,0.22473880738180474,0.7842123603615656,1.0,0.9535216026327621,1.0,0.16184210526315793,0.11476483226878112,0.2441462051456384,0.4439024390243903,0.2157876396384344,0.7752611926181953,0.0,0.0,0.046478397367238015
Cue Health Inc,Cue COVID-19 Test,0.095,0.5707509881422924,0.2352888546983587,0.7941234081244812,1.0,0.9508087685159212,1.0,0.16644736842105265,0.11962876176180977,0.2461545060313598,0.4292490118577076,0.2058765918755188,0.7647111453016413,0.0,0.0,0.04919123148407878
Cue Health Inc,Cue COVID-19 Test,0.1,0.5846153846153845,0.24566814581148766,0.8032600066079258,1.0,0.9480814414019,1.0,0.1710526315789474,0.12449269125483844,0.24816280691708126,0.41538461538461546,0.19673999339207413,0.7543318541885123,0.0,0.0,0.05191855859809991
Cue Health Inc,Cue COVID-19 Test,0.105,0.597752808988764,0.2558807930645902,0.8117095158558498,1.0,0.9453395048389348,1.0,0.17565789473684212,0.12935662074786713,0.25017110780280266,0.402247191011236,0.18829048414415014,0.7441192069354098,0.0,0.0,0.054660495161065185
Cue Health Inc,Cue COVID-19 Test,0.11,0.6102189781021897,0.26593077780190194,0.8195466327814531,1.0,0.9425828411243186,1.0,0.18026315789473685,0.1342205502408958,0.2521794086885241,0.3897810218978103,0.18045336721854688,0.734069222198098,0.0,0.0,0.05741715887568144
Cue Health Inc,Cue COVID-19 Test,0.115,0.6220640569395017,0.27582195554352346,0.8268356053817127,1.0,0.9398113312875592,1.0,0.1848684210526316,0.1390844797339245,0.2541877095742455,0.3779359430604983,0.17316439461828725,0.7241780444564765,0.0,0.0,0.06018866871244076
Cue Health Inc,Cue COVID-19 Test,0.12,0.6333333333333333,0.28555806091704955,0.8336319980501111,1.0,0.9370248550732644,1.0,0.18947368421052635,0.14394840922695315,0.2561960104599669,0.3666666666666667,0.16636800194988888,0.7144419390829504,0.0,0.0,0.06297514492673563
Cue Health Inc,Cue COVID-19 Test,0.125,0.6440677966101694,0.29514271235904954,0.8399841106940118,1.0,0.9342232909237476,1.0,0.19407894736842107,0.14881233871998184,0.2582043113456883,0.35593220338983056,0.1600158893059882,0.7048572876409505,0.0,0.0,0.06577670907625255
Cue Health Inc,Cue COVID-19 Test,0.13,0.6543046357615894,0.30457941659883503,0.8459341283574582,1.0,0.9314065159613512,1.0,0.1986842105263158,0.1536762682130105,0.2602126122314097,0.34569536423841063,0.15406587164254182,0.6954205834011651,0.0,0.0,0.06859348403864872
Cue Health Inc,Cue COVID-19 Test,0.135,0.6640776699029125,0.3138715729361837,0.8515190592250506,1.0,0.9285744059704828,1.0,0.20328947368421055,0.1585401977060392,0.26222091311713114,0.3359223300970875,0.14848094077494944,0.6861284270638164,0.0,0.0,0.0714255940295172
Cue Health Inc,Cue COVID-19 Test,0.14,0.6734177215189873,0.32302247732398565,0.8567715051006292,1.0,0.9257268353793529,1.0,0.2078947368421053,0.16340412719906786,0.2642292140028525,0.32658227848101273,0.14322849489937084,0.6769775226760144,0.0,0.0,0.07427316462064715
Cue Health Inc,Cue COVID-19 Test,0.145,0.6823529411764706,0.3320353262661089,0.8617202982579556,1.0,0.9228636772414176,1.0,0.2125,0.16826805669209655,0.26623751488857395,0.3176470588235294,0.1382797017420444,0.6679646737338911,0.0,0.0,0.07713632275858229
Cue Health Inc,Cue COVID-19 Test,0.15,0.6909090909090908,0.3409132205401706,0.8663910309421922,1.0,0.9199848032165132,1.0,0.21710526315789475,0.1731319861851252,0.2682458157742953,0.3090909090909092,0.13360896905780786,0.6590867794598294,0.0,0.0,0.0800151967834869
Cue Health Inc,Cue COVID-19 Test,0.155,0.6991097922848664,0.349659168754322,0.8708064980562009,1.0,0.9170900835516779,1.0,0.2217105263157895,0.17799591567815387,0.27025411666001675,0.30089020771513364,0.12919350194379908,0.650340831245678,0.0,0.0,0.08290991644832202
Cue Health Inc,Cue COVID-19 Test,0.16,0.7069767441860464,0.358276090746615,0.8749870691961785,1.0,0.9141793870616602,1.0,0.22631578947368425,0.18285984517118256,0.2722624175457382,0.2930232558139536,0.12501293080382148,0.6417239092533851,0.0,0.0,0.08582061293833976
Cue Health Inc,Cue COVID-19 Test,0.165,0.7145299145299145,0.3667668208350237,0.8789510028505547,1.0,0.9112525811090992,1.0,0.23092105263157894,0.1877237746642112,0.2742707184314596,0.28547008547008546,0.12104899714944528,0.6332331791649763,0.0,0.0,0.08874741889090065
Cue Health Inc,Cue COVID-19 Test,0.17,0.7217877094972067,0.3751341109257145,0.8827147129870868,1.0,0.908309531584378,1.0,0.2355263157894737,0.19258770415723991,0.276279019317181,0.2782122905027933,0.1172852870129132,0.6248658890742853,0.0,0.0,0.0916904684156219
Cue Health Inc,Cue COVID-19 Test,0.175,0.7287671232876711,0.3833806334867319,0.8862929962380788,1.0,0.9053501028851384,1.0,0.2401315789473685,0.1974516336502686,0.2782873202029024,0.2712328767123289,0.11370700376192122,0.6166193665132681,0.0,0.0,0.0946498971148616
Cue Health Inc,Cue COVID-19 Test,0.18,0.7354838709677419,0.3915089843938425,0.8896992263146288,1.0,0.9023741578954548,1.0,0.2447368421052632,0.20231556314329727,0.2802956210886238,0.2645161290322581,0.11030077368537117,0.6084910156061575,0.0,0.0,0.09762584210454506
Cue Health Inc,Cue COVID-19 Test,0.185,0.741952506596306,0.3995216856549117,0.8929455210354296,1.0,0.8993815579646576,1.0,0.2493421052631579,0.20717949263632596,0.28230392197434523,0.25804749340369404,0.10705447896457043,0.6004783143450882,0.0,0.0,0.10061844203534244
Cue Health Inc,Cue COVID-19 Test,0.19,0.7481865284974093,0.40742118801881255,0.8960428863673626,1.0,0.8963721628857979,1.0,0.25394736842105264,0.21204342212935465,0.2843122228600667,0.2518134715025907,0.10395711363263738,0.5925788119811874,0.0,0.0,0.10362783711420198
Cue Health Inc,Cue COVID-19 Test,0.195,0.7541984732824428,0.4152098734745391,0.8990013410862991,1.0,0.8933458308737537,1.0,0.25855263157894737,0.21690735162238328,0.2863205237457881,0.2458015267175572,0.10099865891370086,0.5847901265254609,0.0,0.0,0.10665416912624626
Cue Health Inc,Cue COVID-19 Test,0.2,0.7599999999999999,0.4228900576458774,0.9018300250333948,1.0,0.8903024185429593,1.0,0.2631578947368421,0.221771281115412,0.2883288246315095,0.2400000000000001,0.09816997496660518,0.5771099423541226,0.0,0.0,0.10969758145704067
Cue Health Inc,Cue COVID-19 Test,0.205,0.7656019656019656,0.43046399208669067,0.9045372934313374,1.0,0.8872417808847614,1.0,0.2677631578947369,0.22663521060844066,0.2903371255172309,0.2343980343980344,0.09546270656866264,0.5695360079133094,0.0,0.0,0.11275821911523864
Cue Health Inc,Cue COVID-19 Test,0.21,0.7710144927536232,0.4379338664815984,0.9071307993107623,1.0,0.8841637712443868,1.0,0.2723684210526316,0.2314991401014693,0.2923454264029524,0.2289855072463768,0.09286920068923764,0.5620661335184016,0.0,0.0,0.11583622875561315
Cue Health Inc,Cue COVID-19 Test,0.215,0.7762470308788598,0.4453018107565671,0.90961756575954,1.0,0.8810682412975186,1.0,0.2769736842105263,0.23636306959449802,0.2943537272886737,0.22375296912114015,0.09038243424046001,0.5546981892434328,0.0,0.0,0.1189317587024814
Cue Health Inc,Cue COVID-19 Test,0.22,0.7813084112149532,0.4525698971036864,0.9120040494313628,1.0,0.8779550410264695,1.0,0.2815789473684211,0.24122699908752665,0.2963620281743952,0.2186915887850468,0.08799595056863707,0.5474301028963137,0.0,0.0,0.12204495897353053
Cue Health Inc,Cue COVID-19 Test,0.225,0.786206896551724,0.4597401419241741,0.9142961965229393,1.0,0.8748240186959473,1.0,0.2861842105263158,0.2460909285805553,0.29837032906011657,0.213793103448276,0.08570380347706086,0.540259858075826,0.0,0.0,0.12517598130405272
Cue Health Inc,Cue COVID-19 Test,0.23,0.7909502262443439,0.4668145076934361,0.91649949224159,1.0,0.8716750208284025,1.0,0.2907894736842105,0.25095485807358403,0.300378629945838,0.20904977375565612,0.08350050775841011,0.533185492306564,0.0,0.0,0.12832497917159744
