company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.005,1.0,0.14589000000000002,1.0,0.99892,0.99816,0.99941,0.0039299999999999995,0.00441,0.02195,0.0,0.0,0.85411,0.00108,0.00059,0.0018399999999999998
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.01,1.0,0.25559,1.0,0.99784,0.99631,0.99882,0.007859999999999999,0.00883,0.02506,0.0,0.0,0.74441,0.00216,0.00118,0.0036899999999999997
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.015,1.0,0.34108,1.0,0.99675,0.99445,0.9982200000000001,0.01179,0.01324,0.02817,0.0,0.0,0.65892,0.00325,0.0017800000000000001,0.00555
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.02,1.0,0.40958,1.0,0.99565,0.9925799999999999,0.9976200000000001,0.01571,0.01766,0.03128,0.0,0.0,0.59042,0.00435,0.00238,0.00742
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.025,1.0,0.46568999999999994,1.0,0.99454,0.99069,0.9970100000000001,0.01964,0.02207,0.03439,0.0,0.0,0.5343100000000001,0.0054600000000000004,0.00299,0.009309999999999999
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.03,1.0,0.5125,1.0,0.9934200000000001,0.9888,0.99639,0.023569999999999997,0.026489999999999996,0.0375,0.0,0.0,0.4875,0.00658,0.00361,0.0112
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.035,1.0,0.55214,1.0,0.99229,0.9868899999999999,0.99577,0.0275,0.0309,0.04061,0.0,0.0,0.44786000000000004,0.00771,0.004229999999999999,0.01311
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.04,1.0,0.58614,1.0,0.99115,0.9849700000000001,0.99515,0.03143,0.03532,0.04372,0.0,0.0,0.41386000000000006,0.00885,0.00485,0.015030000000000002
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.045,1.0,0.61563,1.0,0.99,0.98303,0.99451,0.03536,0.03973,0.04682,0.0,0.0,0.38437,0.01,0.00549,0.01697
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.05,1.0,0.64145,1.0,0.98885,0.98109,0.9938799999999999,0.03929,0.04415,0.04993,0.0,0.0,0.35855,0.01115,0.0061200000000000004,0.01891
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.055,1.0,0.6642399999999999,1.0,0.9876799999999999,0.97913,0.99323,0.043210000000000005,0.04856,0.05304,0.0,0.0,0.33576,0.012320000000000001,0.00677,0.02087
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.06,1.0,0.6845100000000001,1.0,0.98651,0.97715,0.9925799999999999,0.047139999999999994,0.05297999999999999,0.05615,0.0,0.0,0.31549,0.01349,0.00742,0.02285
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.065,1.0,0.70265,1.0,0.9853200000000001,0.9751700000000001,0.99193,0.05107,0.05739,0.05926,0.0,0.0,0.29735,0.01468,0.00807,0.02483
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.07,1.0,0.7189800000000001,1.0,0.98413,0.9731700000000001,0.9912700000000001,0.055,0.061810000000000004,0.06237,0.0,0.0,0.28102,0.01587,0.00873,0.02683
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.075,1.0,0.7337600000000001,1.0,0.9829200000000001,0.97116,0.9906,0.058929999999999996,0.06622,0.06548,0.0,0.0,0.26624000000000003,0.01708,0.0094,0.028839999999999998
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.08,1.0,0.7472,1.0,0.9817100000000001,0.9691299999999999,0.98992,0.06286,0.07064,0.06859,0.0,0.0,0.2528,0.01829,0.01008,0.030869999999999998
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.085,1.0,0.75948,1.0,0.9804799999999999,0.96709,0.98924,0.06679,0.07505,0.07169,0.0,0.0,0.24051999999999998,0.01952,0.010759999999999999,0.03291
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.09,1.0,0.77074,1.0,0.97925,0.96504,0.98856,0.07071000000000001,0.07946,0.0748,0.0,0.0,0.22926,0.02075,0.01144,0.034960000000000005
"DAAN Gene Co., Ltd of Sun Yat-sen University",Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR kit - Source: FindDx 1,0.095,1.0,0.78109,1.0,0.978,0.9629700000000001,0.9878600000000001,0.07464,0.08388,0.07791000000000001,0.0,0.0,0.21891,0.022000000000000002,0.01214,0.03703
