company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"DiaSorin Molecular, LLC",Simplexa™ COVID-19 Direct RT-PCR Kit,0.005,0.10107284020327507,0.053429751476480936,0.18048288039727955,1.0,0.9997947361025388,1.0,0.04946927374301671,0.02770345857177137,0.09008515291801247,0.8989271597967249,0.8195171196027204,0.946570248523519,0.0,0.0,0.0002052638974611165
"DiaSorin Molecular, LLC",Simplexa™ COVID-19 Direct RT-PCR Kit,0.01,0.18434603501544813,0.10189972567654322,0.3068485135542364,1.0,0.9995874843622424,1.0,0.05424581005586588,0.032589370840254935,0.09446987811152012,0.8156539649845519,0.6931514864457636,0.8981002743234567,0.0,0.0,0.0004125156377576822
"DiaSorin Molecular, LLC",Simplexa™ COVID-19 Direct RT-PCR Kit,0.015,0.2541410317084716,0.1460698997681998,0.4002638207288766,1.0,0.999378215762224,1.0,0.059022346368715034,0.03747528310873849,0.0988546033050278,0.7458589682915284,0.5997361792711233,0.8539301002318002,0.0,0.0,0.0006217842377761463
"DiaSorin Molecular, LLC",Simplexa™ COVID-19 Direct RT-PCR Kit,0.02,0.3134851138353768,0.18648813013922186,0.4721302083640954,1.0,0.9991669007180829,1.0,0.0637988826815642,0.04236119537722205,0.10323932849853547,0.6865148861646232,0.5278697916359046,0.8135118698607782,0.0,0.0,0.0008330992819169937
"DiaSorin Molecular, LLC",Simplexa™ COVID-19 Direct RT-PCR Kit,0.025,0.3645621181262732,0.2236129920316336,0.5291329193623624,1.0,0.9989535090639626,1.0,0.06857541899441336,0.04724710764570561,0.10762405369204314,0.6354378818737267,0.4708670806376376,0.7763870079683665,0.0,0.0,0.0010464909360373698
"DiaSorin Molecular, LLC",Simplexa™ COVID-19 Direct RT-PCR Kit,0.03,0.4089870525514092,0.257831254658081,0.5754510298728125,1.0,0.9987380100381932,1.0,0.07335195530726253,0.05213301991418917,0.1120087788855508,0.5910129474485908,0.4245489701271875,0.742168745341919,0.0,0.0,0.0012619899618067087
"DiaSorin Molecular, LLC",Simplexa™ COVID-19 Direct RT-PCR Kit,0.035,0.447979978548445,0.28947140642854224,0.6138312076394166,1.0,0.9985203722685106,1.0,0.07812849162011168,0.057018932182672726,0.11639350407905845,0.5520200214515549,0.3861687923605833,0.7105285935714578,0.0,0.0,0.0014796277314893524
"DiaSorin Molecular, LLC",Simplexa™ COVID-19 Direct RT-PCR Kit,0.04,0.4824797843665771,0.3188142340631899,0.6461529845464761,1.0,0.9983005637568296,1.0,0.08290502793296084,0.061904844451156286,0.12077822927256612,0.5175202156334229,0.3538470154535239,0.6811857659368101,0.0,0.0,0.0016994362431702605
"DiaSorin Molecular, LLC",Simplexa™ COVID-19 Direct RT-PCR Kit,0.045,0.5132207709461615,0.34610117805195784,0.6737459224918128,1.0,0.9980785518635616,1.0,0.08768156424581,0.06679075671963985,0.12516295446607378,0.4867792290538385,0.32625407750818725,0.6538988219480422,0.0,0.0,0.0019214481364383527
"DiaSorin Molecular, LLC",Simplexa™ COVID-19 Direct RT-PCR Kit,0.05,0.5407854984894263,0.37154099129973867,0.6975770596745341,1.0,0.997854303291457,1.0,0.09245810055865916,0.07167666898812343,0.12954767965958144,0.4592145015105738,0.3024229403254659,0.6284590087002613,0.0,0.0,0.0021456967085430323
