company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.005,0.21654,0.04633,0.6097100000000001,1.0,0.9996,1.0,0.02309,0.0082,0.10022,0.78346,0.39029,0.95367,0.0,0.0,0.0004
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.01,0.35714,0.08896,0.75846,1.0,0.9992,1.0,0.027999999999999997,0.01318,0.10439000000000001,0.64286,0.24154,0.91104,0.0,0.0,0.0008
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.015,0.4558,0.12833,0.8256100000000001,1.0,0.9988,1.0,0.03291,0.01817,0.10855,0.5442,0.17439000000000002,0.8716700000000001,0.0,0.0,0.0012
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.02,0.52885,0.16477999999999998,0.8638399999999999,1.0,0.99839,1.0,0.03782,0.02315,0.11270999999999999,0.47115,0.13616,0.8352200000000001,0.0,0.0,0.00161
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.025,0.58511,0.19864,0.8885299999999999,1.0,0.99798,1.0,0.042730000000000004,0.02814,0.11687,0.41489,0.11147,0.8013600000000001,0.0,0.0,0.00202
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.03,0.6297699999999999,0.23016999999999999,0.90579,1.0,0.99756,1.0,0.047639999999999995,0.03312,0.12104000000000001,0.37023,0.09421,0.76983,0.0,0.0,0.00244
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.035,0.66609,0.25961,0.9185399999999999,1.0,0.99715,1.0,0.05255,0.0381,0.1252,0.33391,0.08146,0.74039,0.0,0.0,0.00285
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.04,0.6962,0.28714,0.9283299999999999,1.0,0.99672,1.0,0.05745,0.043089999999999996,0.12936,0.3038,0.07167000000000001,0.71286,0.0,0.0,0.00328
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.045,0.7215699999999999,0.31296999999999997,0.9361,1.0,0.99629,1.0,0.062360000000000006,0.04807,0.13352999999999998,0.27843,0.0639,0.68703,0.0,0.0,0.00371
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.05,0.74324,0.33723000000000003,0.9424,1.0,0.9958600000000001,1.0,0.06727000000000001,0.05306,0.13769,0.25676,0.0576,0.66277,0.0,0.0,0.00414
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.055,0.7619600000000001,0.36006,0.94763,1.0,0.9954299999999999,1.0,0.07218,0.058039999999999994,0.14185,0.23804,0.05237000000000001,0.63994,0.0,0.0,0.00457
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.06,0.7783,0.3816,0.9520200000000001,1.0,0.9949899999999999,1.0,0.07708999999999999,0.06302,0.14602,0.2217,0.04798,0.6184,0.0,0.0,0.0050100000000000006
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.065,0.79268,0.40194,0.95578,1.0,0.99454,1.0,0.08199999999999999,0.06801,0.15018,0.20731999999999998,0.044219999999999995,0.59806,0.0,0.0,0.0054600000000000004
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.07,0.8054399999999999,0.42118,0.9590200000000001,1.0,0.9940899999999999,1.0,0.08691,0.07299,0.15434,0.19455999999999998,0.04098,0.57882,0.0,0.0,0.00591
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.075,0.8168300000000001,0.43941,0.9618399999999999,1.0,0.99364,1.0,0.09182,0.07798,0.1585,0.18317,0.03816,0.5605899999999999,0.0,0.0,0.00636
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.08,0.8270700000000001,0.45671000000000006,0.9643299999999999,1.0,0.99318,1.0,0.09673,0.08296,0.16267,0.17293,0.03567,0.5432899999999999,0.0,0.0,0.0068200000000000005
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.085,0.83631,0.47315,0.9665299999999999,1.0,0.99272,1.0,0.10164,0.08794,0.16683,0.16369,0.03347,0.52685,0.0,0.0,0.00728
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.09,0.8447100000000001,0.48878,0.9685,1.0,0.99225,1.0,0.10655,0.09293,0.17099,0.15529,0.0315,0.51122,0.0,0.0,0.00775
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.095,0.8523700000000001,0.50368,0.9702700000000001,1.0,0.9917799999999999,1.0,0.11145,0.09791,0.17515999999999998,0.14762999999999998,0.02973,0.49632,0.0,0.0,0.00822
Diagnostic Molecular Laboratory - Northwestern Medicine,SARS-Cov-2 Assay,0.1,0.8593799999999999,0.51788,0.9718600000000001,1.0,0.99131,1.0,0.11635999999999999,0.1029,0.17932,0.14062,0.02814,0.48212,0.0,0.0,0.00869
