company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Diagnostic Solutions Laboratory, LLC",DSL COVID-19 Assay,0.005,0.14224137931034495,0.028150585179297295,0.4834455794912496,1.0,0.9993063382624936,1.0,0.03515151515151512,0.010342425729203507,0.15683979567569448,0.8577586206896551,0.5165544205087504,0.9718494148207028,0.0,0.0,0.0006936617375064014
"Diagnostic Solutions Laboratory, LLC",DSL COVID-19 Assay,0.01,0.25000000000000017,0.055021001138978384,0.6529299192168097,1.0,0.9986066461198344,1.0,0.039999999999999966,0.015315579368755246,0.1604889746197083,0.7499999999999998,0.34707008078319035,0.9449789988610215,0.0,0.0,0.0013933538801657044
"Diagnostic Solutions Laboratory, LLC",DSL COVID-19 Assay,0.015,0.33445945945945965,0.08069663143782413,0.7393266003282916,1.0,0.9979008445899712,1.0,0.04484848484848482,0.02028873300830699,0.16413815356372213,0.6655405405405403,0.26067339967170844,0.919303368562176,0.0,0.0,0.002099155410028808
"Diagnostic Solutions Laboratory, LLC",DSL COVID-19 Assay,0.02,0.40243902439024415,0.1052554316630228,0.7917065054875961,1.0,0.997188853305537,1.0,0.04969696969696967,0.025261886647858733,0.16778733250773592,0.5975609756097559,0.20829349451240387,0.8947445683369772,0.0,0.0,0.002811146694463029
"Diagnostic Solutions Laboratory, LLC",DSL COVID-19 Assay,0.025,0.4583333333333336,0.12876871998514872,0.8268551906117259,1.0,0.9964705904833404,1.0,0.05454545454545452,0.030235040287410475,0.17143651145174973,0.5416666666666665,0.17314480938827406,0.8712312800148513,0.0,0.0,0.0035294095166595874
"Diagnostic Solutions Laboratory, LLC",DSL COVID-19 Assay,0.03,0.5051020408163267,0.1513018688514953,0.8520743796808672,1.0,0.9957459728930508,1.0,0.059393939393939374,0.035208193926962214,0.17508569039576355,0.4948979591836733,0.1479256203191328,0.8486981311485047,0.0,0.0,0.004254027106949221
"Diagnostic Solutions Laboratory, LLC",DSL COVID-19 Assay,0.035,0.5448113207547172,0.17291491194677278,0.8710509258571519,1.0,0.9950149158250476,1.0,0.06424242424242421,0.04018134756651395,0.1787348693397774,0.4551886792452828,0.12894907414284806,0.8270850880532272,0.0,0.0,0.00498508417495247
"Diagnostic Solutions Laboratory, LLC",DSL COVID-19 Assay,0.04,0.5789473684210529,0.1936630782886116,0.8858474555494972,1.0,0.994277333057408,1.0,0.06909090909090906,0.0451545012060657,0.1823840482837912,0.4210526315789471,0.11415254445050282,0.8063369217113885,0.0,0.0,0.005722666942591936
"Diagnostic Solutions Laboratory, LLC",DSL COVID-19 Assay,0.045,0.6086065573770494,0.213597263463002,0.8977080643128124,1.0,0.9935331368220072,1.0,0.07393939393939393,0.05012765484561744,0.18603322722780505,0.3913934426229506,0.10229193568718764,0.7864027365369979,0.0,0.0,0.006466863177992721
"Diagnostic Solutions Laboratory, LLC",DSL COVID-19 Assay,0.05,0.6346153846153848,0.23276444646494465,0.907427701600021,1.0,0.9927822377697036,1.0,0.07878787878787875,0.055100808485169184,0.1896824061718188,0.3653846153846152,0.09257229839997903,0.7672355535350553,0.0,0.0,0.007217762230296466
"Diagnostic Solutions Laboratory, LLC",DSL COVID-19 Assay,0.055,0.6576086956521742,0.2512080593313107,0.915538080971141,1.0,0.992024544934576,1.0,0.0836363636363636,0.06007396212472092,0.19333158511583265,0.34239130434782583,0.08446191902885902,0.7487919406686894,0.0,0.0,0.007975455065424075
"Diagnostic Solutions Laboratory, LLC",DSL COVID-19 Assay,0.06,0.6780821917808221,0.2689683156877686,0.9224083081167942,1.0,0.9912599656971898,1.0,0.08848484848484846,0.06504711576427266,0.19698076405984646,0.3219178082191779,0.0775916918832058,0.7310316843122314,0.0,0.0,0.008740034302810229
