company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.005,1.0,0.0945,1.0,0.9999399999999999,0.99969,0.9999899999999999,0.00495,0.00499,0.049760000000000006,0.0,0.0,0.9055,5.9999999999999995e-05,1e-05,0.00031
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.01,1.0,0.1734,1.0,0.99989,0.9993700000000001,0.99998,0.009890000000000001,0.00998,0.054229999999999993,0.0,0.0,0.8266,0.00011,2e-05,0.00063
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.015,1.0,0.24026999999999998,1.0,0.9998299999999999,0.99905,0.99997,0.01484,0.014969999999999999,0.058710000000000005,0.0,0.0,0.75973,0.00016999999999999999,2.9999999999999997e-05,0.00095
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.02,1.0,0.29767,1.0,0.9997799999999999,0.9987299999999999,0.9999600000000001,0.019780000000000002,0.01996,0.06318,0.0,0.0,0.70233,0.00022,4e-05,0.0012699999999999999
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.025,1.0,0.34747,1.0,0.99972,0.9984,0.99995,0.024730000000000002,0.02495,0.06766,0.0,0.0,0.65253,0.00028,5e-05,0.0016
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.03,1.0,0.3911,1.0,0.99966,0.9980700000000001,0.9999399999999999,0.02967,0.029939999999999998,0.07213,0.0,0.0,0.6089,0.00033999999999999997,5.9999999999999995e-05,0.00193
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.035,1.0,0.42962,1.0,0.9996,0.99774,0.9999299999999999,0.03462,0.03493,0.07661,0.0,0.0,0.57038,0.0004,7e-05,0.0022600000000000003
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.04,1.0,0.4639,1.0,0.99954,0.9974,0.99992,0.039560000000000005,0.03992,0.08108,0.0,0.0,0.5361,0.00045999999999999996,8e-05,0.0026
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.045,1.0,0.49459,1.0,0.9994799999999999,0.9970600000000001,0.9999100000000001,0.04451,0.044910000000000005,0.08556,0.0,0.0,0.50541,0.0005200000000000001,9e-05,0.00294
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.05,1.0,0.52222,1.0,0.9994200000000001,0.99672,0.9999,0.04945,0.0499,0.09003,0.0,0.0,0.47778000000000004,0.00058,0.0001,0.00328
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.055,1.0,0.54724,1.0,0.99936,0.9963799999999999,0.99989,0.0544,0.054889999999999994,0.09451,0.0,0.0,0.45276000000000005,0.00064,0.00011,0.0036200000000000004
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.06,1.0,0.57,1.0,0.9993,0.99603,0.9998799999999999,0.05934,0.059879999999999996,0.09898,0.0,0.0,0.43,0.0007,0.00011999999999999999,0.0039700000000000004
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.065,1.0,0.5907899999999999,1.0,0.99924,0.9956799999999999,0.9998600000000001,0.06429,0.06487000000000001,0.10346,0.0,0.0,0.40921,0.0007599999999999999,0.00014,0.00432
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.07,1.0,0.6098600000000001,1.0,0.9991700000000001,0.9953200000000001,0.99985,0.06923,0.06986,0.10793,0.0,0.0,0.39014,0.0008300000000000001,0.00015,0.00468
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.075,1.0,0.6274,1.0,0.99911,0.9949600000000001,0.99984,0.07418,0.07485,0.11241,0.0,0.0,0.3726,0.0008900000000000001,0.00016,0.00504
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.08,1.0,0.64361,1.0,0.99905,0.9946,0.9998299999999999,0.07912000000000001,0.07984,0.11689000000000001,0.0,0.0,0.35639,0.00095,0.00016999999999999999,0.0054
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.085,1.0,0.65861,1.0,0.99898,0.99423,0.99982,0.08407,0.08482999999999999,0.12136,0.0,0.0,0.34139,0.0010199999999999999,0.00018,0.00577
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.09,1.0,0.67255,1.0,0.9989100000000001,0.9938600000000001,0.9998100000000001,0.08901,0.08983,0.12584,0.0,0.0,0.32745,0.00109,0.00018999999999999998,0.00614
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.095,1.0,0.6855399999999999,1.0,0.99885,0.9934799999999999,0.9998,0.09396,0.09482,0.13030999999999998,0.0,0.0,0.31446,0.00115,0.0002,0.006520000000000001
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.1,1.0,0.6976600000000001,1.0,0.9987799999999999,0.99311,0.9997799999999999,0.0989,0.09981,0.13479000000000002,0.0,0.0,0.30234,0.00122,0.00022,0.00689
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.105,1.0,0.7090000000000001,1.0,0.99871,0.99272,0.99977,0.10385,0.1048,0.13926,0.0,0.0,0.29100000000000004,0.0012900000000000001,0.00022999999999999998,0.00728
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.11,1.0,0.71964,1.0,0.99864,0.99234,0.99976,0.10879000000000001,0.10979000000000001,0.14374,0.0,0.0,0.28036,0.0013599999999999999,0.00023999999999999998,0.007659999999999999
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.115,1.0,0.72963,1.0,0.9985700000000001,0.99195,0.99975,0.11374000000000001,0.11478,0.14820999999999998,0.0,0.0,0.27037,0.00143,0.00025,0.00805
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.12,1.0,0.7390399999999999,1.0,0.9985,0.99155,0.99974,0.11868,0.11977,0.15269000000000002,0.0,0.0,0.26095999999999997,0.0015,0.00026000000000000003,0.00845
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.125,1.0,0.7479100000000001,1.0,0.9984299999999999,0.99115,0.99972,0.12362999999999999,0.12476,0.15716,0.0,0.0,0.25209000000000004,0.00157,0.00028,0.00885
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.13,1.0,0.75629,1.0,0.99836,0.99075,0.99971,0.12857000000000002,0.12975,0.16164,0.0,0.0,0.24370999999999998,0.00164,0.00029,0.00925
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.135,1.0,0.76422,1.0,0.99829,0.99034,0.9997,0.13352,0.13474,0.16610999999999998,0.0,0.0,0.23578000000000002,0.0017100000000000001,0.0003,0.00966
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.14,1.0,0.77173,1.0,0.99821,0.98993,0.9996799999999999,0.13846,0.13973,0.17059000000000002,0.0,0.0,0.22826999999999997,0.00179,0.00032,0.01007
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.145,1.0,0.77886,1.0,0.9981399999999999,0.9895200000000001,0.9996700000000001,0.14340999999999998,0.14472000000000002,0.17506,0.0,0.0,0.22114,0.00186,0.00033,0.01048
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.15,1.0,0.78563,1.0,0.9980600000000001,0.9890899999999999,0.99966,0.14835,0.14970999999999998,0.17954,0.0,0.0,0.21436999999999998,0.0019399999999999999,0.00033999999999999997,0.01091
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.155,1.0,0.79208,1.0,0.9979899999999999,0.98867,0.99964,0.1533,0.1547,0.18402000000000002,0.0,0.0,0.20792,0.00201,0.00036,0.01133
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.16,1.0,0.7982100000000001,1.0,0.9979100000000001,0.98824,0.9996299999999999,0.15824000000000002,0.15969,0.18849000000000002,0.0,0.0,0.20179,0.00209,0.00037,0.01176
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.165,1.0,0.80407,1.0,0.9978299999999999,0.9878,0.9996200000000001,0.16319,0.16468,0.19297,0.0,0.0,0.19593,0.00217,0.00037999999999999997,0.0122
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.17,1.0,0.80965,1.0,0.99775,0.98736,0.9996,0.16813,0.16967000000000002,0.19744,0.0,0.0,0.19035,0.00225,0.0004,0.01264
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.175,1.0,0.81499,1.0,0.9976700000000001,0.98692,0.99959,0.17307999999999998,0.17465999999999998,0.20192000000000002,0.0,0.0,0.18500999999999998,0.00233,0.00041,0.013080000000000001
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.18,1.0,0.8201,1.0,0.99759,0.9864700000000001,0.9995700000000001,0.17802,0.17965,0.20639000000000002,0.0,0.0,0.1799,0.0024100000000000002,0.00043,0.01353
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.185,1.0,0.82499,1.0,0.99751,0.9860200000000001,0.99956,0.18297,0.18464,0.21086999999999997,0.0,0.0,0.17501,0.00249,0.00044,0.013980000000000001
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.19,1.0,0.82968,1.0,0.9974299999999999,0.98556,0.99954,0.18791,0.18963,0.21534,0.0,0.0,0.17032,0.00257,0.00045999999999999996,0.01444
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.195,1.0,0.8341799999999999,1.0,0.99735,0.9850899999999999,0.9995299999999999,0.19286,0.19462000000000002,0.21982,0.0,0.0,0.16582,0.00265,0.00047000000000000004,0.01491
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.2,1.0,0.8385,1.0,0.99726,0.98462,0.99951,0.1978,0.19960999999999998,0.22429000000000002,0.0,0.0,0.1615,0.00274,0.00049,0.015380000000000001
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.205,1.0,0.84265,1.0,0.9971700000000001,0.98414,0.9995,0.20275,0.2046,0.22876999999999997,0.0,0.0,0.15735,0.00283,0.0005,0.01586
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.21,1.0,0.84664,1.0,0.9970899999999999,0.9836600000000001,0.9994799999999999,0.20769,0.20959,0.23324,0.0,0.0,0.15336,0.0029100000000000003,0.0005200000000000001,0.01634
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.215,1.0,0.8504799999999999,1.0,0.997,0.9831799999999999,0.9994700000000001,0.21264,0.21458000000000002,0.23772,0.0,0.0,0.14952000000000001,0.003,0.00053,0.016819999999999998
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.22,1.0,0.8541700000000001,1.0,0.9969100000000001,0.9826799999999999,0.99945,0.21758000000000002,0.21957,0.24219000000000002,0.0,0.0,0.14583,0.00309,0.00055,0.01732
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.225,1.0,0.85774,1.0,0.99682,0.9821799999999999,0.99944,0.22253,0.22455999999999998,0.24666999999999997,0.0,0.0,0.14226,0.00318,0.00056,0.01782
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.23,1.0,0.8611700000000001,1.0,0.9967299999999999,0.9816799999999999,0.9994200000000001,0.22746999999999998,0.22955,0.25115,0.0,0.0,0.13883,0.0032700000000000003,0.00058,0.01832
Diagnostics for the Real World Ltd,SAMBA II COVID-19 Test (near-POC NAT),0.235,1.0,0.86449,1.0,0.99664,0.9811700000000001,0.9994,0.23242,0.23454,0.25561999999999996,0.0,0.0,0.13551,0.00336,0.0006,0.01883
