company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"DxTerity Diagnostics, Inc.",DxTerity SARS-CoV-2 RT-PCR Test,0.005,0.06115673597763415,0.02125097739469708,0.16216135406404586,0.9998491180952668,0.9991122160499771,0.9999746198916836,0.07948611111111106,0.03068177758652109,0.20194357339626884,0.9388432640223658,0.8378386459359541,0.9787490226053028,0.00015088190473322438,2.538010831631965e-05,0.00088778395002298
"DxTerity Diagnostics, Inc.",DxTerity SARS-CoV-2 RT-PCR Test,0.01,0.11577902745616946,0.041818941054967584,0.28008324827870684,0.9996967583467264,0.998217063436282,0.9999489847264884,0.08397222222222217,0.035527998401183945,0.20524184520156244,0.8842209725438306,0.7199167517212932,0.9581810589450324,0.000303241653273556,5.101527351147883e-05,0.001782936563717863
"DxTerity Diagnostics, Inc.",DxTerity SARS-CoV-2 RT-PCR Test,0.015,0.1648610456900613,0.06173629862940048,0.3696962092509754,0.9995428989349544,0.9973144500360316,0.9999230906402148,0.08845833333333329,0.040374219215846816,0.208540117006856,0.8351389543099387,0.6303037907490245,0.9382637013705996,0.00045710106504548426,7.690935978532654e-05,0.0026855499639684144
"DxTerity Diagnostics, Inc.",DxTerity SARS-CoV-2 RT-PCR Test,0.02,0.2092050209205022,0.08103343944999508,0.4401017411741516,0.9993875176088688,0.9964042821842908,0.9998969336902076,0.0929444444444444,0.04522044003050967,0.2118383888121496,0.7907949790794978,0.5598982588258484,0.9189665605500048,0.0006124823911312082,0.00010306630979250996,0.003595717815709109
"DxTerity Diagnostics, Inc.",DxTerity SARS-CoV-2 RT-PCR Test,0.025,0.2494654312188169,0.09973888924676623,0.4968774144842819,0.999230591675002,0.9954864646416732,0.9998705098533559,0.0974305555555555,0.05006666084517253,0.2151366606174432,0.7505345687811831,0.5031225855157181,0.9002611107532338,0.0007694083249980553,0.00012949014664398462,0.004513535358326881
"DxTerity Diagnostics, Inc.",DxTerity SARS-CoV-2 RT-PCR Test,0.03,0.2861815208503681,0.11787945084561285,0.5436318526508448,0.9990720979864526,0.994560900561118,0.9998438150240304,0.10191666666666664,0.054912881659835384,0.2184349324227368,0.7138184791496319,0.4563681473491552,0.8821205491543872,0.0009279020135474213,0.00015618497596958658,0.005439099438881989
"DxTerity Diagnostics, Inc.",DxTerity SARS-CoV-2 RT-PCR Test,0.035,0.3198015924813994,0.13548033230893822,0.5828031002392909,0.9989120129315034,0.9936274914538256,0.9998168450119558,0.10640277777777774,0.05975910247449825,0.22173320422803036,0.6801984075186006,0.41719689976070906,0.8645196676910618,0.0010879870684965542,0.00018315498804422067,0.006372508546174549
"DxTerity Diagnostics, Inc.",DxTerity SARS-CoV-2 RT-PCR Test,0.04,0.3507014028056113,0.15256526380737778,0.6160976644296899,0.9987503124218946,0.9926861371543186,0.9997895955400188,0.11088888888888884,0.0646053232891611,0.22503147603332396,0.6492985971943886,0.38390233557031,0.8474347361926222,0.0012496875781053962,0.00021040445998132815,0.007313862845681363
"DxTerity Diagnostics, Inc.",DxTerity SARS-CoV-2 RT-PCR Test,0.045,0.3791982665222104,0.16915660436210464,0.6447457427261704,0.9985869718807404,0.9917367357846129,0.9997620622420059,0.11537499999999995,0.06945154410382398,0.2283297478386175,0.6208017334777897,0.35525425727382964,0.8308433956378953,0.001413028119259585,0.0002379377579939668,0.008263264215387034
"DxTerity Diagnostics, Inc.",DxTerity SARS-CoV-2 RT-PCR Test,0.05,0.4055619930475088,0.18527543946738012,0.6696565642291843,0.9984219662300772,0.9907791837174594,0.9997342406602736,0.11986111111111104,0.07429776491848683,0.2316280196439111,0.5944380069524912,0.3303434357708157,0.8147245605326199,0.0015780337699227154,0.0002657593397263902,0.009220816282540569
