company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Eiken Chemical,LoopampÂ®ï¸Ž 2019-SARS-CoV-2 Detection Reagent Kit - Source: FindDx 1,0.005,0.1036,0.02974,0.29507,1.0,0.9993299999999999,1.0,0.048260000000000004,0.01695,0.14903,0.8964,0.7049300000000001,0.97026,0.0,0.0,0.00067
Eiken Chemical,LoopampÂ®ï¸Ž 2019-SARS-CoV-2 Detection Reagent Kit - Source: FindDx 1,0.01,0.18852,0.058039999999999994,0.45693,1.0,0.99866,1.0,0.05304,0.02189,0.15274000000000001,0.81148,0.5430699999999999,0.94196,0.0,0.0,0.00134
Eiken Chemical,LoopampÂ®ï¸Ž 2019-SARS-CoV-2 Detection Reagent Kit - Source: FindDx 1,0.015,0.2594,0.085,0.55918,1.0,0.99798,1.0,0.05782999999999999,0.02683,0.15644,0.7406,0.44082,0.915,0.0,0.0,0.00202
Eiken Chemical,LoopampÂ®ï¸Ž 2019-SARS-CoV-2 Detection Reagent Kit - Source: FindDx 1,0.02,0.31944,0.11070999999999999,0.62962,1.0,0.9973,1.0,0.06261,0.03177,0.16015,0.68056,0.37038000000000004,0.8892899999999999,0.0,0.0,0.0027
Eiken Chemical,LoopampÂ®ï¸Ž 2019-SARS-CoV-2 Detection Reagent Kit - Source: FindDx 1,0.025,0.37096999999999997,0.13525,0.6811,1.0,0.99661,1.0,0.06738999999999999,0.03671,0.16385,0.62903,0.3189,0.86475,0.0,0.0,0.00339
Eiken Chemical,LoopampÂ®ï¸Ž 2019-SARS-CoV-2 Detection Reagent Kit - Source: FindDx 1,0.03,0.41566000000000003,0.15872,0.72037,1.0,0.9959100000000001,1.0,0.07217,0.04165,0.16756,0.58434,0.27963000000000005,0.8412799999999999,0.0,0.0,0.00409
Eiken Chemical,LoopampÂ®ï¸Ž 2019-SARS-CoV-2 Detection Reagent Kit - Source: FindDx 1,0.035,0.4548,0.18116,0.75131,1.0,0.99521,1.0,0.07696,0.04659,0.17127,0.5452,0.24869000000000002,0.81884,0.0,0.0,0.00479
Eiken Chemical,LoopampÂ®ï¸Ž 2019-SARS-CoV-2 Detection Reagent Kit - Source: FindDx 1,0.04,0.48936,0.20265999999999998,0.77632,1.0,0.9945,1.0,0.08174,0.05152,0.17497000000000001,0.51064,0.22368000000000002,0.7973399999999999,0.0,0.0,0.0055
Eiken Chemical,LoopampÂ®ï¸Ž 2019-SARS-CoV-2 Detection Reagent Kit - Source: FindDx 1,0.045,0.5201,0.22326,0.79695,1.0,0.9937799999999999,1.0,0.08652,0.05646,0.17868,0.4799,0.20305,0.77674,0.0,0.0,0.006220000000000001
Eiken Chemical,LoopampÂ®ï¸Ž 2019-SARS-CoV-2 Detection Reagent Kit - Source: FindDx 1,0.05,0.54762,0.24303000000000002,0.8142699999999999,1.0,0.99306,1.0,0.0913,0.0614,0.18238,0.45238,0.18573,0.75697,0.0,0.0,0.006940000000000001
