company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.005,0.07009345794392527,0.01305180103757368,0.2974905659915917,1.0,0.9984606946015696,1.0,0.07133333333333333,0.016807255663163854,0.30060333658698285,0.9299065420560748,0.7025094340084083,0.9869481989624264,0.0,0.0,0.0015393053984305016
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.01,0.13157894736842107,0.025894060543936642,0.4598140304564637,1.0,0.9969106441608528,1.0,0.07599999999999997,0.02174792272013288,0.30303589764972577,0.8684210526315791,0.5401859695435363,0.9741059394560634,0.0,0.0,0.0030893558391472675
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.015,0.1859504132231405,0.03853178449488093,0.5620379392570828,1.0,0.9953497357759732,1.0,0.08066666666666665,0.026688589777101902,0.3054684587124687,0.8140495867768595,0.4379620607429172,0.9614682155051192,0.0,0.0,0.004650264224026922
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.02,0.2343750000000001,0.05096982066806339,0.6323259539394572,1.0,0.993777854957762,1.0,0.08533333333333333,0.03162925683407093,0.3079010197752116,0.765625,0.3676740460605428,0.9490301793319366,0.0,0.0,0.006222145042237948
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.025,0.2777777777777778,0.06321286484321473,0.6836218766680366,1.0,0.9921948856017668,1.0,0.09,0.03656992389103995,0.3103335808379544,0.7222222222222222,0.31637812333196336,0.9367871351567852,0.0,0.0,0.0078051143982330595
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.03,0.3169014084507043,0.07526546671301339,0.7227071288282617,1.0,0.9906007099596624,1.0,0.09466666666666664,0.04151059094800898,0.3127661419006973,0.6830985915492958,0.2772928711717383,0.9247345332869866,0.0,0.0,0.00939929004033746
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.035,0.3523489932885907,0.08713203552025459,0.7534779789225338,1.0,0.9889952086100546,1.0,0.0993333333333333,0.046451258004978006,0.3151987029634402,0.6476510067114093,0.24652202107746626,0.9128679644797454,0.0,0.0,0.01100479138994537
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.04,0.3846153846153847,0.09881684543598772,0.7783323927209307,1.0,0.987378260428658,1.0,0.10399999999999998,0.051391925061947036,0.31763126402618314,0.6153846153846153,0.2216676072790693,0.9011831545640124,0.0,0.0,0.01262173957134194
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.045,0.4141104294478528,0.11032404069240302,0.7988270787363492,1.0,0.985749742557836,1.0,0.10866666666666663,0.056332592118916065,0.32006382508892606,0.5858895705521472,0.20117292126365086,0.889675959307597,0.0,0.0,0.014250257442164129
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.05,0.44117647058823534,0.1216576404834169,0.816016655103572,1.0,0.9841095303754804,1.0,0.11333333333333333,0.061273259175885074,0.3224963861516689,0.5588235294117647,0.183983344896428,0.8783423595165831,0.0,0.0,0.015890469624519454
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.055,0.4661016949152543,0.13282154364512966,0.8306409713053691,1.0,0.9824574974632244,1.0,0.11800000000000001,0.06621392623285413,0.3249289472144118,0.5338983050847457,0.16935902869463093,0.8671784563548703,0.0,0.0,0.017542502536775584
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.06,0.4891304347826088,0.1438195331276054,0.843234389038121,1.0,0.9807935155739584,1.0,0.12266666666666665,0.07115459328982314,0.32736150827715466,0.5108695652173912,0.15676561096187902,0.8561804668723946,0.0,0.0,0.01920648442604156
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.065,0.5104712041884817,0.1546552802687493,0.854192491145608,1.0,0.9791174545986452,1.0,0.12733333333333333,0.07609526034679216,0.3297940693398976,0.4895287958115183,0.14580750885439198,0.8453447197312507,0.0,0.0,0.020882545401354813
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.07,0.5303030303030304,0.1653323488804248,0.8638143875521443,1.0,0.9774291825324052,1.0,0.13199999999999998,0.0810359274037612,0.3322266304026405,0.4696969696969696,0.13618561244785565,0.8346676511195752,0.0,0.0,0.022570817467594817
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.075,0.5487804878048782,0.17585419915636433,0.872330434467909,1.0,0.97572856543986,1.0,0.13666666666666666,0.08597659446073022,0.3346591914653834,0.4512195121951218,0.12766956553209094,0.8241458008436356,0.0,0.0,0.024271434560139915
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.08,0.5660377358490567,0.18622419141087615,0.8799209156165143,1.0,0.9740154674197121,1.0,0.1413333333333333,0.09091726151769924,0.3370917525281263,0.4339622641509433,0.12007908438348568,0.8137758085891238,0.0,0.0,0.02598453258028799
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.085,0.5821917808219179,0.19644558965683245,0.8867289463050466,1.0,0.972289750568542,1.0,0.146,0.09585792857466828,0.3395243135908692,0.4178082191780821,0.11327105369495337,0.8035544103431675,0.0,0.0,0.027710249431457945
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.09,0.5973451327433629,0.20652156503094213,0.8928695825177948,1.0,0.970551274943803,1.0,0.15066666666666667,0.1007985956316373,0.3419568746536121,0.4026548672566371,0.1071304174822052,0.7934784349690579,0.0,0.0,0.029448725056197
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.095,0.6115879828326181,0.21645519907385954,0.8984363762755506,1.0,0.9687998985259908,1.0,0.15533333333333332,0.10573926268860633,0.3443894357163549,0.3884120171673819,0.10156362372444938,0.7835448009261404,0.0,0.0,0.031200101474009312
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.1,0.625,0.2262494868722553,0.9035061752376808,1.0,0.9670354771799684,1.0,0.16,0.11067992974557536,0.34682199677909786,0.375,0.09649382476231916,0.7737505131277447,0.0,0.0,0.032964522820031705
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.105,0.6376518218623483,0.2359073400695801,0.9081426917326668,1.0,0.9652578646154248,1.0,0.16466666666666666,0.11562059680254437,0.3492545578418408,0.3623481781376517,0.09185730826733328,0.7640926599304201,0.0,0.0,0.034742135384575164
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.11,0.6496062992125984,0.2454315897518789,0.9123991942236096,1.0,0.9634669123464414,1.0,0.16933333333333336,0.1205612638595134,0.35168711890458365,0.3503937007874016,0.0876008057763904,0.754568410248121,0.0,0.0,0.03653308765355856
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.115,0.6609195402298851,0.2548249892146637,0.9163205630400132,1.0,0.9616624696501462,1.0,0.174,0.12550193091648246,0.3541196799673265,0.3390804597701149,0.08367943695998692,0.7451750107853363,0.0,0.0,0.038337530349853766
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.12,0.6716417910447762,0.2640902166165244,0.9199448789299888,1.0,0.9598443835244296,1.0,0.17866666666666667,0.13044259797345145,0.3565522410300694,0.32835820895522383,0.08005512107001111,0.7359097833834756,0.0,0.0,0.04015561647557042
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.125,0.6818181818181819,0.273229877524852,0.9233046637774072,1.0,0.9580124986446972,1.0,0.18333333333333326,0.13538326503042047,0.35898480209281225,0.3181818181818181,0.07669533622259272,0.7267701224751479,0.0,0.0,0.04198750135530272
Eli Lilly and Company,Lilly SARS-CoV-2 Assay,0.13,0.6914893617021277,0.28224650735875545,0.9264278592124966,1.0,0.956166657319635,1.0,0.188,0.1403239320873895,0.3614173631555552,0.3085106382978723,0.0735721407875034,0.7177534926412446,0.0,0.0,0.04383334268036498
