company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Ellume LImited,Ellume COVID-19 Home Test,0.005,1.0,0.0425,1.0,0.9998100000000001,0.9989600000000001,0.99997,0.00481,0.0049700000000000005,0.09541000000000001,0.0,0.0,0.9575,0.00018999999999999998,2.9999999999999997e-05,0.0010400000000000001
Ellume LImited,Ellume COVID-19 Home Test,0.01,1.0,0.08192,1.0,0.99961,0.9979,0.9999299999999999,0.00962,0.00993,0.09901,0.0,0.0,0.9180799999999999,0.00039,7e-05,0.0021
Ellume LImited,Ellume COVID-19 Home Test,0.015,1.0,0.11857999999999999,1.0,0.99941,0.99684,0.9999,0.014419999999999999,0.0149,0.1026,0.0,0.0,0.8814200000000001,0.00059,0.0001,0.00316
Ellume LImited,Ellume COVID-19 Home Test,0.02,1.0,0.15275,1.0,0.9992200000000001,0.99577,0.9998600000000001,0.01923,0.01986,0.1062,0.0,0.0,0.84725,0.00078,0.00014,0.004229999999999999
Ellume LImited,Ellume COVID-19 Home Test,0.025,1.0,0.18467999999999998,1.0,0.9990100000000001,0.99469,0.9998299999999999,0.02404,0.02483,0.10979000000000001,0.0,0.0,0.8153199999999999,0.00099,0.00016999999999999999,0.0053100000000000005
Ellume LImited,Ellume COVID-19 Home Test,0.03,1.0,0.21459,1.0,0.9988100000000001,0.99361,0.99979,0.02885,0.0298,0.11339,0.0,0.0,0.78541,0.00119,0.00021,0.00639
Ellume LImited,Ellume COVID-19 Home Test,0.035,1.0,0.24265,1.0,0.99861,0.99251,0.99975,0.03365,0.03476,0.11699000000000001,0.0,0.0,0.75735,0.00139,0.00025,0.007490000000000001
Ellume LImited,Ellume COVID-19 Home Test,0.04,1.0,0.26905,1.0,0.9984,0.99141,0.99972,0.03846,0.03973,0.12057999999999999,0.0,0.0,0.73095,0.0016,0.00028,0.00859
Ellume LImited,Ellume COVID-19 Home Test,0.045,1.0,0.29391,1.0,0.9981899999999999,0.99029,0.9996799999999999,0.043269999999999996,0.04469,0.12418,0.0,0.0,0.70609,0.0018100000000000002,0.00032,0.00971
Ellume LImited,Ellume COVID-19 Home Test,0.05,1.0,0.31738,1.0,0.99798,0.9891700000000001,0.99964,0.04808,0.04966,0.12778,0.0,0.0,0.68262,0.00202,0.00036,0.01083
Ellume LImited,Ellume COVID-19 Home Test,0.055,1.0,0.33956,1.0,0.99777,0.9880399999999999,0.9996,0.052879999999999996,0.05462,0.13137000000000001,0.0,0.0,0.6604399999999999,0.00223,0.0004,0.01196
Ellume LImited,Ellume COVID-19 Home Test,0.06,1.0,0.36056,1.0,0.99755,0.9869,0.99956,0.05769,0.05959,0.13497,0.0,0.0,0.63944,0.00245,0.00044,0.0131
Ellume LImited,Ellume COVID-19 Home Test,0.065,1.0,0.38047,1.0,0.9973299999999999,0.98574,0.9995299999999999,0.0625,0.06456,0.13856,0.0,0.0,0.61953,0.00267,0.00047000000000000004,0.01426
Ellume LImited,Ellume COVID-19 Home Test,0.07,1.0,0.39937,1.0,0.99711,0.9845799999999999,0.99949,0.06731000000000001,0.06952,0.14215999999999998,0.0,0.0,0.60063,0.0028899999999999998,0.0005099999999999999,0.01542
Ellume LImited,Ellume COVID-19 Home Test,0.075,1.0,0.41734,1.0,0.9968899999999999,0.98341,0.99945,0.07212,0.07449,0.14576,0.0,0.0,0.5826600000000001,0.0031100000000000004,0.00055,0.01659
Ellume LImited,Ellume COVID-19 Home Test,0.08,1.0,0.43443999999999994,1.0,0.9966700000000001,0.9822299999999999,0.99941,0.07692,0.07945,0.14935,0.0,0.0,0.5655600000000001,0.0033299999999999996,0.00059,0.017769999999999998
Ellume LImited,Ellume COVID-19 Home Test,0.085,1.0,0.45074,1.0,0.99644,0.9810399999999999,0.9993700000000001,0.08173,0.08442000000000001,0.15295,0.0,0.0,0.5492600000000001,0.0035600000000000002,0.00063,0.01896
Ellume LImited,Ellume COVID-19 Home Test,0.09,1.0,0.46629,1.0,0.99621,0.9798399999999999,0.9993299999999999,0.08653999999999999,0.08939,0.15655,0.0,0.0,0.53371,0.00379,0.00067,0.02016
Ellume LImited,Ellume COVID-19 Home Test,0.095,1.0,0.48113999999999996,1.0,0.99598,0.9786299999999999,0.99928,0.09135,0.09435,0.16014,0.0,0.0,0.51886,0.00402,0.00072,0.02137
Ellume LImited,Ellume COVID-19 Home Test,0.1,1.0,0.49533999999999995,1.0,0.99574,0.97741,0.99924,0.09615,0.09932,0.16374,0.0,0.0,0.50466,0.00426,0.0007599999999999999,0.02259
Ellume LImited,Ellume COVID-19 Home Test,0.105,1.0,0.50893,1.0,0.99551,0.9761799999999999,0.9992,0.10096000000000001,0.10428,0.16733,0.0,0.0,0.49107,0.00449,0.0008,0.023819999999999997
Ellume LImited,Ellume COVID-19 Home Test,0.11,1.0,0.52195,1.0,0.9952700000000001,0.97493,0.99916,0.10577,0.10925,0.17093,0.0,0.0,0.47805,0.00473,0.00084,0.02507
Ellume LImited,Ellume COVID-19 Home Test,0.115,1.0,0.5344300000000001,1.0,0.99503,0.9736799999999999,0.99911,0.11058,0.11422,0.17453,0.0,0.0,0.46557,0.0049700000000000005,0.0008900000000000001,0.02632
Ellume LImited,Ellume COVID-19 Home Test,0.12,1.0,0.5464100000000001,1.0,0.9947799999999999,0.97241,0.9990700000000001,0.11538,0.11918,0.17812,0.0,0.0,0.45358999999999994,0.005220000000000001,0.00093,0.027589999999999996
Ellume LImited,Ellume COVID-19 Home Test,0.125,1.0,0.55791,1.0,0.99454,0.97114,0.99903,0.12019,0.12415,0.18172,0.0,0.0,0.44209,0.0054600000000000004,0.0009699999999999999,0.028860000000000004
Ellume LImited,Ellume COVID-19 Home Test,0.13,1.0,0.56897,1.0,0.99429,0.96985,0.99898,0.125,0.12911,0.18532,0.0,0.0,0.43103,0.00571,0.0010199999999999999,0.03015
Ellume LImited,Ellume COVID-19 Home Test,0.135,1.0,0.5796,1.0,0.99403,0.96855,0.9989399999999999,0.12980999999999998,0.13408,0.18891,0.0,0.0,0.4204,0.0059700000000000005,0.00106,0.03145
Ellume LImited,Ellume COVID-19 Home Test,0.14,1.0,0.5898399999999999,1.0,0.9937799999999999,0.96724,0.99889,0.13462000000000002,0.13904,0.19251,0.0,0.0,0.41016,0.006220000000000001,0.0011099999999999999,0.032760000000000004
Ellume LImited,Ellume COVID-19 Home Test,0.145,1.0,0.5997,1.0,0.9935200000000001,0.9659200000000001,0.99884,0.13942000000000002,0.14401,0.1961,0.0,0.0,0.4003,0.00648,0.00116,0.03408
Ellume LImited,Ellume COVID-19 Home Test,0.15,1.0,0.60921,1.0,0.99326,0.96459,0.9988,0.14423,0.14898,0.1997,0.0,0.0,0.39079,0.00674,0.0012,0.035410000000000004
Ellume LImited,Ellume COVID-19 Home Test,0.155,1.0,0.61838,1.0,0.9929899999999999,0.96324,0.99875,0.14904,0.15394000000000002,0.2033,0.0,0.0,0.38161999999999996,0.00701,0.00125,0.03676
Ellume LImited,Ellume COVID-19 Home Test,0.16,1.0,0.6272300000000001,1.0,0.9927299999999999,0.9618899999999999,0.9987,0.15385,0.15891,0.20689000000000002,0.0,0.0,0.37277,0.00727,0.0013,0.038110000000000005
Ellume LImited,Ellume COVID-19 Home Test,0.165,1.0,0.63578,1.0,0.99246,0.96052,0.99865,0.15865,0.16387000000000002,0.21049,0.0,0.0,0.36422,0.007540000000000001,0.00135,0.03948
Ellume LImited,Ellume COVID-19 Home Test,0.17,1.0,0.64405,1.0,0.99218,0.9591299999999999,0.9986,0.16346,0.16884000000000002,0.21409,0.0,0.0,0.35595,0.00782,0.0014,0.04087
Ellume LImited,Ellume COVID-19 Home Test,0.175,1.0,0.65204,1.0,0.9919100000000001,0.9577399999999999,0.99856,0.16827,0.17381,0.21768,0.0,0.0,0.34796,0.00809,0.00144,0.04226
Ellume LImited,Ellume COVID-19 Home Test,0.18,1.0,0.65977,1.0,0.9916299999999999,0.9563299999999999,0.9985,0.17307999999999998,0.17877,0.22128,0.0,0.0,0.34023000000000003,0.00837,0.0015,0.04367
Ellume LImited,Ellume COVID-19 Home Test,0.185,1.0,0.66725,1.0,0.99135,0.95491,0.99845,0.17787999999999998,0.18374000000000001,0.22488000000000002,0.0,0.0,0.33275,0.00865,0.00155,0.04509
Ellume LImited,Ellume COVID-19 Home Test,0.19,1.0,0.6745,1.0,0.99106,0.95347,0.9984,0.18269000000000002,0.1887,0.22846999999999998,0.0,0.0,0.3255,0.00894,0.0016,0.04653
Ellume LImited,Ellume COVID-19 Home Test,0.195,1.0,0.68152,1.0,0.99077,0.9520200000000001,0.99835,0.1875,0.19367,0.23206999999999997,0.0,0.0,0.31848000000000004,0.00923,0.00165,0.04798
Ellume LImited,Ellume COVID-19 Home Test,0.2,1.0,0.68833,1.0,0.9904799999999999,0.9505600000000001,0.9983,0.19230999999999998,0.19864,0.23565999999999998,0.0,0.0,0.31167,0.00952,0.0017,0.04944
Ellume LImited,Ellume COVID-19 Home Test,0.205,1.0,0.69493,1.0,0.99018,0.94909,0.99824,0.19712000000000002,0.2036,0.23926,0.0,0.0,0.30507,0.00982,0.00176,0.050910000000000004
Ellume LImited,Ellume COVID-19 Home Test,0.21,1.0,0.70134,1.0,0.98988,0.9476,0.9981899999999999,0.20192000000000002,0.20856999999999998,0.24286,0.0,0.0,0.29866,0.01012,0.0018100000000000002,0.0524
Ellume LImited,Ellume COVID-19 Home Test,0.215,1.0,0.7075600000000001,1.0,0.9895799999999999,0.94609,0.9981399999999999,0.20673000000000002,0.21353000000000003,0.24645,0.0,0.0,0.29244000000000003,0.01042,0.00186,0.05391
Ellume LImited,Ellume COVID-19 Home Test,0.22,1.0,0.7136,1.0,0.9892700000000001,0.94458,0.99808,0.21154,0.2185,0.25005,0.0,0.0,0.2864,0.01073,0.0019199999999999998,0.055420000000000004
Ellume LImited,Ellume COVID-19 Home Test,0.225,1.0,0.7194699999999999,1.0,0.9889600000000001,0.94304,0.99802,0.21635,0.22346999999999997,0.25365,0.0,0.0,0.28053,0.011040000000000001,0.00198,0.056960000000000004
Ellume LImited,Ellume COVID-19 Home Test,0.23,1.0,0.72518,1.0,0.98864,0.9415,0.99797,0.22115,0.22843000000000002,0.25724,0.0,0.0,0.27482,0.011359999999999999,0.00203,0.0585
Ellume LImited,Ellume COVID-19 Home Test,0.235,1.0,0.73073,1.0,0.9883200000000001,0.9399299999999999,0.9979100000000001,0.22596,0.2334,0.26084,0.0,0.0,0.26927,0.01168,0.00209,0.060070000000000005
Ellume LImited,Ellume COVID-19 Home Test,0.24,1.0,0.73612,1.0,0.988,0.9383600000000001,0.99785,0.23076999999999998,0.23836,0.26443,0.0,0.0,0.26388,0.012,0.00215,0.06164
Ellume LImited,Ellume COVID-19 Home Test,0.245,1.0,0.74138,1.0,0.98767,0.93676,0.99779,0.23558,0.24333000000000002,0.26803,0.0,0.0,0.25861999999999996,0.012329999999999999,0.00221,0.06324
Ellume LImited,Ellume COVID-19 Home Test,0.25,1.0,0.74649,1.0,0.98734,0.93515,0.9977299999999999,0.24038,0.24829,0.27163000000000004,0.0,0.0,0.25351,0.01266,0.00227,0.06485
Ellume LImited,Ellume COVID-19 Home Test,0.255,1.0,0.75147,1.0,0.98701,0.93353,0.9976700000000001,0.24519000000000002,0.25326,0.27521999999999996,0.0,0.0,0.24853000000000003,0.01299,0.00233,0.06647
Ellume LImited,Ellume COVID-19 Home Test,0.26,1.0,0.75632,1.0,0.98667,0.93189,0.99761,0.25,0.25823,0.27881999999999996,0.0,0.0,0.24368,0.013330000000000002,0.0023899999999999998,0.06811
Ellume LImited,Ellume COVID-19 Home Test,0.265,1.0,0.76105,1.0,0.9863200000000001,0.9302299999999999,0.99755,0.25481,0.26319000000000004,0.28242,0.0,0.0,0.23895,0.013680000000000001,0.00245,0.06977
Ellume LImited,Ellume COVID-19 Home Test,0.27,1.0,0.76566,1.0,0.9859700000000001,0.92855,0.9974799999999999,0.25961999999999996,0.26816,0.28601,0.0,0.0,0.23434000000000002,0.01403,0.00252,0.07145
Ellume LImited,Ellume COVID-19 Home Test,0.275,1.0,0.7701600000000001,1.0,0.98562,0.92686,0.9974200000000001,0.26442,0.27312,0.28961,0.0,0.0,0.22984000000000002,0.01438,0.0025800000000000003,0.07314
Ellume LImited,Ellume COVID-19 Home Test,0.28,1.0,0.77454,1.0,0.98526,0.92515,0.99735,0.26923,0.27809,0.2932,0.0,0.0,0.22546,0.014740000000000001,0.00265,0.07485
Ellume LImited,Ellume COVID-19 Home Test,0.285,1.0,0.77882,1.0,0.9849,0.92343,0.99729,0.27404,0.28306,0.2968,0.0,0.0,0.22118000000000002,0.0151,0.00271,0.07657
Ellume LImited,Ellume COVID-19 Home Test,0.29,1.0,0.7829999999999999,1.0,0.9845299999999999,0.9216799999999999,0.9972200000000001,0.27885,0.28802,0.3004,0.0,0.0,0.217,0.01547,0.00278,0.07832
Ellume LImited,Ellume COVID-19 Home Test,0.295,1.0,0.7870699999999999,1.0,0.98416,0.9199200000000001,0.99715,0.28365,0.29299000000000003,0.30399,0.0,0.0,0.21293,0.01584,0.00285,0.08008
Ellume LImited,Ellume COVID-19 Home Test,0.3,1.0,0.79106,1.0,0.9837799999999999,0.91814,0.99708,0.28846,0.29795,0.30759000000000003,0.0,0.0,0.20894000000000001,0.01622,0.00292,0.08186
