company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Ethos Laboratories,Ethos Laboratories SARS-CoV-2 MALDI-TOF Assay,0.005,0.11748,0.034839999999999996,0.32897,0.9999,0.9994299999999999,0.99998,0.041760000000000005,0.01515,0.12922999999999998,0.8825200000000001,0.67103,0.96516,0.0001,2e-05,0.00057
Ethos Laboratories,Ethos Laboratories SARS-CoV-2 MALDI-TOF Assay,0.01,0.2111,0.06766,0.49633,0.9998,0.99885,0.99997,0.04648,0.02008,0.13310999999999998,0.7889,0.50367,0.93234,0.0002,2.9999999999999997e-05,0.00115
Ethos Laboratories,Ethos Laboratories SARS-CoV-2 MALDI-TOF Assay,0.015,0.28745,0.09862,0.5976899999999999,0.9997,0.9982700000000001,0.99995,0.0512,0.02501,0.13698,0.71255,0.40231,0.90138,0.0003,5e-05,0.00173
Ethos Laboratories,Ethos Laboratories SARS-CoV-2 MALDI-TOF Assay,0.02,0.35091,0.12787,0.66566,0.9996,0.99769,0.9999299999999999,0.055920000000000004,0.02995,0.14085999999999999,0.64909,0.33434,0.87213,0.0004,7e-05,0.00231
Ethos Laboratories,Ethos Laboratories SARS-CoV-2 MALDI-TOF Assay,0.025,0.40449,0.15556,0.71441,0.9995,0.9970899999999999,0.9999100000000001,0.06064,0.03488,0.14473,0.59551,0.28559,0.84444,0.0005,9e-05,0.0029100000000000003
Ethos Laboratories,Ethos Laboratories SARS-CoV-2 MALDI-TOF Assay,0.03,0.45033999999999996,0.1818,0.75107,0.99939,0.9965,0.9999,0.06536,0.039810000000000005,0.14861,0.54966,0.24893,0.8182,0.00061,0.0001,0.0035
Ethos Laboratories,Ethos Laboratories SARS-CoV-2 MALDI-TOF Assay,0.035,0.49,0.20670999999999998,0.77966,0.99929,0.9958899999999999,0.9998799999999999,0.07007999999999999,0.044739999999999995,0.15249000000000001,0.51,0.22034,0.7932899999999999,0.0007099999999999999,0.00011999999999999999,0.00411
Ethos Laboratories,Ethos Laboratories SARS-CoV-2 MALDI-TOF Assay,0.04,0.52466,0.23038000000000003,0.80256,0.99918,0.99529,0.9998600000000001,0.0748,0.04967,0.15636,0.47534,0.19744,0.76962,0.00082,0.00014,0.00471
Ethos Laboratories,Ethos Laboratories SARS-CoV-2 MALDI-TOF Assay,0.045,0.55521,0.25290999999999997,0.8213299999999999,0.99908,0.99467,0.99984,0.07952000000000001,0.05461,0.16024000000000002,0.44478999999999996,0.17867,0.7470899999999999,0.0009199999999999999,0.00016,0.00533
Ethos Laboratories,Ethos Laboratories SARS-CoV-2 MALDI-TOF Assay,0.05,0.58233,0.27437,0.83699,0.99897,0.99405,0.99982,0.08424,0.059539999999999996,0.16410999999999998,0.41767,0.16301,0.72563,0.00103,0.00018,0.00595
Ethos Laboratories,Ethos Laboratories SARS-CoV-2 MALDI-TOF Assay,0.055,0.6065699999999999,0.29484,0.85025,0.9988600000000001,0.9934299999999999,0.9998,0.08896,0.06447,0.16799,0.39343,0.14975,0.70516,0.00114,0.0002,0.00657
Ethos Laboratories,Ethos Laboratories SARS-CoV-2 MALDI-TOF Assay,0.06,0.62838,0.3144,0.8616299999999999,0.99875,0.9928,0.9997799999999999,0.09368,0.0694,0.17187,0.37162,0.13837,0.6856,0.00125,0.00022,0.0072
