company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.005,0.09286,0.06599,0.12892,1.0,0.99995,1.0,0.05385,0.03878,0.07508,0.90714,0.87108,0.93401,0.0,0.0,5e-05
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.01,0.17065,0.12435,0.22928,1.0,0.9999,1.0,0.0586,0.04361,0.07969,0.82935,0.77072,0.87565,0.0,0.0,0.0001
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.015,0.23676,0.17635,0.30963,1.0,0.99985,1.0,0.06335,0.04845,0.08429,0.7632399999999999,0.6903699999999999,0.82365,0.0,0.0,0.00015
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.02,0.29365,0.22295,0.37540999999999997,1.0,0.9998,1.0,0.06811,0.053279999999999994,0.08889,0.70635,0.62459,0.77705,0.0,0.0,0.0002
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.025,0.34310999999999997,0.26497,0.43025,1.0,0.99975,1.0,0.07286000000000001,0.05811,0.09349,0.65689,0.56975,0.7350300000000001,0.0,0.0,0.00025
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.03,0.38650999999999996,0.30305,0.47668,1.0,0.9997,1.0,0.07762000000000001,0.06294,0.0981,0.61349,0.52332,0.69695,0.0,0.0,0.0003
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.035,0.4249,0.33771,0.51648,1.0,0.99965,1.0,0.08237,0.06777000000000001,0.1027,0.5751,0.48352,0.6622899999999999,0.0,0.0,0.00035
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.04,0.4591,0.36941,0.55099,1.0,0.99959,1.0,0.08713,0.0726,0.1073,0.5409,0.44901,0.63059,0.0,0.0,0.00041
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.045,0.48976000000000003,0.39849,0.5812,1.0,0.99954,1.0,0.09187999999999999,0.07743,0.1119,0.5102399999999999,0.4188,0.60151,0.0,0.0,0.00045999999999999996
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.05,0.5174,0.42528,0.60785,1.0,0.99949,1.0,0.09664,0.08226,0.11650999999999999,0.4826,0.39215,0.57472,0.0,0.0,0.0005099999999999999
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.055,0.54245,0.45003000000000004,0.63155,1.0,0.9994299999999999,1.0,0.10139,0.08709,0.12111,0.45755,0.36845,0.54997,0.0,0.0,0.00057
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.06,0.56526,0.47296000000000005,0.65276,1.0,0.9993799999999999,1.0,0.10615,0.09192,0.12571,0.43473999999999996,0.34724,0.52704,0.0,0.0,0.00062
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.065,0.58611,0.49428,0.67185,1.0,0.9993200000000001,1.0,0.1109,0.09675,0.13030999999999998,0.41389,0.32815,0.50572,0.0,0.0,0.0006799999999999999
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.07,0.60525,0.51415,0.68913,1.0,0.9992700000000001,1.0,0.11565,0.10157999999999999,0.13491,0.39475,0.31087,0.48585,0.0,0.0,0.00073
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.075,0.62288,0.5327,0.7048300000000001,1.0,0.99921,1.0,0.12040999999999999,0.10640999999999999,0.13952,0.37711999999999996,0.29517,0.4673,0.0,0.0,0.00079
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.08,0.6391600000000001,0.55007,0.71918,1.0,0.99915,1.0,0.12516,0.11124,0.14412,0.36084,0.28081999999999996,0.44993,0.0,0.0,0.00085
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.085,0.6542600000000001,0.5663600000000001,0.73233,1.0,0.9990899999999999,1.0,0.12992,0.11607,0.14872,0.34574,0.26766999999999996,0.43363999999999997,0.0,0.0,0.00091
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.09,0.6682899999999999,0.58167,0.74443,1.0,0.9990399999999999,1.0,0.13467,0.1209,0.15332,0.33171,0.25556999999999996,0.41833000000000004,0.0,0.0,0.0009599999999999999
"Euroimmun US, Inc.",EURORealTime SARS-Cov-2,0.095,0.6813600000000001,0.5961,0.75559,1.0,0.99898,1.0,0.13943,0.12573,0.15793,0.31864000000000003,0.24441,0.4039,0.0,0.0,0.0010199999999999999
