company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Exact Sciences Laboratories,Exact Sciences SARS-CoV-2 (N gene detection) Test,0.005,1.0,0.07943688442504612,1.0,1.0,0.9996346105059922,1.0,0.005,0.005,0.05861291113863931,0.0,0.0,0.9205631155749538,0.0,0.0,0.0003653894940077729
Exact Sciences Laboratories,Exact Sciences SARS-CoV-2 (N gene detection) Test,0.01,1.0,0.14781554882579995,1.0,1.0,0.9992658011873308,1.0,0.01,0.01,0.06299779806551609,0.0,0.0,0.8521844511741998,0.0,0.0,0.0007341988126692289
Exact Sciences Laboratories,Exact Sciences SARS-CoV-2 (N gene detection) Test,0.015,1.0,0.20729481387367812,1.0,1.0,0.9988935238070452,1.0,0.015,0.015,0.06738268499239287,0.0,0.0,0.7927051861263219,0.0,0.0,0.0011064761929546751
Exact Sciences Laboratories,Exact Sciences SARS-CoV-2 (N gene detection) Test,0.02,1.0,0.25950589791016426,1.0,1.0,0.998517729216698,1.0,0.02,0.02,0.07176757191926962,0.0,0.0,0.7404941020898357,0.0,0.0,0.0014822707833020974
Exact Sciences Laboratories,Exact Sciences SARS-CoV-2 (N gene detection) Test,0.025,1.0,0.3057043146395529,1.0,1.0,0.9981383673347508,1.0,0.025,0.025,0.07615245884614642,0.0,0.0,0.6942956853604472,0.0,0.0,0.00186163266524908
Exact Sciences Laboratories,Exact Sciences SARS-CoV-2 (N gene detection) Test,0.03,1.0,0.3468721500500584,1.0,1.0,0.997755387124318,1.0,0.03,0.03,0.0805373457730232,0.0,0.0,0.6531278499499416,0.0,0.0,0.002244612875681895
Exact Sciences Laboratories,Exact Sciences SARS-CoV-2 (N gene detection) Test,0.035,1.0,0.38378865344631374,1.0,1.0,0.9973687365702754,1.0,0.035,0.035,0.08492223269989997,0.0,0.0,0.6162113465536863,0.0,0.0,0.00263126342972464
Exact Sciences Laboratories,Exact Sciences SARS-CoV-2 (N gene detection) Test,0.04,1.0,0.4170800328030809,1.0,1.0,0.9969783626557094,1.0,0.04,0.04,0.08930711962677676,0.0,0.0,0.5829199671969192,0.0,0.0,0.003021637344290617
Exact Sciences Laboratories,Exact Sciences SARS-CoV-2 (N gene detection) Test,0.045,1.0,0.4472552672614977,1.0,1.0,0.9965842113376848,1.0,0.045,0.045,0.09369200655365352,0.0,0.0,0.5527447327385023,0.0,0.0,0.003415788662315289
Exact Sciences Laboratories,Exact Sciences SARS-CoV-2 (N gene detection) Test,0.05,1.0,0.4747323128520459,1.0,1.0,0.9961862275223016,1.0,0.05,0.05,0.0980768934805303,0.0,0.0,0.5252676871479539,0.0,0.0,0.003813772477698319
