company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),FTD SARS-CoV-2,0.005,1.0,0.039120255979896726,1.0,1.0,0.9995450272701104,1.0,0.005,0.005,0.11754801434461548,0.0,0.0,0.9608797440201032,0.0,0.0,0.0004549727298895912
Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),FTD SARS-CoV-2,0.01,1.0,0.07564646497592135,1.0,1.0,0.9990858789572384,1.0,0.01,0.01,0.12157893729875302,0.0,0.0,0.9243535350240788,0.0,0.0,0.000914121042761451
Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),FTD SARS-CoV-2,0.015,1.0,0.10982836224397698,1.0,1.0,0.9986224973132948,1.0,0.015,0.015,0.12560986025289056,0.0,0.0,0.8901716377560229,0.0,0.0,0.0013775026867052231
Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),FTD SARS-CoV-2,0.02,1.0,0.1418846229506776,1.0,1.0,0.9981548235203876,1.0,0.02,0.02,0.1296407832070281,0.0,0.0,0.8581153770493224,0.0,0.0,0.0018451764796123535
Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),FTD SARS-CoV-2,0.025,1.0,0.1720075453194855,1.0,1.0,0.9976827976659344,1.0,0.025,0.025,0.13367170616116564,0.0,0.0,0.8279924546805145,0.0,0.0,0.002317202334065516
Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),FTD SARS-CoV-2,0.03,1.0,0.20036691124783565,1.0,1.0,0.9972063587170759,1.0,0.03,0.03,0.13770262911530318,0.0,0.0,0.7996330887521643,0.0,0.0,0.002793641282924031
Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),FTD SARS-CoV-2,0.035,1.0,0.2271131881451655,1.0,1.0,0.9967254444943676,1.0,0.035,0.035,0.14173355206944072,0.0,0.0,0.7728868118548344,0.0,0.0,0.00327455550563227
Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),FTD SARS-CoV-2,0.04,1.0,0.25238019951547697,1.0,1.0,0.9962399916447292,1.0,0.04,0.04,0.14576447502357825,0.0,0.0,0.7476198004845229,0.0,0.0,0.0037600083552707937
Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),FTD SARS-CoV-2,0.045,1.0,0.2762873643552535,1.0,1.0,0.9957499356136208,1.0,0.045,0.045,0.1497953979777158,0.0,0.0,0.7237126356447465,0.0,0.0,0.004250064386379204
Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),FTD SARS-CoV-2,0.05,1.0,0.2989415844592108,1.0,1.0,0.995255210616428,1.0,0.05,0.05,0.15382632093185333,0.0,0.0,0.7010584155407893,0.0,0.0,0.004744789383572146
