company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Fluidigm Corporation,Advanta Dx SARS-CoV-2 RT-PCR Assay,0.005,1.0,0.04347,1.0,1.0,0.99954,1.0,0.005,0.005,0.1056,0.0,0.0,0.9565299999999999,0.0,0.0,0.00045999999999999996
Fluidigm Corporation,Advanta Dx SARS-CoV-2 RT-PCR Assay,0.01,1.0,0.08369,1.0,1.0,0.99908,1.0,0.01,0.01,0.10968,0.0,0.0,0.9163100000000001,0.0,0.0,0.0009199999999999999
Fluidigm Corporation,Advanta Dx SARS-CoV-2 RT-PCR Assay,0.015,1.0,0.12104000000000001,1.0,1.0,0.99861,1.0,0.015,0.015,0.11375999999999999,0.0,0.0,0.8789600000000001,0.0,0.0,0.00139
Fluidigm Corporation,Advanta Dx SARS-CoV-2 RT-PCR Assay,0.02,1.0,0.15579,1.0,1.0,0.9981399999999999,1.0,0.02,0.02,0.11785,0.0,0.0,0.84421,0.0,0.0,0.00186
Fluidigm Corporation,Advanta Dx SARS-CoV-2 RT-PCR Assay,0.025,1.0,0.18822,1.0,1.0,0.99766,1.0,0.025,0.025,0.12193,0.0,0.0,0.8117800000000001,0.0,0.0,0.00234
Fluidigm Corporation,Advanta Dx SARS-CoV-2 RT-PCR Assay,0.03,1.0,0.21855,1.0,1.0,0.99718,1.0,0.03,0.03,0.12600999999999998,0.0,0.0,0.78145,0.0,0.0,0.00282
Fluidigm Corporation,Advanta Dx SARS-CoV-2 RT-PCR Assay,0.035,1.0,0.24697,1.0,1.0,0.9967,1.0,0.035,0.035,0.13009,0.0,0.0,0.75303,0.0,0.0,0.0033
Fluidigm Corporation,Advanta Dx SARS-CoV-2 RT-PCR Assay,0.04,1.0,0.27366999999999997,1.0,1.0,0.99621,1.0,0.04,0.04,0.13418,0.0,0.0,0.72633,0.0,0.0,0.00379
Fluidigm Corporation,Advanta Dx SARS-CoV-2 RT-PCR Assay,0.045,1.0,0.29878000000000005,1.0,1.0,0.99572,1.0,0.045,0.045,0.13826,0.0,0.0,0.70122,0.0,0.0,0.00428
Fluidigm Corporation,Advanta Dx SARS-CoV-2 RT-PCR Assay,0.05,1.0,0.32245999999999997,1.0,1.0,0.9952200000000001,1.0,0.05,0.05,0.14234000000000002,0.0,0.0,0.6775399999999999,0.0,0.0,0.0047799999999999995
