company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Fosun Long March Medical Science Co., Ltd",,0.005,1.0,0.14082999999999998,1.0,0.9988,0.99803,0.9993200000000001,0.00381,0.00433,0.021830000000000002,0.0,0.0,0.8591700000000001,0.0012,0.0006799999999999999,0.00197
"Fosun Long March Medical Science Co., Ltd",,0.01,1.0,0.24781999999999998,1.0,0.9976,0.99605,0.99864,0.00762,0.00865,0.0248,0.0,0.0,0.7521800000000001,0.0024,0.0013599999999999999,0.00395
"Fosun Long March Medical Science Co., Ltd",,0.015,1.0,0.33187,1.0,0.99639,0.99406,0.99795,0.01143,0.012980000000000002,0.027780000000000003,0.0,0.0,0.66813,0.00361,0.00205,0.00594
"Fosun Long March Medical Science Co., Ltd",,0.02,1.0,0.39964,1.0,0.99516,0.99205,0.99726,0.01524,0.0173,0.030760000000000003,0.0,0.0,0.60036,0.00484,0.00274,0.00795
"Fosun Long March Medical Science Co., Ltd",,0.025,1.0,0.45545,1.0,0.99393,0.99003,0.99656,0.01905,0.02163,0.03374,0.0,0.0,0.54455,0.00607,0.00344,0.00997
"Fosun Long March Medical Science Co., Ltd",,0.03,1.0,0.5021899999999999,1.0,0.99269,0.988,0.99585,0.02286,0.025960000000000004,0.036719999999999996,0.0,0.0,0.49781000000000003,0.00731,0.00415,0.012
"Fosun Long March Medical Science Co., Ltd",,0.035,1.0,0.54192,1.0,0.99144,0.9859600000000001,0.99513,0.02667,0.03028,0.0397,0.0,0.0,0.45808000000000004,0.00856,0.00487,0.01404
"Fosun Long March Medical Science Co., Ltd",,0.04,1.0,0.57611,1.0,0.99018,0.9839,0.99441,0.03048,0.03461,0.04268,0.0,0.0,0.42389,0.00982,0.0055899999999999995,0.0161
"Fosun Long March Medical Science Co., Ltd",,0.045,1.0,0.60583,1.0,0.9889100000000001,0.98183,0.99369,0.03429,0.03893,0.04566,0.0,0.0,0.39416999999999996,0.011090000000000001,0.0063100000000000005,0.01817
"Fosun Long March Medical Science Co., Ltd",,0.05,1.0,0.6319100000000001,1.0,0.98762,0.97975,0.99295,0.0381,0.04326,0.048639999999999996,0.0,0.0,0.36809000000000003,0.01238,0.00705,0.02025
"Fosun Long March Medical Science Co., Ltd",,0.055,1.0,0.65498,1.0,0.9863299999999999,0.9776600000000001,0.9922200000000001,0.0419,0.04759,0.051620000000000006,0.0,0.0,0.34502,0.013669999999999998,0.00778,0.022340000000000002
"Fosun Long March Medical Science Co., Ltd",,0.06,1.0,0.6755399999999999,1.0,0.98503,0.97555,0.9914700000000001,0.04571,0.051910000000000005,0.0546,0.0,0.0,0.32445999999999997,0.014969999999999999,0.00853,0.02445
"Fosun Long March Medical Science Co., Ltd",,0.065,1.0,0.69396,1.0,0.98372,0.9734299999999999,0.99072,0.04952,0.05624,0.05757999999999999,0.0,0.0,0.30604000000000003,0.016280000000000003,0.00928,0.02657
"Fosun Long March Medical Science Co., Ltd",,0.07,1.0,0.71058,1.0,0.98239,0.97129,0.9899600000000001,0.053329999999999995,0.06056,0.06056,0.0,0.0,0.28941999999999996,0.01761,0.01004,0.028710000000000003
"Fosun Long March Medical Science Co., Ltd",,0.075,1.0,0.72563,1.0,0.98106,0.96914,0.98919,0.057139999999999996,0.06489,0.06354,0.0,0.0,0.27437,0.018940000000000002,0.01081,0.030860000000000002
"Fosun Long March Medical Science Co., Ltd",,0.08,1.0,0.73934,1.0,0.97972,0.96698,0.98841,0.06095,0.06922,0.06652000000000001,0.0,0.0,0.26066,0.02028,0.011590000000000001,0.03302
"Fosun Long March Medical Science Co., Ltd",,0.085,1.0,0.7518699999999999,1.0,0.97836,0.9648100000000001,0.9876299999999999,0.06476,0.07354,0.0695,0.0,0.0,0.24813000000000002,0.02164,0.01237,0.03519
"Fosun Long March Medical Science Co., Ltd",,0.09,1.0,0.76337,1.0,0.9769899999999999,0.96262,0.9868399999999999,0.06857,0.07787000000000001,0.07247,0.0,0.0,0.23663,0.02301,0.01316,0.037380000000000004
"Fosun Long March Medical Science Co., Ltd",,0.095,1.0,0.77396,1.0,0.97562,0.96041,0.98605,0.07238,0.08219,0.07545,0.0,0.0,0.22604000000000002,0.024380000000000002,0.01395,0.03959
"Fosun Long March Medical Science Co., Ltd",,0.1,1.0,0.78375,1.0,0.9742299999999999,0.95819,0.98524,0.07619,0.08652,0.07843,0.0,0.0,0.21625,0.025769999999999998,0.014759999999999999,0.04181
"Fosun Long March Medical Science Co., Ltd",,0.105,1.0,0.79282,1.0,0.97283,0.95596,0.9844299999999999,0.08,0.09085,0.08141,0.0,0.0,0.20718000000000003,0.02717,0.015569999999999999,0.044039999999999996
"Fosun Long March Medical Science Co., Ltd",,0.11,1.0,0.80125,1.0,0.97141,0.9537100000000001,0.98361,0.08381,0.09517,0.08438999999999999,0.0,0.0,0.19875,0.028589999999999997,0.016390000000000002,0.04629
"Fosun Long March Medical Science Co., Ltd",,0.115,1.0,0.80911,1.0,0.96999,0.95145,0.9827799999999999,0.08762,0.0995,0.08737,0.0,0.0,0.19089,0.030010000000000002,0.01722,0.04855
"Fosun Long March Medical Science Co., Ltd",,0.12,1.0,0.8164399999999999,1.0,0.96855,0.9491700000000001,0.98195,0.09143,0.10382000000000001,0.09035,0.0,0.0,0.18356,0.03145,0.01805,0.05083
"Fosun Long March Medical Science Co., Ltd",,0.125,1.0,0.82331,1.0,0.96711,0.9468799999999999,0.98111,0.09523999999999999,0.10815,0.09333,0.0,0.0,0.17669,0.032889999999999996,0.01889,0.05312000000000001
"Fosun Long March Medical Science Co., Ltd",,0.13,1.0,0.82976,1.0,0.9656399999999999,0.94458,0.98025,0.09905,0.11247,0.09631,0.0,0.0,0.17024,0.03436,0.01975,0.055420000000000004
"Fosun Long March Medical Science Co., Ltd",,0.135,1.0,0.8358200000000001,1.0,0.9641700000000001,0.94225,0.97939,0.10286,0.1168,0.09929,0.0,0.0,0.16418,0.03583,0.02061,0.05775
