company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Fosun Pharma USA Inc.,Fosun COVID-19 RT-PCR Detection Kit,0.005,0.12309237598418822,0.07663104819675028,0.1904891077327256,0.9999744577586898,0.9998545684051012,0.9999955543152524,0.040420782816943564,0.026225493756521428,0.0634703441089058,0.8769076240158118,0.8095108922672745,0.9233689518032496,2.554224131023908e-05,4.4456847475560215e-06,0.00014543159489865953
Fosun Pharma USA Inc.,Fosun COVID-19 RT-PCR Detection Kit,0.01,0.2200660371893646,0.14296957337716998,0.321115478241202,0.9999486588395564,0.9997077107416612,0.9999910637647272,0.04521815596467593,0.031114482135161964,0.06803963785556848,0.7799339628106354,0.6788845217587979,0.8570304266228299,5.134116044347437e-05,8.936235272871684e-06,0.00029228925833868486
Fosun Pharma USA Inc.,Fosun COVID-19 RT-PCR Detection Kit,0.015,0.2984367226164603,0.2009587067794465,0.4162657794571304,0.9999225993539704,0.9995594059307856,0.9999865276658028,0.050015529112408315,0.03600347051380248,0.07260893160223114,0.7015632773835396,0.5837342205428697,0.7990412932205535,7.740064602956842e-05,1.3472334197128788e-05,0.0004405940692142618
Fosun Pharma USA Inc.,Fosun COVID-19 RT-PCR Detection Kit,0.02,0.36308898021599934,0.2520814116409893,0.4886642711967746,0.9998962753343535,0.999409632476097,0.9999819453219392,0.05481290226014068,0.04089245889244302,0.0771782253488938,0.6369110197840007,0.5113357288032254,0.7479185883590107,0.00010372466564634308,1.8054678060708266e-05,0.0005903675239029571
Fosun Pharma USA Inc.,Fosun COVID-19 RT-PCR Detection Kit,0.025,0.4173349445237835,0.29748908910547384,0.5455999322115463,0.999869682732166,0.9992583684533476,0.9999773160223218,0.059610275407873066,0.04578144727108355,0.08174751909555647,0.5826650554762165,0.4544000677884537,0.7025109108945262,0.0001303172678338571,2.268397767823949e-05,0.0007416315466524104
Fosun Pharma USA Inc.,Fosun COVID-19 RT-PCR Detection Kit,0.03,0.4634999389971127,0.3380893365952626,0.591548603220719,0.9998428174158304,0.99910559149972,0.9999726390414924,0.06440764855560542,0.050670435649724066,0.08631681284221915,0.5365000610028874,0.408451396779281,0.6619106634047374,0.00015718258416963504,2.7360958507749444e-05,0.0008944085002798863
Fosun Pharma USA Inc.,Fosun COVID-19 RT-PCR Detection Kit,0.035,0.5032645105126702,0.374607233901272,0.6294107066490924,0.9998156751685908,0.9989512788028072,0.9999679136389716,0.06920502170333781,0.0555594240283646,0.0908861065888818,0.4967354894873298,0.3705892933509076,0.6253927660987281,0.0001843248314090662,3.20863610283606e-05,0.0010487211971929034
Fosun Pharma USA Inc.,Fosun COVID-19 RT-PCR Detection Kit,0.04,0.5378734248902733,0.4076290272840867,0.6611483354624551,0.9997882516863086,0.9987954070892544,0.9999631390588682,0.07400239485107019,0.060448412407005124,0.09545540033554448,0.4621265751097266,0.3388516645375449,0.5923709727159133,0.00021174831369141775,3.686094113175553e-05,0.0012045929107454836
Fosun Pharma USA Inc.,Fosun COVID-19 RT-PCR Detection Kit,0.045,0.5682683198431034,0.4376338402023837,0.6881363141039909,0.9997605425751848,0.9986379526130608,0.9999583145294748,0.07879976799880256,0.06533740078564565,0.10002469408220717,0.43173168015689656,0.3118636858960091,0.5623661597976163,0.00023945742481512597,4.1685470525187895e-05,0.0013620473869391247
Fosun Pharma USA Inc.,Fosun COVID-19 RT-PCR Detection Kit,0.05,0.5951746827510576,0.4650170721506221,0.7113666194403306,0.9997325433494147,0.9984788911435176,0.9999534392628526,0.08359714114653494,0.07022638916428617,0.10459398782886982,0.4048253172489424,0.28863338055966936,0.5349829278493778,0.0002674566505852516,4.6560737147371973e-05,0.0015211088564824893
