company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.005,1.0,0.05559,1.0,1.0,0.9995700000000001,1.0,0.005,0.005,0.08287,0.0,0.0,0.9444100000000001,0.0,0.0,0.00043
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.01,1.0,0.1058,1.0,1.0,0.9991399999999999,1.0,0.01,0.01,0.08707999999999999,0.0,0.0,0.8942,0.0,0.0,0.00086
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.015,1.0,0.15138,1.0,1.0,0.9987,1.0,0.015,0.015,0.09129,0.0,0.0,0.84862,0.0,0.0,0.0013
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.02,1.0,0.19294,1.0,1.0,0.99826,1.0,0.02,0.02,0.09551,0.0,0.0,0.80706,0.0,0.0,0.0017399999999999998
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.025,1.0,0.23098000000000002,1.0,1.0,0.99782,1.0,0.025,0.025,0.09972,0.0,0.0,0.76902,0.0,0.0,0.00218
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.03,1.0,0.26594,1.0,1.0,0.9973700000000001,1.0,0.03,0.03,0.10394,0.0,0.0,0.73406,0.0,0.0,0.00263
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.035,1.0,0.29817,1.0,1.0,0.9969100000000001,1.0,0.035,0.035,0.10815,0.0,0.0,0.7018300000000001,0.0,0.0,0.00309
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.04,1.0,0.32799,1.0,1.0,0.99646,1.0,0.04,0.04,0.11235999999999999,0.0,0.0,0.67201,0.0,0.0,0.0035399999999999997
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.045,1.0,0.35565,1.0,1.0,0.9959899999999999,1.0,0.045,0.045,0.11657999999999999,0.0,0.0,0.64435,0.0,0.0,0.0040100000000000005
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.05,1.0,0.38139,1.0,1.0,0.9955299999999999,1.0,0.05,0.05,0.12079000000000001,0.0,0.0,0.61861,0.0,0.0,0.00447
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.055,1.0,0.40538,1.0,1.0,0.99506,1.0,0.055,0.055,0.125,0.0,0.0,0.5946199999999999,0.0,0.0,0.00494
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.06,1.0,0.42782,1.0,1.0,0.9945799999999999,1.0,0.06,0.06,0.12922,0.0,0.0,0.57218,0.0,0.0,0.00542
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.065,1.0,0.44883,1.0,1.0,0.9941,1.0,0.065,0.065,0.13343,0.0,0.0,0.5511699999999999,0.0,0.0,0.0059
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.07,1.0,0.46856000000000003,1.0,1.0,0.9936200000000001,1.0,0.07,0.07,0.13764,0.0,0.0,0.5314399999999999,0.0,0.0,0.006379999999999999
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.075,1.0,0.48712,1.0,1.0,0.99313,1.0,0.075,0.075,0.14186,0.0,0.0,0.51288,0.0,0.0,0.00687
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.08,1.0,0.50461,1.0,1.0,0.9926299999999999,1.0,0.08,0.08,0.14607,0.0,0.0,0.49538999999999994,0.0,0.0,0.007370000000000001
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.085,1.0,0.5211100000000001,1.0,1.0,0.99213,1.0,0.085,0.085,0.15028,0.0,0.0,0.47889,0.0,0.0,0.00787
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.09,1.0,0.53672,1.0,1.0,0.9916299999999999,1.0,0.09,0.09,0.1545,0.0,0.0,0.46328,0.0,0.0,0.00837
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.095,1.0,0.5515,1.0,1.0,0.9911200000000001,1.0,0.095,0.095,0.15871,0.0,0.0,0.4485,0.0,0.0,0.008879999999999999
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.1,1.0,0.5655100000000001,1.0,1.0,0.9906,1.0,0.1,0.1,0.16292,0.0,0.0,0.43449,0.0,0.0,0.0094
GK Pharmaceuticals Contract Manufacturing Operations,GK ACCU-RIGHT SARS-CoV-2 RT-PCR KIT,0.105,1.0,0.57881,1.0,1.0,0.99008,1.0,0.105,0.105,0.16714,0.0,0.0,0.42118999999999995,0.0,0.0,0.00992
