company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.005,1.0,0.04485509177063343,1.0,1.0,0.9994502599086524,1.0,0.005,0.005,0.10044519995838662,0.0,0.0,0.9551449082293666,0.0,0.0,0.0005497400913474504
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.01,1.0,0.08625519972157085,1.0,1.0,0.9988955801637174,1.0,0.01,0.01,0.1044685694681968,0.0,0.0,0.9137448002784292,0.0,0.0,0.001104419836282622
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.015,1.0,0.1245847029141876,1.0,1.0,0.9983358938873304,1.0,0.015,0.015,0.10849193897800696,0.0,0.0,0.8754152970858124,0.0,0.0,0.0016641061126695391
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.02,1.0,0.16017300126021158,1.0,1.0,0.9977711329888774,1.0,0.02,0.02,0.11251530848781713,0.0,0.0,0.8398269987397884,0.0,0.0,0.00222886701112257
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.025,1.0,0.19330400599467876,1.0,1.0,0.9972012281373784,1.0,0.025,0.025,0.11653867799762732,0.0,0.0,0.8066959940053213,0.0,0.0,0.002798771862621563
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.03,1.0,0.22422372986532665,1.0,1.0,0.9966261087331152,1.0,0.03,0.03,0.12056204750743747,0.0,0.0,0.7757762701346733,0.0,0.0,0.0033738912668846988
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.035,1.0,0.2531464066135863,1.0,1.0,0.9960457028784762,1.0,0.035,0.035,0.12458541701724765,0.0,0.0,0.7468535933864138,0.0,0.0,0.003954297121523842
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.04,1.0,0.28025946181244193,1.0,1.0,0.995459937347993,1.0,0.04,0.04,0.12860878652705782,0.0,0.0,0.7197405381875581,0.0,0.0,0.0045400626520070144
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.045,1.0,0.3057275789681496,1.0,1.0,0.9948687375575436,1.0,0.045,0.045,0.132632156036868,0.0,0.0,0.6942724210318504,0.0,0.0,0.00513126244245654
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.05,1.0,0.3296960473445397,1.0,1.0,0.9942720275326941,1.0,0.05,0.05,0.13665552554667815,0.0,0.0,0.6703039526554604,0.0,0.0,0.005727972467306053
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.055,1.0,0.3522935353073618,1.0,1.0,0.9936697298761514,1.0,0.055,0.055,0.14067889505648834,0.0,0.0,0.6477064646926383,0.0,0.0,0.006330270123848568
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.06,1.0,0.3736344010004437,1.0,1.0,0.9930617657342979,1.0,0.06,0.06,0.14470226456629853,0.0,0.0,0.6263655989995564,0.0,0.0,0.006938234265701948
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.065,1.0,0.3938206279673116,1.0,1.0,0.9924480547627754,1.0,0.065,0.065,0.14872563407610873,0.0,0.0,0.6061793720326885,0.0,0.0,0.0075519452372245785
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.07,1.0,0.41294345487015344,1.0,1.0,0.9918285150910894,1.0,0.07,0.07,0.15274900358591886,0.0,0.0,0.5870565451298466,0.0,0.0,0.00817148490891062
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.075,1.0,0.4310847542604239,1.0,1.0,0.9912030632862008,1.0,0.07500000000000001,0.07500000000000001,0.15677237309572906,0.0,0.0,0.5689152457395761,0.0,0.0,0.00879693671379933
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.08,1.0,0.4483182043550297,1.0,1.0,0.9905716143150688,1.0,0.08,0.08,0.16079574260553925,0.0,0.0,0.5516817956449702,0.0,0.0,0.009428385684931095
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.085,1.0,0.4647102891884159,1.0,1.0,0.9899340815061142,1.0,0.085,0.085,0.1648191121153494,0.0,0.0,0.5352897108115842,0.0,0.0,0.010065918493885828
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.09,1.0,0.4803211557681248,1.0,1.0,0.9892903765095576,1.0,0.09000000000000001,0.09000000000000001,0.16884248162515958,0.0,0.0,0.5196788442318752,0.0,0.0,0.010709623490442357
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.095,1.0,0.495205351531057,1.0,1.0,0.9886404092566063,1.0,0.095,0.095,0.17286585113496974,0.0,0.0,0.5047946484689431,0.0,0.0,0.011359590743393544
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.1,1.0,0.5094124611584708,1.0,1.0,0.9879840879174412,1.0,0.1,0.1,0.1768892206447799,0.0,0.0,0.4905875388415292,0.0,0.0,0.012015912082558922
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.105,1.0,0.5229876584170592,1.0,1.0,0.9873213188579644,1.0,0.105,0.105,0.1809125901545901,0.0,0.0,0.4770123415829408,0.0,0.0,0.01267868114203563
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.11,1.0,0.5359721859666414,1.0,1.0,0.9866520065952692,1.0,0.11,0.11,0.1849359596644003,0.0,0.0,0.4640278140333586,0.0,0.0,0.013347993404730696
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.115,1.0,0.5484037738707394,1.0,1.0,0.985976053751782,1.0,0.115,0.115,0.18895932917421046,0.0,0.0,0.4515962261292607,0.0,0.0,0.014023946248218122
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.12,1.0,0.5603170057556401,1.0,1.0,0.9852933610080316,1.0,0.12,0.12,0.19298269868402065,0.0,0.0,0.4396829942443599,0.0,0.0,0.014706638991968448
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.125,1.0,0.5717436401020141,1.0,1.0,0.9846038270540034,1.0,0.125,0.125,0.1970060681938308,0.0,0.0,0.4282563598979861,0.0,0.0,0.0153961729459966
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.13,1.0,0.5827128929548702,1.0,1.0,0.9839073485390176,1.0,0.13,0.13,0.20102943770364096,0.0,0.0,0.4172871070451297,0.0,0.0,0.016092651460982488
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.135,1.0,0.5932516873509674,1.0,1.0,0.9832038200200895,1.0,0.135,0.135,0.20505280721345115,0.0,0.0,0.40674831264903255,0.0,0.0,0.016796179979910453
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.14,1.0,0.6033848739469994,1.0,1.0,0.9824931339087132,1.0,0.14,0.14,0.2090761767232613,0.0,0.0,0.39661512605300064,0.0,0.0,0.01750686609128671
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.145,1.0,0.6131354266547066,1.0,1.0,0.9817751804160109,1.0,0.14500000000000002,0.14500000000000002,0.21309954623307148,0.0,0.0,0.3868645733452935,0.0,0.0,0.018224819583989027
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.15,1.0,0.622524616524836,1.0,1.0,0.9810498474961928,1.0,0.15,0.15,0.21712291574288164,0.0,0.0,0.377475383475164,0.0,0.0,0.01895015250380716
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.155,1.0,0.6315721666500146,1.0,1.0,0.9803170207882632,1.0,0.155,0.155,0.2211462852526918,0.0,0.0,0.3684278333499854,0.0,0.0,0.019682979211736784
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.16,1.0,0.640296390460637,1.0,1.0,0.9795765835559116,1.0,0.16,0.16,0.22516965476250198,0.0,0.0,0.35970360953936303,0.0,0.0,0.02042341644408829
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.165,1.0,0.6487143154544619,1.0,1.0,0.9788284166255204,1.0,0.165,0.165,0.2291930242723122,0.0,0.0,0.3512856845455381,0.0,0.0,0.021171583374479552
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.17,1.0,0.6568417941189634,1.0,1.0,0.9780723983222216,1.0,0.17,0.17,0.2332163937821224,0.0,0.0,0.3431582058810366,0.0,0.0,0.021927601677778408
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.175,1.0,0.6646936035668325,1.0,1.0,0.9773084044039289,1.0,0.17500000000000002,0.17500000000000002,0.2372397632919325,0.0,0.0,0.3353063964331675,0.0,0.0,0.022691595596071257
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.18,1.0,0.6722835352021859,1.0,1.0,0.9765363079932716,1.0,0.18000000000000002,0.18000000000000002,0.2412631328017427,0.0,0.0,0.3277164647978141,0.0,0.0,0.023463692006728487
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.185,1.0,0.6796244755621494,1.0,1.0,0.9757559795073516,1.0,0.185,0.185,0.2452865023115529,0.0,0.0,0.32037552443785056,0.0,0.0,0.024244020492648292
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.19,1.0,0.686728479330699,1.0,1.0,0.9749672865852418,1.0,0.19,0.19,0.24930987182136305,0.0,0.0,0.31327152066930103,0.0,0.0,0.02503271341475821
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.195,1.0,0.6936068353949855,1.0,1.0,0.974170094013138,1.0,0.195,0.195,0.25333324133117324,0.0,0.0,0.3063931646050145,0.0,0.0,0.025829905986862082
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.2,1.0,0.7002701267055341,1.0,1.0,0.9733642636470812,1.0,0.2,0.2,0.2573566108409834,0.0,0.0,0.2997298732944659,0.0,0.0,0.026635736352918937
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.205,1.0,0.7067282846079473,1.0,1.0,0.9725496543331522,1.0,0.205,0.205,0.2613799803507936,0.0,0.0,0.29327171539205266,0.0,0.0,0.027450345666847783
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.21,1.0,0.7129906382327751,1.0,1.0,0.9717261218250446,1.0,0.21,0.21,0.26540334986060377,0.0,0.0,0.2870093617672249,0.0,0.0,0.028273878174955414
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.215,1.0,0.7190659594601283,1.0,1.0,0.9708935186989134,1.0,0.215,0.215,0.2694267193704139,0.0,0.0,0.2809340405398717,0.0,0.0,0.029106481301086617
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.22,1.0,0.7249625039148095,1.0,1.0,0.9700516942653944,1.0,0.22,0.22,0.2734500888802241,0.0,0.0,0.2750374960851905,0.0,0.0,0.029948305734605492
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.225,1.0,0.7306880483948636,1.0,1.0,0.9692004944786856,1.0,0.225,0.225,0.2774734583900343,0.0,0.0,0.26931195160513643,0.0,0.0,0.030799505521314493
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.23,1.0,0.7362499250903818,1.0,1.0,0.9683397618425704,1.0,0.23,0.23,0.2814968278998445,0.0,0.0,0.2637500749096182,0.0,0.0,0.031660238157429466
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.235,1.0,0.7416550529091687,1.0,1.0,0.9674693353132716,1.0,0.235,0.235,0.2855201974096546,0.0,0.0,0.2583449470908313,0.0,0.0,0.03253066468672838
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.24,1.0,0.7469099661906813,1.0,1.0,0.9665890501989972,1.0,0.24,0.24,0.2895435669194648,0.0,0.0,0.2530900338093187,0.0,0.0,0.03341094980100279
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.245,1.0,0.7520208410588038,1.0,1.0,0.9656987380560588,1.0,0.245,0.245,0.2935669364292749,0.0,0.0,0.2479791589411961,0.0,0.0,0.03430126194394112
Gene by Gene,Gene By Gene SARS-CoV-2 Detection Test,0.25,1.0,0.7569935196369096,1.0,1.0,0.9647982265814191,1.0,0.25,0.25,0.29759030593908514,0.0,0.0,0.2430064803630904,0.0,0.0,0.035201773418580995
