company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.005,0.14957264957264954,0.031110411896790643,0.4982037483548927,1.0,0.9995806635886504,1.0,0.03342857142857144,0.01003605455902407,0.14925067030717792,0.8504273504273505,0.5017962516451073,0.9688895881032094,0.0,0.0,0.00041933641134972444
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.01,0.2611940298507462,0.0606297996311793,0.6661893308105086,1.0,0.9991574483373784,1.0,0.0382857142857143,0.0150107477521948,0.15316724968164278,0.7388059701492538,0.3338106691894914,0.9393702003688208,0.0,0.0,0.0008425516626217044
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.015,0.347682119205298,0.08867717047061385,0.7505463622747028,1.0,0.9987303001775178,1.0,0.04314285714285715,0.019985440945365533,0.1570838290561076,0.6523178807947021,0.2494536377252972,0.911322829529386,0.0,0.0,0.001269699822482151
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.02,0.4166666666666666,0.1153599515526868,0.8012777451032103,1.0,0.9982991640307988,1.0,0.048000000000000015,0.024960134138536268,0.16100040843057245,0.5833333333333334,0.1987222548967897,0.8846400484473133,0.0,0.0,0.00170083596920112
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.025,0.4729729729729729,0.14077536495565862,0.8351476266415598,1.0,0.9978639837856724,1.0,0.05285714285714287,0.029934827331707006,0.16491698780503733,0.5270270270270271,0.16485237335844016,0.8592246350443413,0.0,0.0,0.002136016214327685
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.03,0.5198019801980197,0.16501161137672646,0.8593644240579288,1.0,0.9974247022729659,1.0,0.057714285714285725,0.03490952052487774,0.16883356717950215,0.4801980198019803,0.1406355759420712,0.8349883886232736,0.0,0.0,0.0025752977270340205
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.035,0.5593607305936071,0.1881488927926612,0.8775401778614416,1.0,0.9969812612408472,1.0,0.06257142857142857,0.03988421371804846,0.17275014655396698,0.4406392694063929,0.12245982213855845,0.8118511072073388,0.0,0.0,0.003018738759152928
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.04,0.5932203389830508,0.21026029909036287,0.8916846787899776,1.0,0.9965336013290716,1.0,0.06742857142857142,0.0448589069112192,0.17666672592843186,0.4067796610169492,0.1083153212100224,0.7897397009096371,0.0,0.0,0.00346639867092835
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.045,0.6225296442687747,0.23141257931934275,0.9030051994183712,1.0,0.9960816620424956,1.0,0.07228571428571429,0.04983360010438993,0.18058330530289665,0.3774703557312253,0.0969948005816288,0.7685874206806573,0.0,0.0,0.003918337957504292
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.05,0.648148148148148,0.2516668147109223,0.9122706983146532,1.0,0.9956253817238218,1.0,0.07714285714285715,0.054808293297560665,0.1844998846773615,0.351851851851852,0.08772930168534676,0.7483331852890778,0.0,0.0,0.004374618276178244
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.055,0.6707317073170731,0.2710790077578541,0.9199941861139216,1.0,0.9951646975255568,1.0,0.08199999999999999,0.0597829864907314,0.18841646405182635,0.3292682926829269,0.08000581388607853,0.7289209922421459,0.0,0.0,0.004835302474443193
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.06,0.6907894736842105,0.2897005993195047,0.9265310352822164,1.0,0.9946995453811556,1.0,0.08685714285714285,0.06475767968390213,0.1923330434262912,0.3092105263157895,0.07346896471778352,0.7102994006804952,0.0,0.0,0.005300454618844429
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.065,0.7087227414330218,0.3075789238074232,0.9321352094899268,1.0,0.994229859975318,1.0,0.09171428571428572,0.06973237287707287,0.19624962280075606,0.29127725856697817,0.06786479051007333,0.6924210761925769,0.0,0.0,0.005770140024682124
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.07,0.7248520710059171,0.3247576109322061,0.9369930273286632,1.0,0.993755574713415,1.0,0.0965714285714286,0.0747070660702436,0.20016620217522088,0.2751479289940829,0.06300697267133692,0.6752423890677939,0.0,0.0,0.006244425286584976
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.075,0.7394366197183098,0.3412769411905017,0.9412442784058364,1.0,0.9932766216900132,1.0,0.10142857142857144,0.07968175926341435,0.20408278154968573,0.26056338028169024,0.05875572159416365,0.6587230588094983,0.0,0.0,0.006723378309986815
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.08,0.7526881720430108,0.3571741611895912,0.9449958943298142,1.0,0.9927929316564621,1.0,0.10628571428571428,0.08465645245658507,0.20799936092415056,0.24731182795698925,0.055004105670185766,0.6428258388104089,0.0,0.0,0.007207068343538014
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.085,0.7647814910025706,0.372483764005452,0.9483310671063768,1.0,0.9923044339875176,1.0,0.11114285714285717,0.0896311456497558,0.21191594029861546,0.2352185089974293,0.051668932893623176,0.6275162359945481,0.0,0.0,0.007695566012482335
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.09,0.7758620689655172,0.38723773901591374,0.9513154906794541,1.0,0.991811056646966,1.0,0.11600000000000002,0.09460583884292656,0.21583251967308026,0.2241379310344828,0.04868450932054602,0.6127622609840863,0.0,0.0,0.008188943353034106
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.095,0.7860520094562647,0.4014657950172164,0.9540017316393042,1.0,0.9913127261522082,1.0,0.12085714285714287,0.09958053203609726,0.21974909904754508,0.21394799054373528,0.04599826836069576,0.5985342049827835,0.0,0.0,0.008687273847791777
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.1,0.7954545454545454,0.4151955598987856,0.9564323521920656,1.0,0.9908093675377778,1.0,0.12571428571428572,0.104555225229268,0.22366567842200996,0.20454545454545456,0.04356764780793443,0.5848044401012145,0.0,0.0,0.00919063246222218
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.105,0.8041575492341356,0.4284527597001761,0.9586421820842814,1.0,0.9903009043177448,1.0,0.1305714285714286,0.10952991842243874,0.2275822577964748,0.1958424507658644,0.041357817915718575,0.5715472402998238,0.0,0.0,0.00969909568225513
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.11,0.8122362869198313,0.4412613794919233,0.9606599983000564,1.0,0.9897872584469716,1.0,0.13542857142857145,0.11450461161560947,0.2314988371709396,0.1877637130801687,0.03934000169994367,0.5587386205080767,0.0,0.0,0.010212741553028426
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.115,0.8197556008146639,0.4536438081970554,0.9625097851385304,1.0,0.9892683502811772,1.0,0.1402857142857143,0.1194793048087802,0.23541541654540446,0.18024439918533608,0.03749021486146964,0.5463561918029447,0.0,0.0,0.010731649718822678
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.12,0.8267716535433071,0.4656209691929044,0.9642116920833582,1.0,0.9887440985357704,1.0,0.14514285714285716,0.12445399800195095,0.2393319959198693,0.17322834645669294,0.03578830791664178,0.5343790308070957,0.0,0.0,0.011255901464229723
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.125,0.8333333333333333,0.4772124382958883,0.9657827707734048,1.0,0.9882144202433992,1.0,0.15000000000000002,0.12942869119512168,0.2432485752943341,0.16666666666666674,0.0342172292265952,0.5227875617041118,0.0,0.0,0.011785579756600773
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.13,0.8394833948339484,0.48843655052877205,0.9672375483077792,1.0,0.9876792307101822,1.0,0.15485714285714286,0.1344033843882924,0.24716515466879896,0.1605166051660516,0.032762451692220806,0.511563449471228,0.0,0.0,0.012320769289817846
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.135,0.8452593917710197,0.4993104968952655,0.9685884777761822,1.0,0.9871384434705596,1.0,0.15971428571428573,0.13937807758146314,0.25108173404326384,0.15474060822898028,0.031411522223817816,0.5006895031047345,0.0,0.0,0.012861556529440321
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.14,0.8506944444444444,0.5098504122363204,0.9698462956320424,1.0,0.9865919702407256,1.0,0.1645714285714286,0.14435277077463388,0.25499831341772866,0.14930555555555558,0.030153704367957605,0.4901495877636796,0.0,0.0,0.013408029759274355
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.145,0.8558178752107926,0.5200714551124646,0.9710203076325088,1.0,0.9860397208705812,1.0,0.16942857142857146,0.1493274639678046,0.2589148927921935,0.14418212478920744,0.028979692367491094,0.4799285448875354,0.0,0.0,0.013960279129418772
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.15,0.860655737704918,0.5299878805439453,0.9721186194663038,1.0,0.9854816032941556,1.0,0.1742857142857143,0.15430215716097534,0.2628314721666583,0.139344262295082,0.027881380533696157,0.4700121194560547,0.0,0.0,0.014518396705844427
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.155,0.865231259968102,0.5396131063427468,0.9731483241623836,1.0,0.9849175234784396,1.0,0.17914285714285716,0.15927685035414607,0.26674805154112313,0.13476874003189798,0.026851675837616384,0.4603868936572532,0.0,0.0,0.015082476521560471
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.16,0.8695652173913044,0.5489597736855679,0.9741156554422756,1.0,0.9843473853705704,1.0,0.184,0.1642515435473168,0.270664630915588,0.13043478260869554,0.02588434455772426,0.451040226314432,0.0,0.0,0.015652614629429462
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.165,0.8736762481089259,0.5580398025027874,0.9750261140241004,1.0,0.9837710908433048,1.0,0.18885714285714286,0.16922623674048753,0.27458121029005284,0.12632375189107414,0.02497388597589956,0.4419601974972126,0.0,0.0,0.01622890915669528
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.17,0.8775811209439528,0.5668644421937381,0.9758845722852448,1.0,0.9831885396387152,1.0,0.19371428571428573,0.17420092993365827,0.2784977896645177,0.1224188790560472,0.024115427714755056,0.4331355578062619,0.0,0.0,0.01681146036128467
"Genetron Health (Beijing) Co., Ltd.",Genetron SARS-CoV-2 RNA Test,0.175,0.8812949640287769,0.5754443181220072,0.9766953614896972,1.0,0.9825996293100466,1.0,0.1985714285714286,0.17917562312682905,0.2824143690389825,0.11870503597122305,0.023304638510302844,0.4245556818779928,0.0,0.0,0.017400370689953367
