company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.005,1.0,0.04768,1.0,0.99975,0.9991,0.9999299999999999,0.00475,0.0049299999999999995,0.08756,0.0,0.0,0.95232,0.00025,7e-05,0.0009
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.01,1.0,0.09144,1.0,0.9995,0.99818,0.9998600000000001,0.0095,0.009859999999999999,0.09131,0.0,0.0,0.90856,0.0005,0.00014,0.00182
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.015,1.0,0.13174,1.0,0.99924,0.99726,0.99979,0.01425,0.014790000000000001,0.09507,0.0,0.0,0.86826,0.0007599999999999999,0.00021,0.00274
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.02,1.0,0.16898,1.0,0.99898,0.99634,0.99972,0.019,0.019719999999999998,0.09882,0.0,0.0,0.8310200000000001,0.0010199999999999999,0.00028,0.00366
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.025,1.0,0.20349,1.0,0.99872,0.9954,0.99965,0.02375,0.02465,0.10257999999999999,0.0,0.0,0.79651,0.00128,0.00035,0.0046
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.03,1.0,0.23556,1.0,0.99846,0.99446,0.9995700000000001,0.0285,0.029589999999999998,0.10634,0.0,0.0,0.76444,0.0015400000000000001,0.00043,0.00554
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.035,1.0,0.26545,1.0,0.9981899999999999,0.99351,0.9995,0.03325,0.03452,0.11009000000000001,0.0,0.0,0.73455,0.0018100000000000002,0.0005,0.006490000000000001
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.04,1.0,0.29336,1.0,0.99792,0.99255,0.9994200000000001,0.038,0.03945,0.11385,0.0,0.0,0.7066399999999999,0.0020800000000000003,0.00058,0.00745
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.045,1.0,0.31949,1.0,0.99765,0.9915799999999999,0.99935,0.04275,0.04438,0.1176,0.0,0.0,0.6805100000000001,0.00235,0.00065,0.00842
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.05,1.0,0.344,1.0,0.9973799999999999,0.99061,0.9992700000000001,0.0475,0.04931,0.12136,0.0,0.0,0.6559999999999999,0.00262,0.00073,0.00939
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.055,1.0,0.36704000000000003,1.0,0.9971,0.98962,0.9992,0.05225,0.05424,0.12512,0.0,0.0,0.6329600000000001,0.0029,0.0008,0.01038
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.06,1.0,0.38874000000000003,1.0,0.99682,0.9886299999999999,0.9991200000000001,0.057,0.05917000000000001,0.12887,0.0,0.0,0.61126,0.00318,0.00088,0.01137
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.065,1.0,0.40921,1.0,0.99654,0.9876299999999999,0.9990399999999999,0.06175,0.0641,0.13263,0.0,0.0,0.5907899999999999,0.00346,0.0009599999999999999,0.01237
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.07,1.0,0.42855,1.0,0.99625,0.98662,0.9989600000000001,0.0665,0.06903,0.13638,0.0,0.0,0.57145,0.00375,0.0010400000000000001,0.013380000000000001
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.075,1.0,0.44686000000000003,1.0,0.9959600000000001,0.9856,0.9988799999999999,0.07125,0.07396,0.14014000000000001,0.0,0.0,0.55314,0.00404,0.00112,0.0144
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.08,1.0,0.46421,1.0,0.99567,0.9845799999999999,0.9988,0.076,0.07889,0.14389000000000002,0.0,0.0,0.53579,0.00433,0.0012,0.01542
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.085,1.0,0.48067,1.0,0.9953799999999999,0.98354,0.99872,0.08075,0.08383,0.14765,0.0,0.0,0.5193300000000001,0.00462,0.00128,0.01646
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.09,1.0,0.49632,1.0,0.99508,0.9825,0.99864,0.0855,0.08876,0.15141,0.0,0.0,0.50368,0.00492,0.0013599999999999999,0.0175
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.095,1.0,0.51122,1.0,0.9947799999999999,0.98144,0.99855,0.09025,0.09369,0.15516,0.0,0.0,0.48878,0.005220000000000001,0.00145,0.01856
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.1,1.0,0.5254,1.0,0.9944799999999999,0.9803799999999999,0.9984700000000001,0.095,0.09862,0.15892,0.0,0.0,0.4746,0.005520000000000001,0.0015300000000000001,0.01962
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.105,1.0,0.53894,1.0,0.9941700000000001,0.9793,0.9983799999999999,0.09975,0.10355,0.16267,0.0,0.0,0.46106,0.00583,0.00162,0.0207
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.11,1.0,0.55186,1.0,0.9938600000000001,0.9782200000000001,0.99829,0.1045,0.10848,0.16643,0.0,0.0,0.44814,0.00614,0.0017100000000000001,0.02178
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.115,1.0,0.56421,1.0,0.99354,0.9771299999999999,0.99821,0.10925,0.11341,0.17018,0.0,0.0,0.43578999999999996,0.00646,0.00179,0.022869999999999998
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.12,1.0,0.57603,1.0,0.99323,0.9760200000000001,0.9981200000000001,0.114,0.11834000000000001,0.17394,0.0,0.0,0.42396999999999996,0.00677,0.0018800000000000002,0.02398
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.125,1.0,0.58735,1.0,0.9929100000000001,0.97491,0.99803,0.11875,0.12327,0.1777,0.0,0.0,0.41265,0.007090000000000001,0.00197,0.02509
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.13,1.0,0.5982,1.0,0.9925799999999999,0.9737899999999999,0.9979399999999999,0.1235,0.1282,0.18145,0.0,0.0,0.4018,0.00742,0.00206,0.02621
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.135,1.0,0.60861,1.0,0.99226,0.97265,0.99785,0.12825,0.13313,0.18520999999999999,0.0,0.0,0.39139,0.00774,0.00215,0.02735
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.14,1.0,0.61861,1.0,0.99193,0.97151,0.9977600000000001,0.133,0.13807,0.18896,0.0,0.0,0.38139,0.00807,0.00224,0.028489999999999998
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.145,1.0,0.62821,1.0,0.99159,0.97036,0.99766,0.13775,0.14300000000000002,0.19272,0.0,0.0,0.37179,0.008409999999999999,0.00234,0.029639999999999996
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.15,1.0,0.63745,1.0,0.99125,0.96919,0.9975700000000001,0.1425,0.14793,0.19648,0.0,0.0,0.36255,0.00875,0.00243,0.03081
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.155,1.0,0.64635,1.0,0.9909100000000001,0.96801,0.9974700000000001,0.14725,0.15286,0.20023,0.0,0.0,0.35365,0.00909,0.00253,0.03199
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.16,1.0,0.65491,1.0,0.9905700000000001,0.96683,0.9973700000000001,0.152,0.15779,0.20399,0.0,0.0,0.34509,0.00943,0.00263,0.03317
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.165,1.0,0.66317,1.0,0.9902200000000001,0.9656299999999999,0.99728,0.15675,0.16272,0.20774,0.0,0.0,0.33683,0.00978,0.0027199999999999998,0.03437
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.17,1.0,0.67113,1.0,0.9898600000000001,0.96442,0.99718,0.1615,0.16765,0.2115,0.0,0.0,0.32887,0.01014,0.00282,0.03558
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.175,1.0,0.67882,1.0,0.98951,0.9632,0.99708,0.16625,0.17257999999999998,0.21525,0.0,0.0,0.32118,0.010490000000000001,0.00292,0.0368
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.18,1.0,0.68624,1.0,0.9891399999999999,0.96196,0.99698,0.171,0.17751,0.21900999999999998,0.0,0.0,0.31376,0.01086,0.00302,0.03804
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.185,1.0,0.6934100000000001,1.0,0.9887799999999999,0.96072,0.99687,0.17575,0.18244000000000002,0.22276999999999997,0.0,0.0,0.30659000000000003,0.01122,0.00313,0.03928
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.19,1.0,0.70034,1.0,0.98841,0.9594600000000001,0.99677,0.1805,0.18737,0.22651999999999997,0.0,0.0,0.29966,0.011590000000000001,0.00323,0.04054
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.195,1.0,0.70705,1.0,0.98803,0.95819,0.99666,0.18525,0.19230999999999998,0.23028,0.0,0.0,0.29295,0.01197,0.0033399999999999997,0.04181
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.2,1.0,0.71354,1.0,0.98765,0.95691,0.99656,0.19,0.19724,0.23403000000000002,0.0,0.0,0.28646,0.01235,0.00344,0.043089999999999996
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.205,1.0,0.71983,1.0,0.9872700000000001,0.9556100000000001,0.99645,0.19475,0.20217000000000002,0.23779,0.0,0.0,0.28017,0.01273,0.00355,0.04439
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.21,1.0,0.72592,1.0,0.98688,0.9543,0.99634,0.1995,0.2071,0.24154,0.0,0.0,0.27408000000000005,0.01312,0.00366,0.0457
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.215,1.0,0.73182,1.0,0.98649,0.9529799999999999,0.99623,0.20425,0.21203000000000002,0.2453,0.0,0.0,0.26818000000000003,0.01351,0.0037700000000000003,0.04702
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.22,1.0,0.73755,1.0,0.9860899999999999,0.95165,0.9961200000000001,0.209,0.21696,0.24906,0.0,0.0,0.26245,0.013909999999999999,0.0038799999999999998,0.04835
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.225,1.0,0.7431,1.0,0.98569,0.9503,0.996,0.21375,0.22189,0.25281,0.0,0.0,0.2569,0.01431,0.004,0.0497
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.23,1.0,0.7485,1.0,0.9852799999999999,0.94894,0.9958899999999999,0.2185,0.22682,0.25656999999999996,0.0,0.0,0.2515,0.014719999999999999,0.00411,0.05106
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.235,1.0,0.75374,1.0,0.98487,0.94757,0.99577,0.22325,0.23175,0.26032,0.0,0.0,0.24625999999999998,0.015130000000000001,0.004229999999999999,0.05243
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.24,1.0,0.75883,1.0,0.98446,0.9461799999999999,0.99565,0.228,0.23668000000000003,0.26408000000000004,0.0,0.0,0.24117,0.01554,0.00435,0.05382000000000001
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.245,1.0,0.76377,1.0,0.98403,0.9447700000000001,0.99554,0.23275,0.24161,0.26783,0.0,0.0,0.23623000000000002,0.015969999999999998,0.00446,0.055229999999999994
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.25,1.0,0.76858,1.0,0.98361,0.9433600000000001,0.99541,0.2375,0.24654,0.27159,0.0,0.0,0.23142,0.016390000000000002,0.0045899999999999995,0.056639999999999996
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.255,1.0,0.7732600000000001,1.0,0.9831700000000001,0.9419200000000001,0.99529,0.24225,0.25148000000000004,0.27535,0.0,0.0,0.22674,0.01683,0.00471,0.05807999999999999
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.26,1.0,0.77781,1.0,0.98274,0.94048,0.9951700000000001,0.247,0.25640999999999997,0.2791,0.0,0.0,0.22219,0.01726,0.00483,0.05952
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.265,1.0,0.7822399999999999,1.0,0.98229,0.93901,0.9950399999999999,0.25175,0.26134,0.28286,0.0,0.0,0.21775999999999998,0.01771,0.00496,0.060989999999999996
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.27,1.0,0.78656,1.0,0.9818399999999999,0.9375399999999999,0.9949100000000001,0.2565,0.26627,0.28661,0.0,0.0,0.21344000000000002,0.01816,0.00509,0.06246
George Washington University Public Health Laboratory,GWU SARS-CoV-2 RT-PCR Test,0.275,1.0,0.79076,1.0,0.98139,0.93604,0.99479,0.26125,0.2712,0.29036999999999996,0.0,0.0,0.20924,0.018609999999999998,0.00521,0.06396
