company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"Guardant Health, Inc.",Guardant-19,0.005,0.22360682466662726,0.047377768450183294,0.6266407703474357,0.9997712330664809,0.9993191221328179,0.9999226739938798,0.02135945273631846,0.007856624956878512,0.0924927137309288,0.7763931753333727,0.3733592296525643,0.9526222315498168,0.0002287669335190312,7.732600612020413e-05,0.0006808778671819615
"Guardant Health, Inc.",Guardant-19,0.01,0.3666571183042101,0.0908846922338806,0.7713619227377264,0.9995402615911546,0.9986323073494574,0.9998445790564662,0.0260522388059702,0.012765166052883385,0.09643204519406287,0.6333428816957899,0.2286380772622736,0.9091153077661194,0.00045973840884538936,0.00015542094353382382,0.0013676926505425955
"Guardant Health, Inc.",Guardant-19,0.015,0.466038270156559,0.13097653495695552,0.8356958968201982,0.9993070535532113,0.9979394776594668,0.9997657036610471,0.03074502487562194,0.01767370714888826,0.10037137665719692,0.533961729843441,0.16430410317980182,0.8690234650430445,0.0006929464467887447,0.0002342963389529995,0.002060522340533111
"Guardant Health, Inc.",Guardant-19,0.02,0.5390986943703489,0.16804021191833626,0.8720622432131163,0.9990715763086906,0.9972405537003562,0.9996860360493636,0.03543781094527368,0.022582248244893133,0.10431070812033097,0.4609013056296512,0.12793775678688368,0.8319597880816637,0.0009284236913094102,0.0003139639506363201,0.002759446299643753
"Guardant Health, Inc.",Guardant-19,0.025,0.5950720595072052,0.2024063174172913,0.8954420068224238,0.9988337965752492,0.9965354547072908,0.9996055642257684,0.04013059701492543,0.02749078934089801,0.10825003958346503,0.4049279404927948,0.1045579931775762,0.7975936825827088,0.0011662034247507116,0.000394435774231705,0.0034645452927093427
"Guardant Health, Inc.",Guardant-19,0.03,0.6393251567789549,0.2343590128151916,0.9117376406707992,0.9985936804164788,0.9958240984819791,0.9995242759512016,0.044823383084577166,0.03239933043690288,0.11218937104659912,0.3606748432210452,0.08826235932920068,0.7656409871848084,0.0014063195835211095,0.00047572404879836494,0.004175901518021052
"Guardant Health, Inc.",Guardant-19,0.035,0.6751902740448612,0.2641439020533298,0.9237452899655856,0.9983511932257596,0.9951064013607294,0.9994421587369884,0.049516169154228906,0.03730787153290775,0.11612870250973314,0.3248097259551388,0.07625471003441442,0.7358560979466702,0.0016488067742403967,0.0005578412630115048,0.004893598639270635
"Guardant Health, Inc.",Guardant-19,0.04,0.7048458149779729,0.29197435683594475,0.9329606584217339,0.9981062997096328,0.9943822781816484,0.9993591998384408,0.05420895522388065,0.04221641262891262,0.12006803397286722,0.29515418502202706,0.06703934157826598,0.7080256431640553,0.001893700290367284,0.0006408001615592074,0.00561772181835174
"Guardant Health, Inc.",Guardant-19,0.045,0.7297759570918759,0.3180366362239285,0.940256279007322,0.9978589638706762,0.9936516422509528,0.9992753862482642,0.058901741293532386,0.047124953724917484,0.12400736543600127,0.2702240429081241,0.059743720992677884,0.6819633637760716,0.0021410361293238145,0.0007246137517358253,0.006348357749047295
"Guardant Health, Inc.",Guardant-19,0.05,0.7510267944455304,0.342494060470165,0.9461754456918812,0.9976091489898654,0.9929144053083704,0.9991907046897583,0.06359452736318412,0.05203349482092237,0.12794669689913535,0.2489732055544696,0.05382455430811883,0.6575059395298349,0.002390851010134587,0.0008092953102416535,0.007085594691629726
"Guardant Health, Inc.",Guardant-19,0.055,0.7693568657450407,0.3654904368398855,0.951074119432786,0.9973568176084004,0.9921704774915971,0.9991051416098068,0.06828731343283588,0.05694203591692724,0.13188602836226945,0.2306431342549593,0.04892588056721392,0.6345095631601145,0.0026431823915995523,0.0008948583901933205,0.007829522508402853
"Guardant Health, Inc.",Guardant-19,0.06,0.7853296066534865,0.3871528892783495,0.9551952631154628,0.9971019315089812,0.991419767299784,0.9990186831716446,0.0729800995024876,0.06185057701293211,0.13582535982540347,0.2146703933465135,0.04480473688453712,0.6128471107216505,0.0028980684910187016,0.0009813168283554496,0.008580232700216128
