company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
HealthQuest Esoterics,HealthQuest Esoterics TaqPath SARS-CoV-2 Assay,0.005,1.0,0.0427,1.0,1.0,0.99945,1.0,0.005,0.005,0.10552,0.0,0.0,0.9573,0.0,0.0,0.00055
HealthQuest Esoterics,HealthQuest Esoterics TaqPath SARS-CoV-2 Assay,0.01,1.0,0.08227999999999999,1.0,1.0,0.99889,1.0,0.01,0.01,0.10951,0.0,0.0,0.9177200000000001,0.0,0.0,0.0011099999999999999
HealthQuest Esoterics,HealthQuest Esoterics TaqPath SARS-CoV-2 Assay,0.015,1.0,0.11907999999999999,1.0,1.0,0.9983299999999999,1.0,0.015,0.015,0.11350999999999999,0.0,0.0,0.88092,0.0,0.0,0.0016699999999999998
HealthQuest Esoterics,HealthQuest Esoterics TaqPath SARS-CoV-2 Assay,0.02,1.0,0.15337,1.0,1.0,0.9977600000000001,1.0,0.02,0.02,0.11750999999999999,0.0,0.0,0.8466299999999999,0.0,0.0,0.00224
HealthQuest Esoterics,HealthQuest Esoterics TaqPath SARS-CoV-2 Assay,0.025,1.0,0.1854,1.0,1.0,0.9971899999999999,1.0,0.025,0.025,0.12150999999999999,0.0,0.0,0.8146,0.0,0.0,0.00281
HealthQuest Esoterics,HealthQuest Esoterics TaqPath SARS-CoV-2 Assay,0.03,1.0,0.21539,1.0,1.0,0.99661,1.0,0.03,0.03,0.12550999999999998,0.0,0.0,0.78461,0.0,0.0,0.00339
HealthQuest Esoterics,HealthQuest Esoterics TaqPath SARS-CoV-2 Assay,0.035,1.0,0.24353000000000002,1.0,1.0,0.9960200000000001,1.0,0.035,0.035,0.1295,0.0,0.0,0.75647,0.0,0.0,0.00398
HealthQuest Esoterics,HealthQuest Esoterics TaqPath SARS-CoV-2 Assay,0.04,1.0,0.26999,1.0,1.0,0.9954299999999999,1.0,0.04,0.04,0.1335,0.0,0.0,0.73001,0.0,0.0,0.00457
HealthQuest Esoterics,HealthQuest Esoterics TaqPath SARS-CoV-2 Assay,0.045,1.0,0.29491,1.0,1.0,0.99484,1.0,0.045,0.045,0.1375,0.0,0.0,0.70509,0.0,0.0,0.0051600000000000005
HealthQuest Esoterics,HealthQuest Esoterics TaqPath SARS-CoV-2 Assay,0.05,1.0,0.31842,1.0,1.0,0.99424,1.0,0.05,0.05,0.1415,0.0,0.0,0.68158,0.0,0.0,0.00576
HealthQuest Esoterics,HealthQuest Esoterics TaqPath SARS-CoV-2 Assay,0.055,1.0,0.34063000000000004,1.0,1.0,0.9936299999999999,1.0,0.055,0.055,0.14549,0.0,0.0,0.65937,0.0,0.0,0.006370000000000001
HealthQuest Esoterics,HealthQuest Esoterics TaqPath SARS-CoV-2 Assay,0.06,1.0,0.36166,1.0,1.0,0.9930200000000001,1.0,0.06,0.06,0.14949,0.0,0.0,0.63834,0.0,0.0,0.00698
