company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Helix OpCo LLC (dba Helix),Helix COVID-19 Test,0.005,1.0,0.07073121682060708,1.0,0.9999162549200236,0.9995267408633918,0.9999851857277028,0.0049166666666666655,0.004985259580695632,0.06443029391420432,0.0,0.0,0.9292687831793928,8.374507997654934e-05,1.4814272297325461e-05,0.00047325913660822844
Helix OpCo LLC (dba Helix),Helix COVID-19 Test,0.01,1.0,0.1326963129216672,1.0,0.9998316781686584,0.9990491558725458,0.9999702222618828,0.009833333333333331,0.009970519161391264,0.06868665735047567,0.0,0.0,0.8673036870783328,0.00016832183134152243,2.9777738117298114e-05,0.0009508441274541647
Helix OpCo LLC (dba Helix),Helix COVID-19 Test,0.015,1.0,0.1874298475511872,1.0,0.9997462572951028,0.9985671854440444,0.9999551073373572,0.01475,0.014955778742086897,0.07294302078674704,0.0,0.0,0.8125701524488128,0.0002537427048971974,4.489266264273706e-05,0.0014328145559555636
Helix OpCo LLC (dba Helix),Helix COVID-19 Test,0.02,1.0,0.23612795021762384,1.0,0.999659979598776,0.9980807688951696,0.999939838642854,0.019666666666666662,0.019941038322782528,0.0771993842230184,0.0,0.0,0.7638720497823761,0.0003400204012240504,6.0161357145926964e-05,0.0019192311048303878
Helix OpCo LLC (dba Helix),Helix COVID-19 Test,0.025,1.0,0.2797367417043952,1.0,0.9995728321230244,0.9975898444184332,0.9999244138198341,0.02458333333333333,0.02492629790347816,0.08145574765928976,0.0,0.0,0.7202632582956048,0.0004271678769756093,7.55861801660096e-05,0.002410155581566653
Helix OpCo LLC (dba Helix),Helix COVID-19 Test,0.03,1.0,0.31901440977787593,1.0,0.9994848016486346,0.9970943490553976,0.9999088304612754,0.0295,0.029911557484173793,0.08571211109556112,0.0,0.0,0.680985590222124,0.0005151983513653757,9.1169538724567e-05,0.002905650944602489
Helix OpCo LLC (dba Helix),Helix COVID-19 Test,0.035,1.0,0.35457566427160164,1.0,0.9993958746871492,0.996594218669756,0.9998930861104232,0.034416666666666665,0.03489681706486942,0.08996847453183249,0.0,0.0,0.6454243357283984,0.0006041253128507008,0.00010691388957684288,0.00340578133024394
Helix OpCo LLC (dba Helix),Helix COVID-19 Test,0.04,1.0,0.3869241433095337,1.0,0.9993060374739764,0.9960893879196624,0.9998771782594964,0.03933333333333333,0.039882076645565055,0.09422483796810384,0.0,0.0,0.6130758566904663,0.000693962526023606,0.00012282174050348704,0.003910612080337717
Helix OpCo LLC (dba Helix),Helix COVID-19 Test,0.045,1.0,0.4164764159358343,1.0,0.9992152759612868,0.9955797902292682,0.999861104348358,0.04425,0.044867336226260685,0.0984812014043752,0.0,0.0,0.5835235840641657,0.0007847240387131027,0.00013889565164193485,0.0044202097707317645
Helix OpCo LLC (dba Helix),Helix COVID-19 Test,0.05,1.0,0.4435800182464541,1.0,0.9991235758106924,0.995065357759457,0.99984486176314,0.049166666666666664,0.04985259580695632,0.10273756484064656,0.0,0.0,0.5564199817535459,0.0008764241893076674,0.00015513823686008618,0.004934642240542964
