company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Hologic,Panther Fusion SARS-CoV-2 assay,0.005,1.0,0.07069912141195113,1.0,0.9999014778325124,0.9994498619112038,0.9999825651117524,0.004901960784313725,0.004982651983732789,0.06343444623715534,0.0,0.0,0.9293008785880488,9.852216748773568e-05,1.743488824768047e-05,0.0005501380887962258
Hologic,Panther Fusion SARS-CoV-2 assay,0.01,1.0,0.1326401132702942,1.0,0.9998019801980198,0.9988947810367108,0.9999649547307043,0.00980392156862745,0.009965303967465578,0.06762297627236613,0.0,0.0,0.8673598867297058,0.0001980198019801982,3.504526929565266e-05,0.0011052189632891896
Hologic,Panther Fusion SARS-CoV-2 assay,0.015,1.0,0.18735547463710575,1.0,0.9997014925373134,0.9983346904622904,0.9999471661937904,0.014705882352941175,0.014947955951198362,0.07181150630757695,0.0,0.0,0.8126445253628942,0.0002985074626865592,5.283380620957345e-05,0.0016653095377097136
Hologic,Panther Fusion SARS-CoV-2 assay,0.02,1.0,0.23603986692809656,1.0,0.9996,0.9977695220604116,0.9999291967837884,0.0196078431372549,0.01993060793493116,0.07600003634278776,0.0,0.0,0.7639601330719035,0.000399999999999956,7.080321621166785e-05,0.002230477939588416
Hologic,Panther Fusion SARS-CoV-2 assay,0.025,1.0,0.2796383461377744,1.0,0.999497487437186,0.9971992064626194,0.9999110437279368,0.024509803921568627,0.024913259918663944,0.08018856637799858,0.0,0.0,0.7203616538622256,0.0005025125628140836,8.895627206328971e-05,0.0028007935373806077
Hologic,Panther Fusion SARS-CoV-2 assay,0.03,1.0,0.31890831565887606,1.0,0.9993939393939394,0.99662367303115,0.9998927041965079,0.029411764705882356,0.02989591190239673,0.08437709641320937,0.0,0.0,0.681091684341124,0.00060606060606061,0.0001072958034920024,0.0033763269688499298
Hologic,Panther Fusion SARS-CoV-2 assay,0.035,1.0,0.3544638995110241,1.0,0.9992893401015228,0.9960428498297664,0.9998741753013388,0.034313725490196074,0.03487856388612952,0.08856562644842017,0.0,0.0,0.6455361004889759,0.0007106598984771839,0.00012582469866118107,0.00395715017023346
Hologic,Panther Fusion SARS-CoV-2 assay,0.04,1.0,0.3868082929102581,1.0,0.999183673469388,0.9954566635937844,0.9998554540943126,0.0392156862745098,0.03986121586986231,0.092754156483631,0.0,0.0,0.6131917070897419,0.0008163265306121438,0.00014454590568735437,0.004543336406215626
Hologic,Panther Fusion SARS-CoV-2 assay,0.045,1.0,0.4163577263576232,1.0,0.9990769230769232,0.994865039699264,0.9998365375657968,0.044117647058823525,0.0448438678535951,0.0969426865188418,0.0,0.0,0.5836422736423768,0.0009230769230769155,0.00016346243420328754,0.005134960300736124
Hologic,Panther Fusion SARS-CoV-2 assay,0.05,1.0,0.4434594746344733,1.0,0.9989690721649483,0.994267902131341,0.9998174226430288,0.04901960784313725,0.04982651983732788,0.1011312165540526,0.0,0.0,0.5565405253655267,0.0010309278350515427,0.0001825773569711364,0.005732097868659025
Hologic,Panther Fusion SARS-CoV-2 assay,0.055,1.0,0.4684055685285414,1.0,0.9988601036269429,0.9936651734516686,0.999798106188454,0.053921568627450976,0.05480917182106068,0.10531974658926342,0.0,0.0,0.5315944314714586,0.0011398963730570033,0.00020189381154600558,0.006334826548331396
Hologic,Panther Fusion SARS-CoV-2 assay,0.06,1.0,0.4914433598402431,1.0,0.99875,0.9930567747649393,0.9997785849980064,0.0588235294117647,0.05979182380479346,0.10950827662447424,0.0,0.0,0.5085566401597569,0.0012500000000000846,0.00022141500199346356,0.006943225235060746
Hologic,Panther Fusion SARS-CoV-2 assay,0.065,1.0,0.5127837511336171,1.0,0.9986387434554974,0.9924426256844578,0.9997588557993391,0.06372549019607843,0.06477447578852626,0.11369680665968505,0.0,0.0,0.4872162488663829,0.0013612565445025868,0.00024114420066101425,0.007557374315542154
Hologic,Panther Fusion SARS-CoV-2 assay,0.07,1.0,0.5326076710421438,1.0,0.9985263157894736,0.991822644296734,0.9997389152499934,0.06862745098039216,0.06975712777225905,0.11788533669489586,0.0,0.0,0.4673923289578562,0.0014736842105262935,0.0002610847500066349,0.008177355703265944
Hologic,Panther Fusion SARS-CoV-2 assay,0.075,1.0,0.5510712165121994,1.0,0.9984126984126984,0.9911967471250612,0.9997187599355136,0.07352941176470587,0.07473977975599183,0.12207386673010667,0.0,0.0,0.44892878348780063,0.0015873015873015814,0.00028124006448648764,0.008803252874938659
Hologic,Panther Fusion SARS-CoV-2 assay,0.08,1.0,0.5683097715379257,1.0,0.9982978723404256,0.990564849092048,0.9996983863674956,0.0784313725490196,0.07972243173972463,0.12626239676531748,0.0,0.0,0.4316902284620743,0.0017021276595744483,0.00030161363250447165,0.009435150907951995
Hologic,Panther Fusion SARS-CoV-2 assay,0.085,1.0,0.5844413324278528,1.0,0.9981818181818182,0.9899268634810658,0.9996777909815754,0.08333333333333334,0.08470508372345742,0.13045092680052828,0.0,0.0,0.4155586675721472,0.0018181818181818297,0.0003222090184246129,0.010073136518934156
Hologic,Panther Fusion SARS-CoV-2 assay,0.09,1.0,0.5995692123925853,1.0,0.9980645161290324,0.9892827018965782,0.9996569701353496,0.08823529411764706,0.08968773570719021,0.1346394568357391,0.0,0.0,0.4004307876074147,0.001935483870967647,0.00034302986465029045,0.010717298103421813
Hologic,Panther Fusion SARS-CoV-2 assay,0.095,1.0,0.6137842565375454,1.0,0.997945945945946,0.9886322742233116,0.9996359201062291,0.0931372549019608,0.09467038769092298,0.1388279868709499,0.0,0.0,0.3862157434624546,0.002054054054054011,0.00036407989377074124,0.011367725776688542
Hologic,Panther Fusion SARS-CoV-2 assay,0.1,1.0,0.6271666676322674,1.0,0.9978260869565218,0.9879754885842286,0.9996146370892186,0.09803921568627452,0.09965303967465576,0.1430165169061607,0.0,0.0,0.37283333236773264,0.0021739130434782483,0.00038536291078139495,0.012024511415771431
Hologic,Panther Fusion SARS-CoV-2 assay,0.105,1.0,0.6397875201802078,1.0,0.9977049180327868,0.9873122512972646,0.9995931171946242,0.10294117647058824,0.10463569165838857,0.14720504694137151,0.0,0.0,0.3602124798197922,0.002295081967213175,0.0004068828053758189,0.012687748702735369
