company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Integrity Laboratories,SARS-CoV-2 Assay,0.005,1.0,0.06499216306836586,1.0,1.0,0.9987874869831258,1.0,0.005,0.005,0.05938394111708064,0.0,0.0,0.935007836931634,0.0,0.0,0.0012125130168741947
Integrity Laboratories,SARS-CoV-2 Assay,0.01,1.0,0.122592763276922,1.0,1.0,0.9975657077852702,1.0,0.01,0.01,0.06296441456345063,0.0,0.0,0.8774072367230781,0.0,0.0,0.002434292214729794
Integrity Laboratories,SARS-CoV-2 Assay,0.015,1.0,0.17399491832433303,1.0,1.0,0.9963345557789764,1.0,0.015,0.015,0.06654488800982061,0.0,0.0,0.826005081675667,0.0,0.0,0.0036654442210236615
Integrity Laboratories,SARS-CoV-2 Assay,0.02,1.0,0.22014807222831528,1.0,1.0,0.995093922694515,1.0,0.02,0.02,0.07012536145619061,0.0,0.0,0.7798519277716848,0.0,0.0,0.004906077305484979
Integrity Laboratories,SARS-CoV-2 Assay,0.025,1.0,0.2618171810838181,1.0,1.0,0.9938436985881453,1.0,0.025,0.025,0.0737058349025606,0.0,0.0,0.7381828189161819,0.0,0.0,0.0061563014118548596
Integrity Laboratories,SARS-CoV-2 Assay,0.03,1.0,0.299625447288707,1.0,1.0,0.9925837718096346,1.0,0.03,0.03,0.07728630834893058,0.0,0.0,0.7003745527112929,0.0,0.0,0.007416228190365359
Integrity Laboratories,SARS-CoV-2 Assay,0.035,1.0,0.3340857011158419,1.0,1.0,0.9913140289690224,1.0,0.035,0.035,0.08086678179530056,0.0,0.0,0.6659142988841581,0.0,0.0,0.008685971030977568
Integrity Laboratories,SARS-CoV-2 Assay,0.04,1.0,0.3656237990142821,1.0,1.0,0.9900343549026004,1.0,0.04,0.04,0.08444725524167054,0.0,0.0,0.6343762009857179,0.0,0.0,0.009965645097399722
Integrity Laboratories,SARS-CoV-2 Assay,0.045,1.0,0.3945963116418683,1.0,1.0,0.9887446326380938,1.0,0.045,0.045,0.08802772868804054,0.0,0.0,0.6054036883581317,0.0,0.0,0.011255367361906243
Integrity Laboratories,SARS-CoV-2 Assay,0.05,1.0,0.4213040639156711,1.0,1.0,0.9874447433590192,1.0,0.05,0.05,0.09160820213441052,0.0,0.0,0.5786959360843289,0.0,0.0,0.012555256640980894
