company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.005,1.0,0.07277,1.0,1.0,0.9996799999999999,1.0,0.005,0.005,0.06457,0.0,0.0,0.9272299999999999,0.0,0.0,0.00032
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.01,1.0,0.13627,1.0,1.0,0.99935,1.0,0.01,0.01,0.06897,0.0,0.0,0.8637299999999999,0.0,0.0,0.00065
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.015,1.0,0.19214,1.0,1.0,0.99903,1.0,0.015,0.015,0.07337,0.0,0.0,0.80786,0.0,0.0,0.0009699999999999999
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.02,1.0,0.2417,1.0,1.0,0.9987,1.0,0.02,0.02,0.07777,0.0,0.0,0.7583,0.0,0.0,0.0013
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.025,1.0,0.28596,1.0,1.0,0.99836,1.0,0.025,0.025,0.08217,0.0,0.0,0.71404,0.0,0.0,0.00164
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.03,1.0,0.32571,1.0,1.0,0.99802,1.0,0.03,0.03,0.08656,0.0,0.0,0.67429,0.0,0.0,0.00198
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.035,1.0,0.36162,1.0,1.0,0.9976799999999999,1.0,0.035,0.035,0.09096,0.0,0.0,0.6383800000000001,0.0,0.0,0.00232
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.04,1.0,0.39421999999999996,1.0,1.0,0.99734,1.0,0.04,0.04,0.09536,0.0,0.0,0.60578,0.0,0.0,0.00266
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.045,1.0,0.42395,1.0,1.0,0.9969899999999999,1.0,0.045,0.045,0.09976,0.0,0.0,0.57605,0.0,0.0,0.00301
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.05,1.0,0.45116000000000006,1.0,1.0,0.99664,1.0,0.05,0.05,0.10415999999999999,0.0,0.0,0.54884,0.0,0.0,0.00336
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.055,1.0,0.47617,1.0,1.0,0.99629,1.0,0.055,0.055,0.10855,0.0,0.0,0.52383,0.0,0.0,0.00371
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.06,1.0,0.49923,1.0,1.0,0.99593,1.0,0.06,0.06,0.11295,0.0,0.0,0.5007699999999999,0.0,0.0,0.004070000000000001
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.065,1.0,0.52056,1.0,1.0,0.9955700000000001,1.0,0.065,0.065,0.11735,0.0,0.0,0.47944,0.0,0.0,0.00443
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.07,1.0,0.54035,1.0,1.0,0.9952,1.0,0.07,0.07,0.12175,0.0,0.0,0.45965,0.0,0.0,0.0048
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.075,1.0,0.55876,1.0,1.0,0.99484,1.0,0.075,0.075,0.12615,0.0,0.0,0.44123999999999997,0.0,0.0,0.0051600000000000005
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.08,1.0,0.57594,1.0,1.0,0.99446,1.0,0.08,0.08,0.13055,0.0,0.0,0.42406000000000005,0.0,0.0,0.00554
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.085,1.0,0.59199,1.0,1.0,0.9940899999999999,1.0,0.085,0.085,0.13494,0.0,0.0,0.40801,0.0,0.0,0.00591
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.09,1.0,0.60702,1.0,1.0,0.99371,1.0,0.09,0.09,0.13934000000000002,0.0,0.0,0.39298,0.0,0.0,0.00629
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.095,1.0,0.6211399999999999,1.0,1.0,0.9933200000000001,1.0,0.095,0.095,0.14374,0.0,0.0,0.37886,0.0,0.0,0.006679999999999999
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.1,1.0,0.63442,1.0,1.0,0.9929399999999999,1.0,0.1,0.1,0.14814000000000002,0.0,0.0,0.36558,0.0,0.0,0.0070599999999999994
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.105,1.0,0.64693,1.0,1.0,0.99254,1.0,0.105,0.105,0.15254,0.0,0.0,0.35307,0.0,0.0,0.00746
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.11,1.0,0.65875,1.0,1.0,0.99215,1.0,0.11,0.11,0.15694,0.0,0.0,0.34125,0.0,0.0,0.00785
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.115,1.0,0.66991,1.0,1.0,0.99175,1.0,0.115,0.115,0.16133,0.0,0.0,0.33009,0.0,0.0,0.00825
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.12,1.0,0.6804899999999999,1.0,1.0,0.99134,1.0,0.12,0.12,0.16573,0.0,0.0,0.31951,0.0,0.0,0.00866
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.125,1.0,0.69052,1.0,1.0,0.9909399999999999,1.0,0.125,0.125,0.17013,0.0,0.0,0.30948000000000003,0.0,0.0,0.009059999999999999
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.13,1.0,0.70004,1.0,1.0,0.9905200000000001,1.0,0.13,0.13,0.17453,0.0,0.0,0.29996,0.0,0.0,0.00948
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.135,1.0,0.7091,1.0,1.0,0.99011,1.0,0.135,0.135,0.17893,0.0,0.0,0.2909,0.0,0.0,0.009890000000000001
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.14,1.0,0.71772,1.0,1.0,0.9896799999999999,1.0,0.14,0.14,0.18333,0.0,0.0,0.28228000000000003,0.0,0.0,0.010320000000000001
Kaiser Permanente Mid-Atlantic States,KPMAS COVID-19 Test,0.145,1.0,0.72593,1.0,1.0,0.98926,1.0,0.145,0.145,0.18772,0.0,0.0,0.27407,0.0,0.0,0.010740000000000001
