company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.005,0.31388,0.10311,0.63385,0.99971,0.9992,0.9999,0.015030000000000002,0.00773,0.04104,0.68612,0.36615,0.89689,0.00029,0.0001,0.0008
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.01,0.47905,0.18772,0.77677,0.9994200000000001,0.99839,0.9998,0.01969,0.012620000000000001,0.04508,0.52095,0.22323,0.81228,0.00058,0.0002,0.00161
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.015,0.58095,0.25838,0.8399,0.99913,0.9975799999999999,0.9997,0.02436,0.017509999999999998,0.04913,0.41905,0.1601,0.74162,0.0008699999999999999,0.0003,0.00242
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.02,0.65009,0.31829,0.8754700000000001,0.9988299999999999,0.99675,0.9996,0.029019999999999997,0.0224,0.05318,0.34991,0.12453,0.68171,0.00117,0.0004,0.00325
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.025,0.70009,0.36973,0.8983,0.99854,0.99592,0.9995,0.03369,0.02729,0.05722000000000001,0.29991,0.1017,0.63027,0.00146,0.0005,0.004079999999999999
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.03,0.73792,0.41438,0.9142,0.99823,0.9950899999999999,0.9994,0.03835,0.03218,0.061270000000000005,0.26208000000000004,0.0858,0.58562,0.0017699999999999999,0.0006,0.00491
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.035,0.76754,0.45348999999999995,0.9259,0.9979299999999999,0.99424,0.99929,0.043019999999999996,0.03707,0.06532,0.23246,0.0741,0.54651,0.00207,0.0007099999999999999,0.00576
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.04,0.79137,0.48804,0.9348700000000001,0.9976200000000001,0.99339,0.9991899999999999,0.04768,0.041960000000000004,0.06936,0.20863,0.06513,0.5119600000000001,0.00238,0.00081,0.0066099999999999996
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.045,0.81095,0.51878,0.9419700000000001,0.99731,0.99254,0.99908,0.05235,0.04684,0.07341,0.18905,0.05803,0.48122,0.0026899999999999997,0.0009199999999999999,0.00746
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.05,0.8273299999999999,0.5463100000000001,0.94773,0.997,0.99167,0.99898,0.057010000000000005,0.05173,0.07746,0.17267000000000002,0.052270000000000004,0.45369,0.003,0.0010199999999999999,0.008329999999999999
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.055,0.8412299999999999,0.5711,0.95249,0.9966799999999999,0.9908,0.99887,0.06168,0.056620000000000004,0.0815,0.15877,0.047510000000000004,0.4289,0.0033200000000000005,0.0011300000000000001,0.0092
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.06,0.8531799999999999,0.59355,0.9565,0.99636,0.9899100000000001,0.99876,0.06634,0.06151,0.08555,0.14682,0.0435,0.40645,0.00364,0.00124,0.01009
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.065,0.86355,0.61397,0.9599200000000001,0.9960399999999999,0.98903,0.99865,0.07101,0.0664,0.0896,0.13645,0.040080000000000005,0.38603000000000004,0.00396,0.00135,0.01097
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.07,0.87265,0.63263,0.9628700000000001,0.99571,0.98813,0.99854,0.07568,0.07128999999999999,0.09364,0.12735,0.03713,0.36737,0.0042899999999999995,0.00146,0.01187
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.075,0.88069,0.64974,0.96544,0.9953799999999999,0.9872200000000001,0.9984200000000001,0.08034,0.07618,0.09769,0.11930999999999999,0.03456,0.35026,0.00462,0.00158,0.01278
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.08,0.88785,0.6654899999999999,0.9677,0.99505,0.98631,0.99831,0.08501,0.08106000000000001,0.10174,0.11215,0.0323,0.33451,0.00495,0.0016899999999999999,0.01369
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.085,0.89426,0.68003,0.9697,0.99471,0.98539,0.9981899999999999,0.08967,0.08595,0.10578,0.10574000000000001,0.0303,0.31997,0.0052899999999999996,0.0018100000000000002,0.01461
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.09,0.90004,0.6935100000000001,0.97149,0.9943799999999999,0.98446,0.99808,0.09434,0.09084,0.10983,0.09996000000000001,0.02851,0.30649,0.00562,0.0019199999999999998,0.01554
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.095,0.90527,0.70602,0.97309,0.99403,0.9835200000000001,0.9979600000000001,0.099,0.09573,0.11387,0.09473,0.026910000000000003,0.29398,0.0059700000000000005,0.0020399999999999997,0.01648
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.1,0.9100299999999999,0.71768,0.97454,0.9936799999999999,0.98257,0.99784,0.10367,0.10062,0.11792000000000001,0.08997000000000001,0.02546,0.28231999999999996,0.00632,0.00216,0.01743
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.105,0.9143899999999999,0.72856,0.97585,0.9933299999999999,0.98162,0.99772,0.10833,0.10550999999999999,0.12197000000000001,0.08561,0.02415,0.27144,0.006670000000000001,0.00228,0.01838
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.11,0.91838,0.73875,0.97705,0.99298,0.98065,0.9976,0.113,0.1104,0.12600999999999998,0.08162,0.02295,0.26125,0.00702,0.0024,0.01935
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.115,0.92206,0.7483,0.97815,0.9926200000000001,0.9796799999999999,0.9974700000000001,0.11765999999999999,0.11528,0.13005999999999998,0.07794,0.02185,0.2517,0.007379999999999999,0.00253,0.020319999999999998
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.12,0.92545,0.75727,0.97916,0.99226,0.9787,0.99735,0.12233,0.12017,0.13410999999999998,0.07455,0.02084,0.24273000000000003,0.00774,0.00265,0.0213
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.125,0.9286,0.76572,0.98009,0.9919,0.9777100000000001,0.9972200000000001,0.12699000000000002,0.12506,0.13815,0.0714,0.01991,0.23428000000000002,0.0081,0.00278,0.02229
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.13,0.9315200000000001,0.77369,0.9809399999999999,0.9915299999999999,0.9767100000000001,0.9971,0.13166,0.12995,0.1422,0.06848,0.01906,0.22630999999999998,0.00847,0.0029,0.02329
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.135,0.93425,0.7812100000000001,0.98174,0.99115,0.9757,0.99697,0.13632,0.13484000000000002,0.14625,0.06575,0.01826,0.21879,0.00885,0.00303,0.0243
"KogeneBiotech Co., Ltd.",PowerChek 2019-nCoV Real-time PCR Kit,0.14,0.93679,0.78833,0.9824799999999999,0.99077,0.9746799999999999,0.99684,0.14099,0.13973,0.15029,0.06321,0.017519999999999997,0.21166999999999997,0.00923,0.00316,0.02532
