company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Laboratorio Clinico Toledo,Laboratorio Clinico Toledo SARS-CoV-2 Assay,0.005,1.0,0.0388330985844625,1.0,1.0,0.999359283031163,1.0,0.005,0.005,0.11414012027412775,0.0,0.0,0.9611669014155376,0.0,0.0,0.0006407169688370518
Laboratorio Clinico Toledo,Laboratorio Clinico Toledo SARS-CoV-2 Assay,0.01,1.0,0.0751121501528328,1.0,1.0,0.9987129271529568,1.0,0.01,0.01,0.1180212398135016,0.0,0.0,0.9248878498471672,0.0,0.0,0.0012870728470431025
Laboratorio Clinico Toledo,Laboratorio Clinico Toledo SARS-CoV-2 Assay,0.015,1.0,0.10908110146294042,1.0,1.0,0.9980608575948317,1.0,0.015,0.015,0.12190235935287545,0.0,0.0,0.8909188985370595,0.0,0.0,0.0019391424051683481
Laboratorio Clinico Toledo,Laboratorio Clinico Toledo SARS-CoV-2 Assay,0.02,1.0,0.14095379081841355,1.0,1.0,0.9974029982584488,1.0,0.02,0.02,0.12578347889224928,0.0,0.0,0.8590462091815865,0.0,0.0,0.002597001741551086
Laboratorio Clinico Toledo,Laboratorio Clinico Toledo SARS-CoV-2 Assay,0.025,1.0,0.1709184540985173,1.0,1.0,0.996739271688078,1.0,0.025,0.025,0.12966459843162312,0.0,0.0,0.8290815459014826,0.0,0.0,0.0032607283119219233
Laboratorio Clinico Toledo,Laboratorio Clinico Toledo SARS-CoV-2 Assay,0.03,1.0,0.1991414450597463,1.0,1.0,0.9960695990401944,1.0,0.03,0.03,0.13354571797099696,0.0,0.0,0.8008585549402537,0.0,0.0,0.003930400959805458
Laboratorio Clinico Toledo,Laboratorio Clinico Toledo SARS-CoV-2 Assay,0.035,1.0,0.2257703252393613,1.0,1.0,0.9953939000522584,1.0,0.035,0.035,0.1374268375103708,0.0,0.0,0.7742296747606388,0.0,0.0,0.004606099947741527
Laboratorio Clinico Toledo,Laboratorio Clinico Toledo SARS-CoV-2 Assay,0.04,1.0,0.2509364446610613,1.0,1.0,0.9947120930106462,1.0,0.04,0.04,0.14130795704974464,0.0,0.0,0.7490635553389386,0.0,0.0,0.005287906989353775
Laboratorio Clinico Toledo,Laboratorio Clinico Toledo SARS-CoV-2 Assay,0.045,1.0,0.27475710862409514,1.0,1.0,0.9940240947177084,1.0,0.045,0.045,0.14518907658911848,0.0,0.0,0.7252428913759048,0.0,0.0,0.005975905282291527
Laboratorio Clinico Toledo,Laboratorio Clinico Toledo SARS-CoV-2 Assay,0.05,1.0,0.2973374060115312,1.0,1.0,0.9933298204579272,1.0,0.05,0.05,0.14907019612849232,0.0,0.0,0.7026625939884688,0.0,0.0,0.0066701795420729395
